post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
171e59y,k3suscu,since im sucker nostalgia schools team played,nebraska 1st place long time year kstate take 1 currently 1a 1b nebraska kstate 106 meetings 2 mizzou 104 meetings 3 kansas 102 meetings 4 89 meetings 5 70 meetings 6 colorado 65 meetings 7 58 meetings,"['iowastate', 'big8']","['missouri', 'missourisouthern']",1 kansas 110 2 103 3 kansas 98 4 nebraska 95 5 93 dont play single one schools regularly anymore hopefully change least
16ei5o7,jzw1odl,middle tennessee missouri 700,middle tennessee location memorial stadiumfaurot time 700 watch tv espnlespn sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['illinois', 'missouri']","['missouri', 'missourisouthern']",dont understand college anymore watching unc runner went bounds getting first clock started running ball placed thought still running bounds stopped clock going crazy
1728e9y,k3vq6y6,lsu missouri 1200,lsuflsulsu location memorial stadiumfaurot time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['missouri', 'missourisouthern']",idk name guy cant stand guy calling osumd overstresses second syllable every word
1728e9y,k3vw7t7,lsu missouri 1200,lsuflsulsu location memorial stadiumfaurot time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['missouri', 'missourisouthern']",never seen actually say theyve synced replays
1728e9y,k3vyk9l,lsu missouri 1200,lsuflsulsu location memorial stadiumfaurot time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['missouri', 'missourisouthern']",dang thought going call late hit hadnt blown whistle
1728e9y,k3vzssb,lsu missouri 1200,lsuflsulsu location memorial stadiumfaurot time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['missouri', 'missourisouthern']",version someone overusing word wordaday calendar
1728e9y,k3w3wsq,lsu missouri 1200,lsuflsulsu location memorial stadiumfaurot time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['missouri', 'missourisouthern']",honestly wish drive longer defense running e
16qbmz1,k1wmaje,colorado 330,location oregonforegon autzen time 330 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['missouri', 'missourisouthern']",damn wants put 70 spot pure spite
16qbmz1,k1wndua,colorado 330,location oregonforegon autzen time 330 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['missouri', 'missourisouthern']",colorado yards given penalties 23 colorado total yards line scrimmage 21 yikes
15wfg7n,jx0unaj,whats news coming schools fall camp,team impressing fall camp group going improved bumps bruises might keep someone games whats word teams quarterback competition,"['texasam', 'meteor']","['missouri', 'missourisouthern']",crazy reason drink decided yet let brady cook
15wfg7n,jx0unsf,whats news coming schools fall camp,team impressing fall camp group going improved bumps bruises might keep someone games whats word teams quarterback competition,"['texasam', 'meteor']","['missouri', 'missourisouthern']",crazy reason drink decided yet let brady cook
16weudo,k2wqd3m,missouri vanderbilt 400,location firstbank time 400 watch tv sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['missouri', 'missourisouthern']",whoever comes multiview options needs drug tested cant get kansas games well
16weudo,k2wvfz6,missouri vanderbilt 400,location firstbank time 400 watch tv sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['missouri', 'missourisouthern']",head ref looks like wishes officiating literally
16weudo,k2x05ss,missouri vanderbilt 400,location firstbank time 400 watch tv sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['missouri', 'missourisouthern']",player laying ground holding knee five seconds play peak announcing team might
16weudo,k2x0zze,missouri vanderbilt 400,location firstbank time 400 watch tv sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['missouri', 'missourisouthern']",bigger turnaround league cook year last year
16weudo,k2x88fi,missouri vanderbilt 400,location firstbank time 400 watch tv sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['missouri', 'missourisouthern']",switching one like switching 1a high school vibe production quality
16weudo,k2xfjp5,missouri vanderbilt 400,location firstbank time 400 watch tv sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['missouri', 'missourisouthern']",extra point hit smack dab center camera
16weudo,k2xghlo,missouri vanderbilt 400,location firstbank time 400 watch tv sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['missouri', 'missourisouthern']",breaking news d1 college starter loves playing 11
16kfuan,k0vnri6,postgame missouri defeats kansas 3027,box score provided team 1 2 3 4 kansas made rcfb,['rcfb'],"['missouri', 'missourisouthern']",hot damn cant wait sec shorts matt mitchells week 3 roundups
1821ydn,kaggqqo,spirit thanksgiving everyone thankful current team,asked last year loved discussions figured id ask new season cfb whether season incredible disappointing something youve thankful program happy turkey day yall,['tennessee'],"['missouri', 'missourisouthern']",im thankful relevant decade pain nice
