post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzwi74u,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['missouri', 'missouristate']",watching lot fun watch teams say fuck playing defense
172i5sr,k3xar3s,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['missouri', 'missouristate']",sec refs gone fully stupid today loaded flags head guy bama goober highest order guys basically scored kentucky
18wbuu4,kfwui82,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['missouri', 'missouristate']",hope one isnt complete turd
18wbuu4,kfx7z4c,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['missouri', 'missouristate']",hate play commercials im trying watch
18wbuu4,kfxbzjv,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['missouri', 'missouristate']",want washington win 6 penalties 0 kinda sus
18wbuu4,kfxkx4t,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['missouristate', 'texas']",espns marching band broadcast pretty cool better watching endless commercials sure
18wbuu4,kfxy85s,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['missouri', 'missouristate']",fuck go endzone 4x holy fuck
18wbuu4,kfxya80,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['missouri', 'missouristate']",first playcall reason lose absolutely idiotic
16q6omx,k1vxq75,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'missouristate']",wowwhat hitwhat fucking turn events write
16kktkx,k0x61an,wyoming 800,location texasftexas dkrtexas memorial time 800 watch tv longhorn networkllhn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas', 'missouristate']",run working thats defense giving take quinns
16kktkx,k0xaacf,wyoming 800,location texasftexas dkrtexas memorial time 800 watch tv longhorn networkllhn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas', 'missouristate']",last lhn utter shitshow worst kind poetry
16kktkx,k0xiz39,wyoming 800,location texasftexas dkrtexas memorial time 800 watch tv longhorn networkllhn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas', 'missouristate']",thank horrible 11 years lhn missed
16ktcfe,k0y3e27,postgame colorado defeats colorado 4335 2ot,box score provided team 1 2 3 4 ot colorado made rcfb,['rcfb'],"['floridastate', 'missouristate']",good shit man long tough day thats exactly needed
16ktcfe,k0zr0wk,postgame colorado defeats colorado 4335 2ot,box score provided team 1 2 3 4 ot colorado made rcfb,['rcfb'],['missouristate'],comeback without travis hunter harrison balled fuck end goodness shadeur sanders channeling inner rogers brady also fuck 11 csu hes punk
183rfxa,kariyc4,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['missouri', 'missouristate']",wasnt clear enough overturn dont think called catch would stood
183rfxa,karnfju,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['missouri', 'missouristate']",one time people back prevent defense prevents winning
16w91xa,k2wdv1j,arkansas 1200,amftexasamtexas location att time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arkansas', 'missouristate']",whats like good team cheer
16uiinz,k2lwe6o,college team finishing move ala mortal kombat,would teams teams would cancel would funniest example floridas finishing move home swamp flooded turned actual swamp think oregons ducks wouldnt fazed standford would one giant tree come nowhere states beavers would win easily one would want play miami due extensive hurricane damage endures etc,"['georgia', 'transferportal']","['missouri', 'missouristate']",chains burst forth rock north end zone opposing player slowly drug screaming underneath screams longer heard begrudgingly seemingly indifferent attitude maintenance workers begin repaint rocks white one really know happens every year seniors take rock get closer finding every year moans rocks get louderand louder
17adji1,k5cccl3,fit schools fanbase stereotypes,involved greek life never done cocaine religious im certainly minority among tcu alumsfans fan doesnt golf fan doesnt love world war ii history duke fan doesnt care basketball stanford fan bad math wisconsin fan doesnt drink alcohol,['tcu'],"['missouristate', 'michigan']",fan base order stereotype
17ny5nn,k7usnd2,postgame defeats 2724,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['missouri', 'missouristate']",good pokes fuck ou cant fucking wait next year
18dpd4q,kcikj5k,everyone focused fsu giving pass,head coach suspended twice season cheating scandals recruiting violations sign stealing scandal weakest regular season schedule playing 2 teams mattered weakest conference championship win still got ranked 1 despite undefeated team left cheaters played weak schedule likely victories year vacated anyway committee didnt questions everyone distracted fsu,"['hawaii', 'oregon']","['michigan', 'missouristate']",weakest conference championship win x200b post silly anybody wonder line ou would hawkeyespokes w ollie course
177ix9d,k4u3od4,postgame stanford defeats colorado 4643 2ot,box score provided team 1 2 3 4 ot made rcfb,['rcfb'],"['missouri', 'missouristate']",lol fuckin way amazing quickly went pulling colorado hoping lose every 6 scores prime effect everyone keeps talking
17deytd,k5x7a5u,utah usc 800,utahfutahutah uscfuscusc location uscfusc los angeles memorial coliseum time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['missouri', 'missouristate']",yeah im sitting armchair would able sit bench either side
16qmian,k1xxw5h,postgame penn defeats 310,box score provided team 1 2 3 4 iowafiowa00000 penn made rcfb,['rcfb'],"['missouristate', 'iowa']",thank god season call ferentz longer associated sports
16qmian,k1y3bt2,postgame penn defeats 310,box score provided team 1 2 3 4 iowafiowa00000 penn made rcfb,['rcfb'],['missouristate'],cursed really really shitty offense every year
18uo86j,kfmgdzw,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas', 'missouristate']",reminder fsu felt slighted committee one team making good argument harming credibility entire
18uo86j,kfmpr83,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['missouri', 'missouristate']",thats two bowl games team 3 points
168bu91,jyunvge,postgame colorado defeats tcu 4542,box score provided team 1 2 3 4 made rcfb,"['texasam', 'ucla']","['missouri', 'missouristate']",guess ill chasing high day long pokes washington v boise cmon something
168bu91,jyutmxf,postgame colorado defeats tcu 4542,box score provided team 1 2 3 4 made rcfb,"['texasam', 'ucla']","['missouristate', 'michigan']",want colorado well im curmudgeon feels deion didnt take team properly strip scholarships people immediately extent offputting said enjoy boulder good team good congrats buffs
168bu91,jyv0ul7,postgame colorado defeats tcu 4542,box score provided team 1 2 3 4 made rcfb,"['texasam', 'ucla']","['arkansas', 'missouristate']",know hiring deon wouldve cool wanted move ark
16keh7j,k0wchzp,south carolina 330,south carolina location georgiafgeorgia sanford time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['missouri', 'missouristate']",bowers fucking good shudder think hell us trouble kstates tefb
18w6kt1,kfw4qy0,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['missouri', 'missouristate']",us hmmm ran well season theyll probably come establish thats theyll expect lets throw instead
169aftq,jz0zbfj,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['missouristate'],wow cant believe didnt call flag fortackling hard
169aftq,jz19d8j,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['missouri', 'missouristate']",goddamn fuck watching shit like bachelor still air cannot fathom enough viewers sell ad space
169aftq,jz1i9tn,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['missouristate'],9 years 86 million left brian kelly lol
169aftq,jz1k4qr,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['missouri', 'missouristate']",fsu break 50 old clock rules id like think
