post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18wbuu4,kfxxzs1,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wisconsin', 'missouriwestern']",left hand came ball right whole time catch stands
18wbuu4,kfxy6y2,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wisconsin', 'missouriwestern']",ut scores misses xp go ot
183rfxa,karnn0r,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wisconsin', 'missouriwestern']",every dc calls prevent immediately relieved duties
15tkpzp,jwmx5pr,opinions rivalries around college affiliation,rivalry connection thats outside schools conference feel like actually root pretty strongly one team one absolutely wont miss even teams wont impact season arent contenders year example ive absolutely loved usc utah rivalry past 58 years love rooting utah games first usually wild late night action truly back forth rivalry recently competitive though always david goliath feel team less traditionally good team resources disposal dont anything usc fall 1030 damn fun root utes games,['georgia'],"['kansas', 'missouriwestern']",usually root little brother team teams huge usually dont care need true underdog interested want evenly matched big boys tend watch nfl games
18w6kt1,kfw9ya6,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wisconsin', 'missouriwestern']",lol punter leaves leg extended extra couple seconds josh allen flop hoping draw flag gtfo running kicker nonsense
169aftq,jz1k55o,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wisconsin', 'missouriwestern']",still time pick six daniels close
16knfug,k0xgprh,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wisconsin', 'missouriwestern']",still gonna nfl games kick tmrw
1684osx,jyu868m,colorado tcu 1200,tcuftcutcu location tcuftcu amon g carter time 1200 watch tv foxlfox odds spread tcu 205 overunder 645 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texasam', 'ucla']","['wisconsin', 'missouriwestern']",prime u good tcu bad discuss
1684osx,jyuhwb3,colorado tcu 1200,tcuftcutcu location tcuftcu amon g carter time 1200 watch tv foxlfox odds spread tcu 205 overunder 645 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texasam', 'ucla']","['wisconsin', 'missouriwestern']",dont know whos bigger hesiman favorite sanders hunter
191zla4,kh05zs7,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wisconsin', 'missouriwestern']",penix completely different guy one played sugar bowl guy evading pressure throwing dots guy looks like footsteps falco seeing ghosts
16x7vat,k32n8py,pat mcafee doesnt get college gameday,wonder long going espn finally realizes something ive known since first joined show since constant need upstage everyone incredibly offputting especially guest going wazzu flag claiming merely hopping bandwagon team good right thats whole different level pure ignorance pats part ill admit one personal ive one many wazzu flagwavers 15 years first time 2008 season wazzu incredibly lucky finish 211 year even sixth year waving flag biggest celebrities crowd fans every single school wanted meet us hear story tell us finding flag crowd part saturday morning routine could enthusiastic accommodating every time ive flagwaving duty youll hear tune pretty much wazzu flagwavers one person ever tried give grief waving flag gameday happened fans host school opponent dozen schools told guy get lost staying anything meaning wazzu flag college gameday visible symbol program becoming celebration host site college general see fans around country every gameday site welcome partake celebration college pat mcafee doesnt get,"['washingtonstate', 'floridastate']","['missouriwestern', 'missouri']",agree everything op said ill add pat gameday show lost touch made great years ago said pride gives host schools fans students still awesome
18rnjff,kf33zg7,guaranteed rate bowl unlv kansas 900,unlvfunlvunlv location chase time 900 watch tv espnlespn espnlespn odds spread ku 125 overunder 675 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'missouriwestern']",someone keep eye police scanners see lance ends jail
1689xyu,jyunby4,buffalo wisconsin 330,location camp randall time 330 watch tv fox sports 1lfs1 odds spread wis 28 overunder 545 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['wisconsin'],"['wisconsin', 'missouriwestern']",offense evolved 25 years course one offseason refreshing
1689xyu,jyup0jl,buffalo wisconsin 330,location camp randall time 330 watch tv fox sports 1lfs1 odds spread wis 28 overunder 545 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['wisconsin'],"['wisconsin', 'missouriwestern']",remember top tier defense pepperidge farm members
1689xyu,jyus92r,buffalo wisconsin 330,location camp randall time 330 watch tv fox sports 1lfs1 odds spread wis 28 overunder 545 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['wisconsin'],"['wisconsin', 'missouriwestern']",air raid looks like asking friend
1689xyu,jyux1dw,buffalo wisconsin 330,location camp randall time 330 watch tv fox sports 1lfs1 odds spread wis 28 overunder 545 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['wisconsin'],"['wisconsin', 'missouriwestern']",least seems figured something
1689xyu,jyuxim2,buffalo wisconsin 330,location camp randall time 330 watch tv fox sports 1lfs1 odds spread wis 28 overunder 545 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['wisconsin'],"['wisconsin', 'missouriwestern']",literally nothing open 5 yds
1689xyu,jyuxvsd,buffalo wisconsin 330,location camp randall time 330 watch tv fox sports 1lfs1 odds spread wis 28 overunder 545 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['wisconsin'],"['wisconsin', 'missouriwestern']",well ill damned throw paul chryst would never
183mtar,kaq57j5,ohio 1200,ohio location time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wisconsin', 'missouriwestern']",wisconsin fan love seeing osu get shit beauty im equally happy see mich get shit winwin
16qbmz1,k1wgys3,colorado 330,location oregonforegon autzen time 330 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wisconsin', 'missouriwestern']",welp gg boys gonna go watch ole missbama ones
16qbmz1,k1wl5fi,colorado 330,location oregonforegon autzen time 330 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wisconsin', 'missouriwestern']",point ou may cover jaysus
16a716p,jz67bu8,clemson duke 800,dukefdukeduke location dukefduke wallace wade time 800 watch tv espnlespn odds spread clem 13 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['stanford', 'presscorps']","['wisconsin', 'missouriwestern']",im saying shipley pedro pascal person ive never seen room
16a716p,jz6gn83,clemson duke 800,dukefdukeduke location dukefduke wallace wade time 800 watch tv espnlespn odds spread clem 13 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['stanford', 'presscorps']","['wisconsin', 'missouriwestern']",remember clemson top tier program pepperidge farm members
