post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16e7uwk,jzuzimr,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'moreheadstate']",personal foul many yards gained notre dame 30 yard penalty loss
16e7uwk,jzv6awr,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'moreheadstate']",nice dont flag every play defense thing offense score
1785w9p,k4xi4km,postgame notre dame defeats usc 4820,box score provided team 1 2 3 4 uscfusc337720 notre made rcfb,['rcfb'],"['notredame', 'moreheadstate']",cant wait nd somehow lose wake stanford 10 end season 93
1785w9p,k4xipz6,postgame notre dame defeats usc 4820,box score provided team 1 2 3 4 uscfusc337720 notre made rcfb,['rcfb'],"['notredame', 'moreheadstate']",notre dame 94 usc since 2010 freeman 2 years head coach hes already one 9 power 5 head coaches record higher 500 top 25 teams minimum 10 games could end one 7 end year half many top 10 games brian kelly last 13 years good offensive coordinator nd 35 plays away 70 top 4 team
16wq174,k2ycc8o,postgame notre dame defeats duke 2114,box score provided team 1 2 3 4 notre dukefduke007714 made rcfb,['rcfb'],"['notredame', 'moreheadstate']",fuck fire parker golden marcus freeman calls plays
16qmmcf,k1xz6bt,postgame ohio defeats notre dame 1714,box score provided team 1 2 3 4 ohio notre made rcfb,['rcfb'],"['notredame', 'moreheadstate']",kicker makes straight goal ot goes show important kickers
169aftq,jz1kinr,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'moreheadstate']",thought kelly went sec recruit win easier sorry lsu fans cant teach old dog new tricks
1684owx,jytzv4s,ball kentucky 1200,ball location kroger time 1200 watch tv sec networklsecn odds spread uk 265 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['lsu', 'checkbox']","['kentucky', 'moreheadstate']",clayton coll two broken hands wonder mother helping
16kk441,k0x5kjs,akron kentucky 730,location kroger time 730 watch tv espnulespnu rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky', 'moreheadstate']",im sick little mermaid commercial playing much college
16wjz1a,k2xzkh6,notre dame duke 730,notre dame dukefdukeduke location dukefduke wallace wade time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'moreheadstate']",every time show elko tv looks likes bush 911 memes
16wjz1a,k2y3mi6,notre dame duke 730,notre dame dukefdukeduke location dukefduke wallace wade time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'moreheadstate']",hartman money keeps throwing throwing behind wrs
16wjz1a,k2y44cp,notre dame duke 730,notre dame dukefdukeduke location dukefduke wallace wade time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'moreheadstate']",holy shit duke penalty thought never see day
16wjz1a,k2y63s6,notre dame duke 730,notre dame dukefdukeduke location dukefduke wallace wade time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'moreheadstate']",swear acc refs notre dame every single
16wjz1a,k2y6x87,notre dame duke 730,notre dame dukefdukeduke location dukefduke wallace wade time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'moreheadstate']",hope nd leaves acc joins big10 refs horrendous
16wjz1a,k2yagp5,notre dame duke 730,notre dame dukefdukeduke location dukefduke wallace wade time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'moreheadstate']",surprised havent tried review play call back
