post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18wbuu4,kfxwwmv,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'morningside']",holy shit gave literally 30 seconds free
18wbuu4,kfxx5wc,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'morningside']",script written injury opened door win fuck
18wbuu4,kfxy04d,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'morningside']",shouldnt called catch live however replay stand matter called live
18wbuu4,kfxy4j5,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'morningside']",wins im sure teams teaching lineman immediately go pick rbs running clock case hurt theyll carry
18wo805,kfzxifs,washingtontexas ended 1251am est monday tuesday night rose bowl always started 5p issue,second half started around 11pm actual last play happened 1251am blame rose bowl previous years ie bcs era always started 430 5p ending sugar bowl sugar bowl would always start 830p orange 8 games still essentially starting time commercials frequent longer many east coast actually watched full end,"['ohiostate', 'salad']","['nebraska', 'morningside']",agreed commercials problem games take 4 hours espn made playoffs entirely getting best rating possible solely sell ad revenue said back fsu got snubbed purely money move disney needed sell ad space due ratings everywhere
16e7uxq,jzusq0k,utah baylor 1200,utahfutahutah location baylorfbaylor mclane time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'morningside']",right let utah touchdown declining holding always better drivers seat
189wh00,kbu0sas,cfp rankings final,tv espnlespn follow along selection show full results come two threads posted results serious discussion jokes memes offtopic comments removed rankteamrecord 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,['rcfb'],"['nebraska', 'morningside']",dont get good teams lose want go playoffs
18w6kt1,kfwws06,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'morningside']",moves like getting tipped fix drone going make us watch way end walk goal
1621ag8,jxv57om,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['nebraska', 'morningside']",reminder realignment doesnt ruin much actually changing rules get less commercials
16bnhtv,jzehqy1,could best high school team nation beat worst division 3 team nation,boss discussing best high school team could beat worst d3 team played d3 says think yes think,[],"['nebraska', 'morningside']",d3 naia basically thing ive watched lot morningside naia games morningside top 4 program consistently beats everloving breaks almost every team conference im talking consistently 770 games morningside starters play one quarter midwest championship highschool team would probably give mount marty university dordt university run money
