post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16e3yqv,jztvugv,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['iowastate', 'mvc']",back punchline like literally
176it07,k4nk6f4,west virginia houston 700,west virginia location houstonfhouston tdecu time 700 watch tv fox sports 1lfs1 odds spread wvu 25 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'mvc']",absolute kick nuts lost like
16k9nah,k0usfzs,ohio 1200,ohiofohioohio location ohiofohio peden time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'mvc']",company executive team isnt allowed fly plane theyre traveling feels like rules team diversity eat comes food poisoning jeez
16k9nah,k0uwjrc,ohio 1200,ohiofohioohio location ohiofohio peden time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'mvc']",haha miss wasnt bad ill take small victory
16k9nah,k0ux28j,ohio 1200,ohiofohioohio location ohiofohio peden time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'mvc']",upon time thought ohio would good addition big 12 probably 2015 2016 looked like little chance poaching bigger names seeing im really glad things never got desperate
16k9nah,k0uxi95,ohio 1200,ohiofohioohio location ohiofohio peden time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'mvc']",anyone else get feeling campbell saw new clock rules season excited could shorten even normally tries
16k9nah,k0v0qpn,ohio 1200,ohiofohioohio location ohiofohio peden time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'mvc']",appreciate espn reminding cancel espn subscription uni
16k9nah,k0v1prs,ohio 1200,ohiofohioohio location ohiofohio peden time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'mvc']",yeah thats going go back incomplete pi enforced
16k9nah,k0v3qyf,ohio 1200,ohiofohioohio location ohiofohio peden time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'mvc']",wish transitive property real would mean ohio st good bad im inclined towards latter transitive property also doesnt hold often
16k9nah,k0v4lrw,ohio 1200,ohiofohioohio location ohiofohio peden time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'mvc']",second half listen radio clean garage type feel
16k9nah,k0v7fvy,ohio 1200,ohiofohioohio location ohiofohio peden time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'mvc']",okay clean garage dont even listen radio type feel
