post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
172b4cp,k3w0cpq,marshall nc 200,nc statefncstatenc location nc statefncstate carterfinley time 200 watch tv cwlcw rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['marshall', 'myrtlebeach']",147 huff utilizing ali ill take
172b4cp,k3w3ctz,marshall nc 200,nc statefncstatenc location nc statefncstate carterfinley time 200 watch tv cwlcw rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['marshall', 'myrtlebeach']",fancher try throw ball past line impossible challenge
168gmpf,jyvkcsa,old dominion virginia tech 800,old dominion virginia tech location virginia lane time 800 watch tv acc networklaccn odds spread vt 16 overunder 480 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['olddominion', 'myrtlebeach']","['olddominion', 'myrtlebeach']",margaritas mixed burgers shrimps grilling lets day yall
168gmpf,jywbx9o,old dominion virginia tech 800,old dominion virginia tech location virginia lane time 800 watch tv acc networklaccn odds spread vt 16 overunder 480 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['olddominion', 'myrtlebeach']","['olddominion', 'myrtlebeach']",dont think sleep app going help
18lfr8y,kdy5ugu,famous toastery bowl old dominion wku 230,old dominion wkufwkuwku location jerry richardson time 230 watch tv espnlespn espnlespn odds spread odu 65 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['olddominion', 'myrtlebeach']",drunk mad end story season course gonna happen
18lfr8y,kdydw8h,famous toastery bowl old dominion wku 230,old dominion wkufwkuwku location jerry richardson time 230 watch tv espnlespn espnlespn odds spread odu 65 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['olddominion', 'myrtlebeach']",3 little 8 minutes hello old friend
18lfr8y,kdyf1hi,famous toastery bowl old dominion wku 230,old dominion wkufwkuwku location jerry richardson time 230 watch tv espnlespn espnlespn odds spread odu 65 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['olddominion', 'myrtlebeach']",changed shirt halftime put back odu gets fumble
169aftq,jz0xji6,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['southcarolina', 'myrtlebeach']",bothers see guy wearing mouth piece teeth man
169aftq,jz14k04,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['southcarolina', 'myrtlebeach']",man thought jaheim good gamecocks figured hed make play
16knfug,k0xgv8c,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['southcarolina', 'myrtlebeach']",refs start throwing crazy flags try get handle
16knfug,k0xpgos,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['southcarolina', 'myrtlebeach']",squeezed cat nap second quarter guess could say im primed late night
18w0xqp,kfvjp7v,fiesta bowl liberty 100,location farm time 100 watch tv espnlespn odds spread ore 18 overunder 685 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['olddominion', 'myrtlebeach']",eat shit liberty hitched wagons enjoy cusa shitters
162sdp4,jxzylop,week 1 result loss could cause complete meltdown fanbase,regarding ucf kent st something like 1610 defensive battle erratic jrp play would create insanity within knight fanbase,"['ucf', 'westchester']","['olddominion', 'myrtlebeach']",loss tech wont going shitty offense might 2017 odu didnt make past 50 blacks burg ended 5 wins since heinicke left 14 inconsistency qb plagued us another season might cause meltdown
17yj8d1,k9uify6,kentucky south carolina 730,south carolina location south williamsbrice time 730 watch tv sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['southcarolina', 'myrtlebeach']",real bad place considering run tonight
17yj8d1,k9uizfk,kentucky south carolina 730,south carolina location south williamsbrice time 730 watch tv sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['southcarolina', 'myrtlebeach']",clayton white might get keep job get stop
16q6oum,k1votde,virginia tech marshall 1200,virginia tech location joan c edwards time 1200 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['marshall', 'myrtlebeach']",ugly first half defense settled keep feeding ali
16q6oum,k1vqs2a,virginia tech marshall 1200,virginia tech location joan c edwards time 1200 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['marshall', 'myrtlebeach']",grant wells still hurt healthy scratch
16q6oum,k1vrpbd,virginia tech marshall 1200,virginia tech location joan c edwards time 1200 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['marshall', 'myrtlebeach']",gordon ramsay shows obviously overdramatic theyre guilty pleasure
16q6oum,k1vsxec,virginia tech marshall 1200,virginia tech location joan c edwards time 1200 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['marshall', 'myrtlebeach']",screen weak side 3rd 14 decision
16q6oum,k1vz8g6,virginia tech marshall 1200,virginia tech location joan c edwards time 1200 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['marshall', 'myrtlebeach']",okay vt fans right doomposting playcalling war crime
18mhqd2,ke4ogwp,frisco bowl marshall utsa 900,utsafutsautsa location toyota time 900 watch tv espnlespn espnlespn odds spread utsa 125 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['marshall', 'myrtlebeach']",usually switch flair marshall whatever bowl win heres hoping
18mhqd2,ke4zgp3,frisco bowl marshall utsa 900,utsafutsautsa location toyota time 900 watch tv espnlespn espnlespn odds spread utsa 125 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['marshall', 'myrtlebeach']",huff shouldnt even make airport head coach leave frisco
183wpk5,kas3g2j,clemson south carolina 730,south carolina location south williamsbrice time 730 watch tv sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['southcarolina', 'myrtlebeach']",basically spotting clemson ten points feel good man
16wjz00,k2yb3rk,south carolina tennessee 730,south carolina location neyland time 730 watch tv sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['southcarolina', 'myrtlebeach']",lmao fuck spencer chant yall aint getting cfp possibility back
