post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18w6kt1,kfwx52w,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'nccu']",id kick safer bet bamas kicker gets range anyway
17debjw,k5wk2ew,730,location spartan time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'nccu']",colson loveland beast wish theyd use year wouldnt surprised 1 target next year
17debjw,k5wpc3f,730,location spartan time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'nccu']",love running 2 minute drill halftime youre 28
17debjw,k5wtcyq,730,location spartan time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'nccu']",find hilarious longer find necessary walk way sideline get play
172mpmi,k3xzkh9,arizona usc 1030,uscfuscusc location uscfusc los angeles memorial coliseum time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'nccu']",zona taking defensive timeouts prolong sack celebration
16wjz1a,k2ybfgi,notre dame duke 730,notre dame dukefdukeduke location dukefduke wallace wade time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'nccu']",messy every win gives freeman experience time grow role
172iula,k3xsem7,minnesota 730,location huntington bank time 730 watch tv nbclnbc peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'nccu']",favorite part pj fleck still trying best look intense sideline
172iula,k3xsxcw,minnesota 730,location huntington bank time 730 watch tv nbclnbc peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'nccu']",idk qb puts next year jadyn davis looking good 2025
177dn6h,k4st7p2,stanford colorado 1000,location folsom time 1000 watch tv espnlespn odds spread colo 115 overunder 590 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'nccu']",makes want see stanford first team 6 wins
18a08nd,kbum6vs,statement mike norvell cfb snub,nan,"['floridastate', 'usa']","['michigan', 'nccu']",never want hear anyone say win youre ever
18a08nd,kbun2jg,statement mike norvell cfb snub,nan,"['floridastate', 'usa']","['michigan', 'nccu']",florida accept invitation go refuse take fuck hit em hurts
191zla4,kgzldfl,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'nccu']",huskies need generate momentum forcing turnover would go long way
191zla4,kgzvgaj,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'nccu']",undone presnap penalties still get three points though
191zla4,kh063uh,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'nccu']",hold call bad came bad time refs rarely good games let alone prefect ones washington laid egg offense tonight 13 points never going enough
183mtar,kaq7z85,ohio 1200,ohio location time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'nccu']",close going 4th gonna end taking 5 hours
183mtar,kaqiwhu,ohio 1200,ohio location time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'nccu']",idk lb play took horrible angle
19a8b3z,kij9mo7,thamel sources ohio set hire longtime nfl head coach bill obrien schools new offensive coordinator,,"['georgia2', 'awardfestival']","['ohiostate', 'nccu']",really feels like pair might generational defense terms depth talent another season utterly lackluster offense honestly deflating
16vornr,k2t6s98,louisville nc 700,nc statefncstatenc location nc statefncstate carterfinley time 700 watch tv espnlespn odds spread ncsu 1 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'nccu']",live nc season heard hype new oc armstrong checking see one thinks combo absolutely garbage
16vornr,k2t80ig,louisville nc 700,nc statefncstatenc location nc statefncstate carterfinley time 700 watch tv espnlespn odds spread ncsu 1 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'nccu']",armstrong starts next fans need revolt
16vornr,k2t897r,louisville nc 700,nc statefncstatenc location nc statefncstate carterfinley time 700 watch tv espnlespn odds spread ncsu 1 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'nccu']",maybe byu cincy lot tequila cleanse pallet mess
177vtsq,k4wkpyu,washington 330,location husky time 330 watch tv abclabc odds spread wash 3 overunder 670 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'nccu']",appreciate coaches calling like ncaa 14
177vtsq,k4wl1jp,washington 330,location husky time 330 watch tv abclabc odds spread wash 3 overunder 670 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'nccu']",almost like leftwich getting carried line scrimmage winning drive
177vtsq,k4wqb89,washington 330,location husky time 330 watch tv abclabc odds spread wash 3 overunder 670 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'nccu']",cfb best sport going every week matters
18u1f6v,kfii6lr,cotton bowl ohio missouri 800,ohio location att time 800 watch tv espnlespn espnlespn odds spread osu 5 overunder 495 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'nccu']",honestly bowl indictment day loses offense showing pathetic
1780tdz,k4xgsk6,usc notre dame 730,uscfuscusc notre dame location notre damefnotredame notre dame time 730 watch tv nbclnbc peacocklpeacock odds spread nd 3 overunder 630 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'nccu']",im surprised refs didnt blow play dead earlier tbh
17d4h6j,k5uwtri,penn ohio 1200,penn ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'nccu']",hmmm couldve called defensive pi play wanted
