post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
172dawp,k3w5618,purdue 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'nebraskaomaha']",tv like 7 seconds behind peacock pc
172dawp,k3w5y7z,purdue 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'nebraskaomaha']",asked cooper dejean offense brian ferentz wonders whats upside
172dawp,k3w70lb,purdue 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'nebraskaomaha']",mike alstott favorite player time mockobee reminds lot alstott played purdue
172dawp,k3wa9tr,purdue 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'nebraskaomaha']",bad commentary playing anything modern offenses college
172dawp,k3wbs9g,purdue 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'nebraskaomaha']",brian ferentz prefers offensive turnovers dont lead points drives
172dawp,k3wee6o,purdue 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'nebraskaomaha']",hawkeyes tiger hawk foreheads looks like railroad tracks something whats significance railroad tracks
172dawp,k3wfqag,purdue 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'nebraskaomaha']",three running plays first legal wheres flag
172dawp,k3wgrf2,purdue 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'nebraskaomaha']",two runs first downs happening didnt sign usc offense
172dawp,k3wgysg,purdue 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'nebraskaomaha']",please love god connect pass drive
172dawp,k3wxr3r,purdue 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'nebraskaomaha']",didnt want score touch 207 going lose 2120
18wbuu4,kfx4c3k,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'nebraskaomaha']",sec nat get blessed
18wbuu4,kfxcs67,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'nebraskaomaha']",reminder cfp final feature uga bama sec
18wbuu4,kfxfg9l,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'nebraskaomaha']",anybody watch mattbegreat youtube wonder excuse bama losing earlier today
18wbuu4,kfxhsgo,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'nebraskaomaha']",sark orders food drivethru pulls parking lot eat car
18wbuu4,kfxl38c,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'nebraskaomaha']",fuck kid sooners jersey trying
18wbuu4,kfxl8ej,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'nebraskaomaha']",fuck love college award give back community player horns bitch
18wbuu4,kfxlp43,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'nebraskaomaha']",shawn mcdonough looks like upset isnt turtley enough turtle club
18wbuu4,kfxom6f,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'nebraskaomaha']",coworker wants come morning hookup theres sec team nat 2024 gets cooler minute
18wbuu4,kfxyshg,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['usc', 'nebraskaomaha']",considered pac 12 dark cause kind felt like
16ktcfe,k12a0b2,postgame colorado defeats colorado 4335 2ot,box score provided team 1 2 3 4 ot colorado made rcfb,['rcfb'],"['nebraskaomaha', 'paperbag']",wouldnt surprised colorado doesnt win another season
17ta8ra,k8vzm8k,byu 1015,byufbyubyu location byufbyu lavell edwards time 1015 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'nebraskaomaha']",took byu ml 666 think cougars win 666 memes
17ta8ra,k8w9sbu,byu 1015,byufbyubyu location byufbyu lavell edwards time 1015 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'nebraskaomaha']",hey back slander utah best part utah nevada
17ta8ra,k8wa4d4,byu 1015,byufbyubyu location byufbyu lavell edwards time 1015 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'nebraskaomaha']",want 30for30 first sign guy college day sure
183rfxa,karnglv,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'nebraskaomaha']",rushing three shouldnt even double every player 35 yards air covering end zone impossible absolutely shit defensive play
16qzss2,k202ru3,complain team,vent friendly place,['rcfb'],"['nebraska', 'nebraskaomaha']",would 31 maybe even 40 matt rhule started haarberg beginning season instead jeff sims
18d3juv,kcg1qhu,someone told teams bowl matchup beginning year would reacted,looking bowl matchups year one particular caught eye utah fan told id playing northwestern las vegas bowl id probably given season right although suppose flip side northwestern fan youd probably thrilled news would reacted beginning year knew teams bowl matchup preseason hype despair depending,"['floridastate', 'sickos']","['nebraska', 'nebraskaomaha']",would loved bc means would made itas long none wasnt option
17adji1,k5c826c,fit schools fanbase stereotypes,involved greek life never done cocaine religious im certainly minority among tcu alumsfans fan doesnt golf fan doesnt love world war ii history duke fan doesnt care basketball stanford fan bad math wisconsin fan doesnt drink alcohol,['tcu'],"['nebraska', 'nebraskaomaha']",love 90s yes also realistic may never get back championship standard
17ny5nn,k7urpvj,postgame defeats 2724,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['iowastate', 'nebraskaomaha']",playing ou bye week playing osu bye week
17j4q9q,k6z4ag4,complain team,vent friendly place,['rcfb'],"['nebraskaomaha', 'nebraska']",jeff sims worst qb country never play qb ever needs play different position maybe defense cause dont trust holding ball tries play wr
15knp1o,jv98ke8,rumor big ten likely move 10 conference schedule following recent expansion,nan,"['michigan3', 'tulane']","['nebraska', 'nebraskaomaha']",play 10 conference games regular season needs expanded 13 games
188vvkf,kbnaknm,postgame washington defeats 3431,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['nebraskaomaha', 'nebraska']",hell teams thank washington hell great ending pac12 conference pac12 signing
17deytd,k5wicqv,utah usc 800,utahfutahutah uscfuscusc location uscfusc los angeles memorial coliseum time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['nebraskaomaha'],team basically unlimited resources shit defense like every week surprise shame
16qmian,k1xyje0,postgame penn defeats 310,box score provided team 1 2 3 4 iowafiowa00000 penn made rcfb,['rcfb'],"['nebraska', 'nebraskaomaha']",going get absolutely housed nebraska today colorado going get clowned week im going live moment enjoy
18uo86j,kfmcua0,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'nebraskaomaha']",cant believe people stupid enough draw conclusions
17nng69,k7tbqwf,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'nebraskaomaha']",murphy falling part given cats hope didnt drop two easy interceptions could even closer
17nng69,k7ttnf2,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'nebraskaomaha']",good drive choose 3rd 1 fucking choke job kick man thats pretty miserable 30 seconds
17nng69,k7ty2uj,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'nebraskaomaha']",absolutely horrid play calling last set downs going better special fucking play run bullshit
17807ox,k4x7r9n,kansas tech 700,kansas tech location techftexastech jones att time 700 watch tv fox sports 1lfs1 odds spread ttu 1 overunder 565 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'nebraskaomaha']",know run avery pass im trying tamp hype right bound win least 3 heismans
16yz0x3,k3bns5o,whose talent team waste school,knew utilizing nico collins enough watching pros proves whose talent school waste,"['michigan', 'littlebrownjug']","['nebraskaomaha', 'nebraska']",wow many choose id say noticeable wandale robinson scott frost literally fucking clue
189wh00,kbum3uv,cfp rankings final,tv espnlespn follow along selection show full results come two threads posted results serious discussion jokes memes offtopic comments removed rankteamrecord 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,['rcfb'],"['nebraska', 'nebraskaomaha']",yeah travesty getting top 15 win number 4 team county drop playoffs put start year fill two best teams big 10 seems people want god forsaken sport actual performance matter
18w6kt1,kfw4vvu,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'nebraskaomaha']",holy shit making anxious dog fight like watching uncut gems first time
18w6kt1,kfwc4wg,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'nebraskaomaha']",people really going see movie killer swimming pool
18w6kt1,kfwcbmt,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'nebraskaomaha']",orji cool name sounds exactly like
18w6kt1,kfwx5hg,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'nebraskaomaha']",ot exists jimmy remember happened osborne back 84 tom actually made admirable decision situation though
1621ag8,jxv0jim,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['nebraska', 'nebraskaomaha']",guinness good empty stomach happy hour
1621ag8,jxv0zdz,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['nebraska', 'nebraskaomaha']",alright hartman took 205 cover early coast thanks
1621ag8,jxv4xbg,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['nebraska', 'nebraskaomaha']",like imagine scott frost wearing ucf gear
17cih4k,k5rk7g3,mandel suspended connor stalions analyst named reports mastermind alleged signstealing scheme,,"['nebraska', 'northerniowa']","['nebraska', 'nebraskaomaha']",dont understand isnt another level film study youre displaying signs season long without expectation privacy minimal expectation security team smart theyre going try crack code
17ifk69,k6uzzrj,kansas 1200,location kansasfkansas david booth kansas memorial time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['shitilost', 'nebraskaomaha']",bumping nebraska 2 channels
169aftq,jz1fbal,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska2', 'nebraskaomaha']",needed lsu cover 6 parlay doesnt look like thats going happen
17nngbp,k7t6uwm,nebraska 1200,location spartan time 1200 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'nebraskaomaha']",say one dawn today
17nngbp,k7t7a04,nebraska 1200,location spartan time 1200 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'nebraskaomaha']",love ball call replay lol
17nngbp,k7tanm9,nebraska 1200,location spartan time 1200 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraskaomaha', 'paperbag']",call timeout much time left jezz let clock run bit
17nngbp,k7tb1ss,nebraska 1200,location spartan time 1200 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'nebraskaomaha']",think anything greater chance making good half time adjustments due stability shall see
18s6r9q,kf5ugtx,military bowl tulane virginia tech 200,virginia tech location navymarine corps memorial time 200 watch tv espnlespn espnlespn odds spread vt 105 overunder 435 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'nebraskaomaha']",virginia tech copying nebraskas 2021 playbook qb everything including score team
18s6r9q,kf6fxlo,military bowl tulane virginia tech 200,virginia tech location navymarine corps memorial time 200 watch tv espnlespn espnlespn odds spread vt 105 overunder 435 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'nebraskaomaha']",weather gotten shittier second half camera work gotten better
18s6r9q,kf6gzp4,military bowl tulane virginia tech 200,virginia tech location navymarine corps memorial time 200 watch tv espnlespn espnlespn odds spread vt 105 overunder 435 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'nebraskaomaha']",slade looks sounds like guy makes southern dad meme videos
17e697j,k62739x,employee suspended trustees outraged display adolf hitler,nan,"['sanjosestate', 'michigan']","['nebraskaomaha', 'nebraska']",absolute fuck going lansing mi
16qh8i7,k1x7yjp,penn 730,iowafiowaiowa penn location penn statefpennstate beaver time 730 watch tv cbslcbs odds spread psu 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'nebraskaomaha']",know going lose itd great didnt
16qh8i7,k1xftwb,penn 730,iowafiowaiowa penn location penn statefpennstate beaver time 730 watch tv cbslcbs odds spread psu 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'nebraskaomaha']",fucking sucks watch bullshit fire brian
16qh8i7,k1xiac7,penn 730,iowafiowaiowa penn location penn statefpennstate beaver time 730 watch tv cbslcbs odds spread psu 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'nebraskaomaha']",170 im going go watch grass grow rained earlier might fun bullshit
16qh8i7,k1xjqce,penn 730,iowafiowaiowa penn location penn statefpennstate beaver time 730 watch tv cbslcbs odds spread psu 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'nebraskaomaha']",itd get pick six get invested get btfo second half
16qh8i7,k1xndyl,penn 730,iowafiowaiowa penn location penn statefpennstate beaver time 730 watch tv cbslcbs odds spread psu 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'nebraskaomaha']",brian ferentz reads entire terms conditions clicking agree
16qh8i7,k1xo45b,penn 730,iowafiowaiowa penn location penn statefpennstate beaver time 730 watch tv cbslcbs odds spread psu 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'nebraskaomaha']",brian ferentz doesnt change smoke detector battery beeps
16qh8i7,k1xoy7b,penn 730,iowafiowaiowa penn location penn statefpennstate beaver time 730 watch tv cbslcbs odds spread psu 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'nebraskaomaha']",brian ferentz drives faster speed limit roadways putting vehicle traffic pedestrians risk
16qh8i7,k1xp3zq,penn 730,iowafiowaiowa penn location penn statefpennstate beaver time 730 watch tv cbslcbs odds spread psu 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'nebraskaomaha']",brian ferentz rolls stop signs instead coming full stop looking left right left proceeding intersection
16qh8i7,k1xpxhh,penn 730,iowafiowaiowa penn location penn statefpennstate beaver time 730 watch tv cbslcbs odds spread psu 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'nebraskaomaha']",brian ferentz doesnt silenceturn phone movie starts
16qh8i7,k1xqslq,penn 730,iowafiowaiowa penn location penn statefpennstate beaver time 730 watch tv cbslcbs odds spread psu 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'nebraskaomaha']",brian ferentz pretends isnt gets hit dodgeball
16qh8i7,k1xrhtl,penn 730,iowafiowaiowa penn location penn statefpennstate beaver time 730 watch tv cbslcbs odds spread psu 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'nebraskaomaha']",brian ferentz puts one red sock white clothes dryer
16qh8i7,k1xrmoy,penn 730,iowafiowaiowa penn location penn statefpennstate beaver time 730 watch tv cbslcbs odds spread psu 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'nebraskaomaha']",brian ferentz missed easy 2 popfly right fielder
16qh8i7,k1xrs9s,penn 730,iowafiowaiowa penn location penn statefpennstate beaver time 730 watch tv cbslcbs odds spread psu 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'nebraskaomaha']",took dallas clark jersey poured beer took dog piss im uninterested shit show something change
16qh8i7,k1xufp1,penn 730,iowafiowaiowa penn location penn statefpennstate beaver time 730 watch tv cbslcbs odds spread psu 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'nebraskaomaha']",know brian ferentz learn guy dont care
16qh8i7,k1xukrl,penn 730,iowafiowaiowa penn location penn statefpennstate beaver time 730 watch tv cbslcbs odds spread psu 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'nebraskaomaha']",wow brian ferentz guy sounds like real jerk cant say im fan
16kehcu,k0vk8t7,western 330,western iowafiowaiowa location iowafiowa kinnick time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'nebraskaomaha']",checking schedule week week 1 opponent utah 2139 loss air force week 2 opponent isu lost ohio mac today 710 week 4 opponent psu blowing illinois 307 middle 4th today
16kehcu,k0vrvoz,western 330,western iowafiowaiowa location iowafiowa kinnick time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'nebraskaomaha']",dont score touchdown brian fired immediately let get tarmacked idc city tarmac
16kehcu,k0w04mn,western 330,western iowafiowaiowa location iowafiowa kinnick time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'nebraskaomaha']",idk lachey senior year hopefully hes healthy enough play future
16kehcu,k0w4ytz,western 330,western iowafiowaiowa location iowafiowa kinnick time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'nebraskaomaha']",mfw dont feed dont get political ads
16kehcu,k0w9uv1,western 330,western iowafiowaiowa location iowafiowa kinnick time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'nebraskaomaha']",brian going full pelini sidelines might enough id hope
16kehcu,k0wcq4z,western 330,western iowafiowaiowa location iowafiowa kinnick time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'nebraskaomaha']",wish hawkeyes played many games braves could turn shitty ones go day
16kehcu,k0wht1g,western 330,western iowafiowaiowa location iowafiowa kinnick time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'nebraskaomaha']",hope brian averages 35 points hope clicks
182v9ux,kal28ci,nebraska 1200,iowafiowaiowa location memorial lincoln ne time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'nebraskaomaha']",hear chubba younger brother brock one time
182v9ux,kal967c,nebraska 1200,iowafiowaiowa location memorial lincoln ne time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'nebraskaomaha']",crazy blow play dead give reaches lmao
182v9ux,kalaqzu,nebraska 1200,iowafiowaiowa location memorial lincoln ne time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'nebraskaomaha']",shot downfield 1 yard pass te lol
15jtrv5,jv1yjtx,real villain realignment,would argue demanded tv network without equal revenue sharing rest big 12 schools catalyst cu nu tamu mizzou leaving big 12 everything followed set motion longhorn network ironically folded sec network joins sec,['oklahoma'],"['nebraskaomaha', 'nebraska']",100 ruined big 8 one reasons nebraska colorado left big 12 notice colorado coming back big 12 gone
15jtrv5,jv2cd2h,real villain realignment,would argue demanded tv network without equal revenue sharing rest big 12 schools catalyst cu nu tamu mizzou leaving big 12 everything followed set motion longhorn network ironically folded sec network joins sec,['oklahoma'],"['iowa', 'nebraskaomaha']",administrators coaches talking transfer portal killing
18phz33,keorr3g,las vegas bowl northwestern utah 730,utahfutahutah location allegiant time 730 watch tv abclabc espnlespn odds spread utah 65 overunder 415 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'nebraskaomaha']",dont like dont like big ten
17nxpm2,k7vkq5e,lsu 745,lsuflsulsu location alabamafalabama bryantdenny time 745 watch tv cbslcbs odds spread ala 45 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'nebraskaomaha']",type thing eliminated
