post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzwjqq6,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['newmexico', 'riogranderivalry']",damn big schools going today right
172b4cp,k3wbfkf,marshall nc 200,nc statefncstatenc location nc statefncstate carterfinley time 200 watch tv cwlcw rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'newmexico']",dont know expected college cw slightly disappointed basically espn broadcast
172b4cp,k3wlorp,marshall nc 200,nc statefncstatenc location nc statefncstate carterfinley time 200 watch tv cwlcw rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'newmexico']",work cw espn graphics espn produce cw pays sort fee
18wbuu4,kfx7qe9,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['utep', 'newmexico']",need clip towel getting snatched whatever kinda funny see lol
18wbuu4,kfxepgd,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['missouri', 'newmexico']",buffalo wild wings buffalo would better commentator pat mcafee
18wbuu4,kfxfm37,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['newmexico'],really wish teams would hard count times go
18wbuu4,kfxfvj0,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['newmexico'],think leg behind line hes fine
18wbuu4,kfxi8vj,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['southernillinois', 'newmexico']",5050 callmccarthy didnt get last ewers got one hate confusing calls
18wbuu4,kfxka2j,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'newmexico']",osu wazzu gonna pac 12 shields jerseys next year chance ends tonight
18wbuu4,kfxkhv8,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'newmexico']",really fun get 2 sec big ten matchups bring new cfb era
18wbuu4,kfxkkvr,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['southernillinois', 'newmexico']",shout east coasters staying strong bedtime least 2 hours
18wbuu4,kfxkxcc,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'newmexico']",got shit complaining rose bowl east coasters work tomorrow gonna groggy work tomorrow cool looking sunset
18wbuu4,kfxljsn,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['newmexico'],makes glad work nights sunday nights monday nights
18wbuu4,kfxlotn,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'newmexico']",ive went new orleans friends 21st birthday 20 3 months away 21st plan wait friends order see got idd plan load booze found place didnt id thinking id get chances drink weekend turns 75 places bourbon street dont id long story short blacked puked doorstep hat shop ordered fuck ton fried chicken crystals refused eat becuase loudly proclaimed didnt order food arrived 1010 city would visit
18wbuu4,kfxlw47,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['southernillinois', 'newmexico']",kinda gashed washington ground end half see adjust absurd first 40 play plan
18wbuu4,kfxmich,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['southernillinois', 'newmexico']",penix definitely best qb games defense back though
18wbuu4,kfxojrl,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['southernillinois', 'newmexico']",sarkisian anyone watched games knows yall need yall
18wbuu4,kfxry72,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'newmexico']",looks would open around 7 point favorite uw next week believe huskies dont let villains season
18wbuu4,kfxs57h,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'newmexico']",generally prefer college things nfl dpi spot foul something probably adopt
18wbuu4,kfxspdf,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'newmexico']",winners get take bit chaos guy allstate commercials
16q6omx,k1vgekq,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'newmexico']",sandwich far better business
16q6omx,k1vgt0a,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'newmexico']",bought giant bucket chicken churches drink watch day without needing drive food theyre pulling please pull forward parking spot shit want get home booze
16q6omx,k1vwe5w,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'newmexico']",everyone planning starting afternoon window deion missbama hipstery route uclautah think might actually best
16q6omx,k1vxvpc,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'newmexico']",things make hold breath see guy qb doesnt
16q6omx,k1vzf15,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'newmexico']",games pulling away auburn 203 ball rutgers 10 goal range fumbled scoop score added another td running away 317 syracuse may put dagger army 7 halftime 2610 pending extra point cincy hung awhile sooners 176 driving going 240 vandy rattle 13 unanswered kentucky kentucky stop bleeding td 3113 tcu pulling away smu 2710 marshall 2410 virginia tech early 4th quarter
16q6omx,k1w3zmn,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'newmexico']",cincy got stopped 4th 2 likely put one away sooners 206 competitive games note auburn 203 2010 theyre territory marshall 14 virginia tech 7 point 3 minutes left punted back hokies
