post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18t420f,kfc0j5w,hill die rooting conference absolutely cringe,born dolphins fan became fsu fan went someone nfl fan first idea rooting rival unfathomable bring bleach ever root patriots,"['floridastate2', 'floridacup']","['georgia2', 'nfl']",thats difference cfb nfl alum season ticket holder fan always cheer sec nonconference play im also lifelong new york giants fan would never ever cheer dallas philadelphia washington
16knfug,k0xudcy,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nfl', 'uab']",prime gonna regret going even win still looked like straight bitch call
16knfug,k0xxqkn,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nfl', 'uab']",rarely watch college mainly nfl question college dcs dumbest people planet
1684osx,jyui6w6,colorado tcu 1200,tcuftcutcu location tcuftcu amon g carter time 1200 watch tv foxlfox odds spread tcu 205 overunder 645 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texasam', 'ucla']","['nfl', 'uab']",never watch college see deion haters whine may tune bit
1684osx,jyukhue,colorado tcu 1200,tcuftcutcu location tcuftcu amon g carter time 1200 watch tv foxlfox odds spread tcu 205 overunder 645 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texasam', 'ucla']","['nfl', 'uab']",shadeur sanders best player last name sanders time dont
1684osx,jyukuwq,colorado tcu 1200,tcuftcutcu location tcuftcu amon g carter time 1200 watch tv foxlfox odds spread tcu 205 overunder 645 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texasam', 'ucla']","['nfl', 'uab']",looking rice go back beating wives
191zla4,kgzm005,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['nfl'],remember jameis winston deshaun watson tua etc clutch playoff games watch bums carried systems
191zla4,kgzps2l,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['nfl'],harbaugh chokes 10x better roster quit coaching
191zla4,kh006uh,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['nfl'],shitty end season douche mccarthy cheater coach win natty best player decides bad
176fwua,k4mqz0u,else eats rivals mascot tailgate,removed,['washington'],"['georgia2', 'nfl']",used largely subsided weve gotten older always eat enemy south carolina fried chicken florida gator tail although im headed jacksonville weeks anticipate diet consist alcohol fried gator
183m7sj,kaptdk9,would committee really leave undefeated fsu,bear suggested big noon kickoff 1 loss conference champs would get travisless noles essentially 4 best teams argument cant imagine committee penalizing team losing starting qb go undefeated p5 schedule youre conference champ dont get think tallahassee would burn noles serious risk,"['byu', 'utah']","['georgia2', 'nfl']",someone whos fantasy league 2 fsu fans would make laugh would make group chant banter electric make
1944jm2,khe8rc3,nick saban jim harbaugh could kick giant ncaa coaching carousel offseason fanbases feeling nervous,nick saban jim harbaugh could cause absolutely chaos offseason im curious know fanbases feeling nervous,['kansas'],"['georgia2', 'nfl']",kirby home theres reason worry please god
