post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzwe8p5,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'northeasternoklahomaam']",sanders got tired said fuck going pylon im gonna go upfield
16ei5hq,jzwfhws,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'northeasternoklahomaam']",finish 24 hour clinics austin gonna full 2am complaint doc lasting longer 4 hours
16ei5hq,jzwgewv,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'northeasternoklahomaam']",thats gonna moment film room dc plays tape rewinds multiple times asking fuck every time
16ei5hq,jzwhrwz,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'northeasternoklahomaam']",feel bad whatever walkon saban going sacrifice front team prove point
16qh8am,k1xk9on,baylor 730,location baylorfbaylor mclane time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'northeasternoklahomaam']",pokes baylor stick hey something pokes harder nah theyre dead
17y9i7m,k9sg6zm,byu 1200,byufbyubyu location byufbyu lavell edwards time 1200 watch tv espnlespn odds spread ou 24 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'northeasternoklahomaam']",venables gonna tear defense new one half slick one thing playing position taking bad angles isnt helping us
17y9i7m,k9snyws,byu 1200,byufbyubyu location byufbyu lavell edwards time 1200 watch tv espnlespn odds spread ou 24 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'northeasternoklahomaam']",jackson arnold gonna qb second half dg head injury
17y9i7m,k9sp0wx,byu 1200,byufbyubyu location byufbyu lavell edwards time 1200 watch tv espnlespn odds spread ou 24 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'northeasternoklahomaam']",stretch fucking lebby behind line shit doesnt fucking work especially cant cut
17y9i7m,k9ssdxw,byu 1200,byufbyubyu location byufbyu lavell edwards time 1200 watch tv espnlespn odds spread ou 24 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'northeasternoklahomaam']",playing position getting almost penatration line taking poor angles pursuit team prepare week pathetic showing defensively outside pick 6
17y9i7m,k9swsfk,byu 1200,byufbyubyu location byufbyu lavell edwards time 1200 watch tv espnlespn odds spread ou 24 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'northeasternoklahomaam']",stop calling runs arnold hope beville feed sawchuck look scored see lebby feed man
17y9i7m,k9sy82l,byu 1200,byufbyubyu location byufbyu lavell edwards time 1200 watch tv espnlespn odds spread ou 24 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'northeasternoklahomaam']",get ready boys gonna get conservative instead trying put away 3 shitty punt incoming
17y9i7m,k9syfxv,byu 1200,byufbyubyu location byufbyu lavell edwards time 1200 watch tv espnlespn odds spread ou 24 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'northeasternoklahomaam']",receivers arent used running go route qb actually sling
17y9i7m,k9t0cwq,byu 1200,byufbyubyu location byufbyu lavell edwards time 1200 watch tv espnlespn odds spread ou 24 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'northeasternoklahomaam']",gg byu probably least toxic ive season best luck future conference
166ov2x,jyl9mml,kent ucf 700,kent ucffucfucf location ucffucf fbc mortgage time 700 watch tv fox sports 1lfs1 odds spread ucf 36 overunder 560 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['iowastate', 'southdakotastate']","['oklahoma', 'northeasternoklahomaam']",dont know anyone listening ucfs radio broadcast color commentator sounds pretty buzzed appreciate
17deytd,k5x7zz3,utah usc 800,utahfutahutah uscfuscusc location uscfusc los angeles memorial coliseum time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'northeasternoklahomaam']",caleb williams guy jumps bed utahs mormon guys soaking
17nng69,k7toj7p,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'northeasternoklahomaam']",borderline sickos shit real edging going
