post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18wbuu4,kfxfxww,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arizona', 'northernarizona']",im neutral known huskies paid refs woulda thrown money
18wbuu4,kfxi8a5,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arizona', 'northernarizona']",cleaner played bama earlier
18wbuu4,kfxx51d,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northernarizona', 'stanford']",man get wanting first sucks didnt take knee
16qzss2,k21zuce,complain team,vent friendly place,['rcfb'],"['ucla', 'northernarizona']",surely utahs defense cant good oline must trash
16npqej,k1fzkme,week 4 matchup preview 20 colorado buffaloes 10 ducks,20 10 oregonforegon saturday september 23 0330 eastern autzen eugene watch abclabc odds oregonforegon 210 pts total points 705 alltime series oregonforegon oregonforegon met 24 times since 10151949 teams last met 319 days ago 11052022 series wins 9015 oregonforegon longest streak continuous meetings 6 20112016 oregonforegon last 3 meetings 20192022 series last 5 meetings co1049 or2952 or345 or4138 co2441 series comparison data via week 3 3000result 1tcuftcu 2110w 4542portland 1200w 817 1201w 3614texas techftexastech 1200w 3830 3colorado 0200w 1300w 5510 rankings reflect current rcfb injury report data scraped 20230920 100014 alton mccaskill ivrbques sat kneemon sep 18mccaskill sat previous three games recovering acl tear availability saturday known javon antoniowrques sat shouldermon sep 18antonio sat last two contests shoulder injury unclear lace saturday myles slushersques sat undisclosedmon sep 18slusher missed last two matches undefined injury yet determined face saturday louis passarelloteout indefinitely kneethu aug 17passarello sidelined knee injury timetable return yet established van wellscques sat legmon sep 18wells sat previous contest leg injury status saturdays battle versus known travis huntercbmid oct undisclosedmon sep 18hunter idle unspecified injury expected remain shut sometime october earliest cormani mcclaincbques sat undisclosedmon sep 18mcclain held last three games unspecified ailment remains seen take saturdays matchup injury data lifted oregonforegon injury report data scraped 20230920 100014 josh delgadowrques sat undisclosedmon sep 18delgado missed last three contests unknown injury unknown play colorado saturday injury data lifted keys think wins think favorite cover spread players interested watch lets talk vote matchup win poll simply include name team think win enclosed part top level comment discussing matchup change vote edit initial comment bracket team change vote often like posted full listing accepted fbs team aliases found fcs teams need use full name appears post title listing links live vote totals matchup preview threads current week found like format generate matchup discussion matchup discussion please dm udupreesdiamond regarding template,"['oregonstate', 'summertimelover']","['northernarizona', 'texas']",closer people think still pac
17j4q9q,k6yp7e8,complain team,vent friendly place,['rcfb'],"['arizona', 'northernarizona']",last week get pnw team home dark
166ov2x,jylbw3g,kent ucf 700,kent ucffucfucf location ucffucf fbc mortgage time 700 watch tv fox sports 1lfs1 odds spread ucf 36 overunder 560 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['iowastate', 'southdakotastate']","['northernarizona', 'floridastate2']",isnt penalty wear short pants dont cover knees wheres zebra friend
17deytd,k5wzr30,utah usc 800,utahfutahutah uscfuscusc location uscfusc los angeles memorial coliseum time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northernarizona', 'stanford']",wouldve thought utah backup qb season would stay natty contention longer usc
16jq8ru,k0rn4y3,virginia maryland 700,location secu time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northernarizona', 'floridastate2']",holy shit goal looked like playing golf know im going slice shit aim 30 yards side
17nng69,k7t7ry1,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northernarizona', 'texas']",keep trying honest god kick fg
17nng69,k7tam3o,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northernarizona', 'texas']",expectable thing playing like shit big lead dont understand consistently issue us years
17nng69,k7tojjx,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northernarizona', 'texas']",theyre nothing dangerous us big lead well probably get dominant god team stressful
16e7uxq,jzusysw,utah baylor 1200,utahfutahutah location baylorfbaylor mclane time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arizonastate', 'northernarizona']",first time ive ever seen one team let score player purposely scoring top
16yz0x3,k3f4oev,whose talent team waste school,knew utilizing nico collins enough watching pros proves whose talent school waste,"['michigan', 'littlebrownjug']","['ucla', 'northernarizona']",arian foster 4th string back tennessee kiffin
18w6kt1,kfwwy0h,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northernarizona', 'fiu']",wonder harbaugh puts legacy line goes two
183w2c9,kasfq50,florida florida 700,florida location floridafflorida ben hill griffin time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'northernarizona']",kirk herbstreit comment year guy writhing pain
172s434,k3ygkp5,postgame usc defeats arizona 4341 3ot,box score provided team 1 2 3 4 ot made rcfb,['rcfb'],"['northernarizona', 'pac12']",could almost excuse tucson caleb williams also incredible
17szvco,k8tpqqw,arizona colorado 200,location folsom time 200 watch tv pac12 networklp12n odds spread ariz 10 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arizona', 'northernarizona']",jedd cmon shouldnt using two timeouts first quarter
17szvco,k8u0k7z,arizona colorado 200,location folsom time 200 watch tv pac12 networklp12n odds spread ariz 10 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arizona', 'northernarizona']",noah late throws lot today
17szvco,k8u1235,arizona colorado 200,location folsom time 200 watch tv pac12 networklp12n odds spread ariz 10 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arizona', 'northernarizona']",cant handle us zendejas dont deserve us loop
17szvco,k8ujkf6,arizona colorado 200,location folsom time 200 watch tv pac12 networklp12n odds spread ariz 10 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arizona', 'northernarizona']",prime portal speak looking new kicker
18sx6e0,kfb7on1,ever one favorite college players end least favorite nfl team conversely ever college player couldnt stand end favorite nfl team go,fan kansas jayhawks kansas city chiefs ive seen missouri tigers kstate wildcats end chiefs roster cant say dramatic way chiefs draft kstate player felix anudikeuzomah first round earlier year cant say stood player disliked college nick bolton mizzou drafted chiefs second round back 2021,['kansas'],"['georgia3', 'northernarizona']",lemme see brock bowers ends ill get back far inverse kyle pitts probably closest ive falcons excited getting kind talent roster course still learning use thats neither
169aftq,jz1j1d8,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oregonstate', 'northernarizona']",love god lsu deserve 5 preseason ranking anyone fill sec buff guess
17vd5mj,k9a8xv7,washington pac 12,know billable hours going win media rights cover spread 2pac secure bag departing schools take control keys,"['oregonstate', 'sickos']","['ucla', 'northernarizona']",imagine waving half billion dollars faces ucla uw uofa
168fxcn,jywlrbx,tech wyoming 730,tech location wyomingfwyoming jonah war memorial time 730 watch tv cbslcbs odds spread ttu 14 overunder 520 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texastech2', 'saddle']","['arizonastate', 'northernarizona']",never seen coin land askew like coin didnt flip ref flipped aaron rodgers complained didnt get call headstails 2nd flip
1735e54,k40pa64,ap poll 1082023,nan,"['minnesota', 'delaware']","['northernarizona', 'pac12']",utah gained 2 spots loss pac12 quality losses confirmed
17nrxjh,k7uo0cz,northwestern 330,iowafiowaiowa location wrigley time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'northernarizona']",dont think ive ever seen timeout kickoff
17o0i1u,k7vzr3e,colorado 1000,location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oregonstate', 'northernarizona']",momentum back colorado naw team still trash despite bad decisions might make
17v67wr,k98qrsa,jimbos buyout disgrace,think lot coaching carousel coverage missing obvious point outrageous public university pay 78 million someone coach team understand boosters come cash side doesnt come literally general budget people need understand cash fungible dollars donated could donated university outright b could used literally worthwhile purpose paying jimbo fisher strong suspicion boosters donation papered give tax deduction well effectively americans subsidizing 40 shitshow understand college sports headed insane direction decades really ripped overton window wide open point inflated broadcast money going start dry lot universities public private going find investing fbs cfb expense rest institution huge mistake,"['notredame', 'indiana']","['northernarizona', 'valleycitystate']",honestly biggest argument players say pay us
17w30ir,k9ewyf5,classes athletes school like,sorry distract coaching drama offseason style discussion go ive seen plenty stories players goofy parties dorms around campus im curious acted classes specifically studious never show treated like gods among men normal students happened great shape,"['michigan3', 'american']","['georgia2', 'northernarizona']",class kicker last fall redshirted go nau saw got kick blocked arizona like wouldve beaten either way lol tbh different type disappointment know guy personally
16z2cw9,k3d44d1,people 12 team playoff,maybe im biased penn fan whose team would made 59 12 team playoffs far existed great way let teams get redeeming shot one two closequality losses youre best 4 teams still get bye road 4 team nfl less fun playoffs college basketball absolutely sport dont see downsides gives clear path 8 good compete still lets top 4 teams better chance getting championship,"['maryland', 'pennstate']","['georgia2', 'northernarizona']",think great may somewhat devalue regular season top 67 teams suddenly week 11 11 15 massive stakes going good product yea may get far thing good team peaking right time genuinely never know g5 possibility yea none ever win damn thing thrill chase chance see good team get knocked
172mpmi,k3yc5vu,arizona usc 1030,uscfuscusc location uscfusc los angeles memorial coliseum time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'northernarizona']",refs called penalty illegal watching
183rg1p,kaqzbem,arizona arizona 330,arizona location arizona mountain america time 330 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arizona', 'northernarizona']",espn gotta tell riddick inxay lignmentre point right
