post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18wbuu4,kfx6ms0,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northernillinois2', 'ap']",whoever ball last going win maction cfp erect
18wbuu4,kfx6zds,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northernillinois2', 'ap']",winning already made cold frost bitten northern heart happy pack b1gbound fellow huskies taking another secbound program would ideal
18wbuu4,kfx7cxv,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northernillinois2', 'ap']",defense stupid teams rightfully refuse engage hooey blessed college
18wbuu4,kfx8byz,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northernillinois2', 'ap']",could live without extended sark crotch cam also horns
18wbuu4,kfxbijb,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northernillinois2', 'ap']",washington legit playing like theyve never even heard dudes fun playing school yard ball confidence dangerous regardless teams huskies dont know big know fun terrify sark
18wbuu4,kfxclh0,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northernillinois2', 'notredame2']",even perfectly crafted commercial tacos look like garbage love putting junk body
18wbuu4,kfxhza6,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northernillinois2', 'ap']",know back know
18wbuu4,kfxoie0,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northernillinois2', 'notredame2']",camera crew must great time job tonight walk bourbon street
16kktnu,k0woz9p,tcu houston 800,tcuftcutcu location houstonfhouston tdecu time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['houston2', 'northernillinois2']",motion sickness shuttle bus gonna intense pray
16kktnu,k0wtf6n,tcu houston 800,tcuftcutcu location houstonfhouston tdecu time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['houston2', 'northernillinois2']",oh gosh offense defense
16kktnu,k0x21gp,tcu houston 800,tcuftcutcu location houstonfhouston tdecu time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['houston2', 'northernillinois2']",good stretch didnt regret inability drink
