post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzw1s7p,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'northerniowa']",really want lose sec mean also losing horns also sec mean
16ei5hq,jzw2doj,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['northerniowa'],overreact score saban era clearly always fraud
16ei5hq,jzw8xr3,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'northerniowa']",current score 139 history 139 bc hipparchus makes precise determination length synodic month ie lunation average period moons orbit
16ei5hq,jzwhxfw,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northerniowa', 'iowa']",helmets without bar going visor look odd anyone else
172dawp,k3woq3e,purdue 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'northerniowa']",much like english monarch iowas wide receivers decorative lost purpose long time ago
172dawp,k3wp0kn,purdue 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northerniowa', 'iowa']",im even joking get 1st goal wouldnt mad 4 straight qb sneaks
172dawp,k3wpucc,purdue 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'northerniowa']",brian ferentz doesnt get piss hes lazy river waterpark
172dawp,k3wxxky,purdue 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'northerniowa']",id say brian ferentz likes jethros bbq thats brian dirty
15ixvfm,juxhwx0,realignment discussion,discuss thoughts things related conference realignment,['rcfb'],"['iowastate', 'northerniowa']",wouldnt shocked mw got raided pac keep a5 status know need 8 avoid getting exit fees gk may try pull fast one keep conference alive offering invites get teams exit pull offers add san diego boise fresno colorado utah unlv get 10 smu probably still join 11 idk 12 would try talk stanford cal smu assist buyouts mw schools overall deciding werent expanding tv deal really fucked
16ktcfe,k0y3bht,postgame colorado defeats colorado 4335 2ot,box score provided team 1 2 3 4 ot colorado made rcfb,['rcfb'],"['northerniowa', 'iowastate']",shedeur really good thats got dude throw fuck
17ta8ra,k8wd0fl,byu 1015,byufbyubyu location byufbyu lavell edwards time 1015 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northerniowa', 'iowastate']",well bowl something looked kinda mid half today dont get far let ames ames things lets see happens gg cougs
17y9i7m,k9slxdz,byu 1200,byufbyubyu location byufbyu lavell edwards time 1200 watch tv espnlespn odds spread ou 24 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'northerniowa']",would like put say personally unlike student government reservations byu joining conference
17y9i7m,k9spexh,byu 1200,byufbyubyu location byufbyu lavell edwards time 1200 watch tv espnlespn odds spread ou 24 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'northerniowa']",gotta give roderick play calling solid far today
17y9i7m,k9ss7gb,byu 1200,byufbyubyu location byufbyu lavell edwards time 1200 watch tv espnlespn odds spread ou 24 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'northerniowa']",byus first play 100yard picksix 14yard run aidan robbins
17y9i7m,k9sshul,byu 1200,byufbyubyu location byufbyu lavell edwards time 1200 watch tv espnlespn odds spread ou 24 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'northerniowa']",byu exceeded season average yards 4 minutes left 3rd
