post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
184dt9f,kaujfvo,complain team,vent friendly place,['rcfb'],"['georgia3', 'northgeorgia']",205 rushing yards boneheaded penalties mistakes going cut next week guys
16ei5hq,jzw4e6a,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia', 'northgeorgia']",qb didnt get injured first half slipping
16ei5hq,jzwfho5,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia3', 'northgeorgia']",surely putting backup qb 2 tds 4th quarter wouldnt work favor right
172i5sr,k3xkxxi,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia3', 'northgeorgia']",fake qb sneak pass bowers direct snap neither worked still fun see
18wbuu4,kfx55su,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia', 'northgeorgia']",tf wash 7 hood hanging jersey something somebody grab
18wbuu4,kfxbvr1,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia', 'northgeorgia']",honestly couldnt imagine punt returner id shit pants every time
18wbuu4,kfxcesl,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia', 'northgeorgia']",got fucking court morning ima dragging ass sure
16q6omx,k1vjkua,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'northgeorgia']",gave dabo underdog fire loves much yall done fucked
16q6omx,k1vt8rt,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'northgeorgia']",running straight heart defense didnt work first 300 times would work
16q6omx,k1vw4bw,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'northgeorgia']",lmao love everyone goes silent extra point
