post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzvqt77,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam2', 'northtexas']",really rooting bama tonight yes roll ride
16ei5hq,jzvrpxt,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['memphis', 'northtexas']",idc teams way many college games could tv needs multiple channels
16ei5hq,jzw0hb1,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas', 'northtexas']",saban cant win goes qb becoming pattern point
16ei5hq,jzwiwo7,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['northtexas'],2 times ill cheer ou fuck jalen hurts
16ei5hq,jzwjwna,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['memphis', 'northtexas']",chris better win right
16qd8l6,k1w8a51,postgame florida defeats clemson 3124 ot,box score provided team 1 2 3 4 ot florida made rcfb,['rcfb'],"['pennstate', 'northtexas']",klubnik w one worst rpo reads ive ever seen 3rd
16we4lx,k2x6rz9,illinois purdue 330,location purduefpurdue rossade time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['purdue', 'northtexas']",defense finally starting gel illinois bad
18wbuu4,kfx9maj,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northtexas', 'pennstate']",thought throwaway got 1st
18wbuu4,kfxfyob,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['southcarolina', 'northtexas']",whole body across whole line good call
18wbuu4,kfxozin,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas', 'northtexas']",washingtons secondary practice penix im surprised theyre good love sark leaning run man need quinn get something going air
18wbuu4,kfxv8gu,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas', 'northtexas']",im happy came far rbs line couldnt get penix gideon needs pack shit
18wbuu4,kfxx1i5,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['northtexas'],kneel ball dont get missing something seriously
18wbuu4,kfxx2bp,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas', 'northtexas']",dude hurt first half
18wbuu4,kfxx2hg,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['northtexas'],replays still cant tell hurt bad
16q6omx,k1w55ac,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['memphis', 'northtexas']",dabo deserves reliable kicker program like clemson shouldnt acceptable
16q6omx,k1w6pnj,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['memphis', 'northtexas']",horrendous play calling coaching dabo stretch kicker pathetic imagine bring someone street program success shouldnt happen
15ixvfm,jv3l1xj,realignment discussion,discuss thoughts things related conference realignment,['rcfb'],"['tcu', 'northtexas']",end realignment making sport better
16e7uwk,jzuc8ty,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']",['northtexas'],people said nc closed concession stands true
16qh8am,k1xwsyg,baylor 730,location baylorfbaylor mclane time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas4', 'northtexas']",dave aranda obviously slowcore think favorite low album
16ktcfe,k0y1ram,postgame colorado defeats colorado 4335 2ot,box score provided team 1 2 3 4 ot colorado made rcfb,['rcfb'],"['northtexas', 'summertimelover']",colorado 994 chance win 2 minutes left 988 chance win 50 seconds left rcfb shambles
16ktcfe,k0y205o,postgame colorado defeats colorado 4335 2ot,box score provided team 1 2 3 4 ot colorado made rcfb,['rcfb'],"['lsu', 'northtexas']",dramatic ugly footage colorado ever watched seen recent lauren boebert videos
16ktcfe,k0y2oxy,postgame colorado defeats colorado 4335 2ot,box score provided team 1 2 3 4 ot colorado made rcfb,['rcfb'],['northtexas'],ready another week wall wall espn cu coverage
17y9i7m,k9st2lp,byu 1200,byufbyubyu location byufbyu lavell edwards time 1200 watch tv espnlespn odds spread ou 24 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'northtexas']",11 start clevel announcersto everyone involved decisions
17y9i7m,k9sxtqj,byu 1200,byufbyubyu location byufbyu lavell edwards time 1200 watch tv espnlespn odds spread ou 24 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas', 'northtexas']",someone crowd sidelines screaming bloody murder obnoxious hell
183rfxa,karj0wo,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam2', 'northtexas']",sure happened bama player gary
183rfxa,karnj4g,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['pennstate', 'northtexas']",10 auburn totally lost hanging around mans land
16qzss2,k20mmne,complain team,vent friendly place,['rcfb'],"['lsu', 'northtexas']",still feel like dont clear view land end year fsu good 1st half stuttered miss st didnt shit coherent level ark always least dont enough hope 10 win season would satisfied result
16w91xa,k2vwg79,arkansas 1200,amftexasamtexas location att time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam2', 'northtexas']",feels like lot missed goal arkansas running service academy offense
16w91xa,k2vx5tg,arkansas 1200,amftexasamtexas location att time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam2', 'northtexas']",alright gang go patty melt double whataburger lunch
16w91xa,k2w1v0q,arkansas 1200,amftexasamtexas location att time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam2', 'northtexas']",07 05 point pencilpen tip enjoyers use 05 prefer finer tip plus makes writing japanese kanji way easier
16w91xa,k2winm7,arkansas 1200,amftexasamtexas location att time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam2', 'northtexas']",refs dipshits give one last fuck time expired
16w91xa,k2wio5y,arkansas 1200,amftexasamtexas location att time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam2', 'northtexas']",stopped forward progress ass still moving blew whistle
16w91xa,k2wivwr,arkansas 1200,amftexasamtexas location att time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arkansas', 'northtexas']",gg aggies hatelove yall hog fans bring paper bags rotten tomatoes
16qbmww,k1w8njv,ole miss 330,ole missfolemissole miss location alabamafalabama bryantdenny time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'northtexas']",gary 230pm get used honestly
16qbmww,k1wl6y7,ole miss 330,ole missfolemissole miss location alabamafalabama bryantdenny time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['memphis', 'northtexas']",spent time sucking kickers power shank easy kick
16fvde3,k04w1lp,footage surfaces fans shouting racist homophobic insults players,,['michigan'],"['northtexas', 'auburn']",bama fans lose meaning life disappears auburn anyone else loses move different stuff obviously life ton offer dont hate bama rivalry reasons hate em fuckin dorks need college live
16uiinz,k2lebmf,college team finishing move ala mortal kombat,would teams teams would cancel would funniest example floridas finishing move home swamp flooded turned actual swamp think oregons ducks wouldnt fazed standford would one giant tree come nowhere states beavers would win easily one would want play miami due extensive hurricane damage endures etc,"['georgia', 'transferportal']","['northtexas', 'tcu']",north would tsostyle mean green laser show aimed eyes
18d3juv,kcidm3o,someone told teams bowl matchup beginning year would reacted,looking bowl matchups year one particular caught eye utah fan told id playing northwestern las vegas bowl id probably given season right although suppose flip side northwestern fan youd probably thrilled news would reacted beginning year knew teams bowl matchup preseason hype despair depending,"['floridastate', 'sickos']","['northtexas', 'usc']",usc holiday bowl louisville lincoln fuck man youve got last years heisman youre facing louisville know damn well didnt suddenly git gud fuck unt stay home bowl yeah sounds right
