post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
172dawp,k3weuq8,purdue 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'northwesternia']",whats happened spent last hour searching find peacock
16kktnu,k0x9cz7,tcu houston 800,tcuftcutcu location houstonfhouston tdecu time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'northwesternia']",oh god thats terrible call welcome big 12 houston
17807ox,k4wyu5n,kansas tech 700,kansas tech location techftexastech jones att time 700 watch tv fox sports 1lfs1 odds spread ttu 1 overunder 565 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'northwesternia']",howard lose job listening havent paid ton attention
16yz0x3,k3bhh12,whose talent team waste school,knew utilizing nico collins enough watching pros proves whose talent school waste,"['michigan', 'littlebrownjug']","['iowastate', 'northwesternia']",pick one brock purdy breece hall charlie kolar doesnt love going 75 guys
1621ag8,jxvaenv,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['iowastate', 'northwesternia']",hear jason garrett say shoots gun one time
16weuex,k2wz2ye,boise memphis 400,boise location memphisfmemphis simmons bank liberty time 400 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northwesternia', 'boisestate']",welp goes optimism defense teased bit looks like worried going
16weuex,k2x9gqi,boise memphis 400,boise location memphisfmemphis simmons bank liberty time 400 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northwesternia', 'boisestate']",playing soft happens gave points non aggressive boise known taking risks thats got name one yard give running back guarantees yards ball dont know qb great rpo
16weuex,k2xdje3,boise memphis 400,boise location memphisfmemphis simmons bank liberty time 400 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northwesternia', 'boisestate']",secondary play 20 yards might
16weuex,k2xhfc4,boise memphis 400,boise location memphisfmemphis simmons bank liberty time 400 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northwesternia', 'boisestate']",nice job memphis deserved win go win american
17ifk69,k6u2rwj,kansas 1200,location kansasfkansas david booth kansas memorial time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'northwesternia']",honestly went hate teams ou fun watch arent running
17df8ox,k5wbi5l,postgame minnesota defeats 1210,box score provided team 1 2 3 4 iowafiowa370010 made rcfb,['rcfb'],"['iowa', 'northwesternia']",anyone didnt watch punt return man pointed ball waved men get away clearly hand even belly button returned td end reviewed see stepped bounds didnt come back say td motioned fair catch reviewed called play wasnt even close trying biased ive never seen bs ending bs call team ever
183xb4n,kashmma,kansas 800,kansas location kansas bill snyder family time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'northwesternia']",big 12 refs manhattan course snyder house hes conjuring demon magic
