post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
15x72y0,jx7yh76,teams biggest celebrity fan,im sure talked makes interesting conversation osu handful biggest probably lebron,['ohiostate3'],"['oklahomastate2', 'northwestoklahomastate']",garth brooks zach bryan think brought gundy concert tulsa governor also big osu fan let school burn ground ever claim fucker
177ix9d,k4t78ga,postgame stanford defeats colorado 4643 2ot,box score provided team 1 2 3 4 ot made rcfb,['rcfb'],"['oklahoma', 'northwestoklahomastate']",course got peak pac 12 dark friday 13th
18w6kt1,kfw2iii,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahomastate2', 'northwestoklahomastate']",always wild flyover b2
1621ag8,jxuzi7d,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['oklahomastate2', 'northwestoklahomastate']",ever watch television sports always kinda weird seeing commercials probably going im experiencing first time
1621ag8,jxuzw7c,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['oklahomastate2', 'northwestoklahomastate']",smoke blunt getting super stoned becoming useless good amount time b cook black bean quesadillas smoke blunt c grade papers going
1896p8u,kbp9r13,1200,location att time 1200 watch tv abclabc odds spread tex 15 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahomastate', 'northwestoklahomastate']",make sure wasnt jim breuer goat boy impression anthem
189cl2c,kbq6am4,postgame defeats 4921,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['oklahomastate2', 'northwestoklahomastate']",supposed finish 7th instead made conference championship season success idc ou fans fans think
193kpui,kh9vw5k,chris low clowespn x nick saban retiring sources tell espn six national titles,nan,"['rutgers', 'oregon']","['oklahomastate2', 'northwestoklahomastate']",well im sorry team coaching carousel lol
1684osx,jyuhhe2,colorado tcu 1200,tcuftcutcu location tcuftcu amon g carter time 1200 watch tv foxlfox odds spread tcu 205 overunder 645 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texasam', 'ucla']","['oklahomastate2', 'northwestoklahomastate']",sanders best oline leaving dry
1684osx,jyuhxbx,colorado tcu 1200,tcuftcutcu location tcuftcu amon g carter time 1200 watch tv foxlfox odds spread tcu 205 overunder 645 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texasam', 'ucla']","['oklahomastate2', 'northwestoklahomastate']",arent enjoying maybe dont like college
1684osx,jyui4cz,colorado tcu 1200,tcuftcutcu location tcuftcu amon g carter time 1200 watch tv foxlfox odds spread tcu 205 overunder 645 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texasam', 'ucla']","['oklahomastate2', 'northwestoklahomastate']",legit cannot wait see colorado team conference play
172p8o7,k40ao2q,postgame tech defeats miami 2320,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['oklahomastate2', 'northwestoklahomastate']",think would actually kill someone happened
183t14f,kas5sft,postgame defeats ohio 3024,box score provided team 1 2 3 4 ohio made rcfb,['rcfb'],"['oklahomastate2', 'northwestoklahomastate']",fans fans share deep love barry sanders thus like
15ii5j4,juubys6,big 12 conference big 12 conference adds arizona arizona utah,nan,"['texastech', 'big12']","['oklahomastate2', 'northwestoklahomastate']",lot yall doubted ucolonel750 need come eat crow
1680nks,jyt8xpp,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['oklahomastate2', 'northwestoklahomastate']",got back grocery shopping let dog back lit bowl ready watch
1680nks,jytanv8,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['oklahomastate2', 'northwestoklahomastate']",yall watch season finale shadows
1680nks,jytbulp,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['oklahomastate2', 'northwestoklahomastate']",nice betting guy charisma enjoyable bear likenegative charisma
1680nks,jytc3po,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['oklahomastate2', 'northwestoklahomastate']",golf pickleball guys hobbies siblings succession
1680nks,jytfbgv,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['oklahomastate2', 'northwestoklahomastate']",damn reece felt like getting something chest
18938e5,kbooytj,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['oklahomastate2', 'northwestoklahomastate']",probably get blown sure hope dont
18svukf,kf9yojf,fenway bowl boston college smu 1100,boston college smufsmusmu location fenway park time 1100 watch tv espnlespn espnlespn odds spread smu 10 overunder 475 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahomastate2', 'northwestoklahomastate']",bowl games much fun team played already
18wd5xz,kfx1i8t,postgame defeats 2720 ot,box score provided team 1 2 3 4 ot made rcfb,['rcfb'],"['oklahomastate2', 'northwestoklahomastate']",play call 4th
