post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
15j08i1,jux0blp,colin cowherd usc playing badgers saturday night camp randall huskies hosting montlake ducks shootout eugene w penn loyalty stuff fade pretty quickly give big games im,,"['michigan', 'fau']","['floridastate', 'nottingham']",great matchups dont deal dominicans cowherd
15ry50a,jwf9jkf,unpopular prediction 2023 involving team,made two award winning threads last year two years ago asking question probably yearly tradition point mine none new big 12 teams winning record conference play year despite people think bounce back year kansas goes back kansas misses bowl tennessee regresses losing 3 games regular season,"['auburn', 'uwf']","['floridastate', 'nottingham']",unpopular prediction significantly better last year walk away similar record 10311294 kind year think folks bit bullish us talk winning acc making playoff good dont think well good still couple recruiting classes ready prime time imo would love wrong course
1836rhr,kanihdg,830,location oregonforegon autzen time 830 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'nottingham']",protip beavs letting entire defense backfield millisecond snap smart jmho
189ltao,kbs09fh,postgame florida defeats louisville 166,box score provided team 1 2 3 4 florida made rcfb,['rcfb'],"['floridastate', 'nottingham']",distinction best deserved vibes everybody says otherwise eat ass
17stvpf,k8spvdf,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['floridastate', 'nottingham']",defeated alqaeda years ago yet presumably maintain black sites inexplicably havent renditioned pay mcafee yet
17stvpf,k8sq70a,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['floridastate', 'nottingham']",told marshall supreme court seeking death penalty jim harbaugh take joy reporting
17stvpf,k8su9sr,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['floridastate', 'nottingham']",dont really know think comes kind dorky earnest still gruff coach guy thing kind like dan lanning
188qre7,kbmowrf,washington 800,location allegiant time 800 watch tv abclabc odds spread ore 95 overunder 655 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'nottingham']",coach going relent let vincent donofrio use raptors frankly
16e3yqv,jztbrse,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['floridastate', 'nottingham']",mcafee sentient balloon animal created guys roman statue avis twitter
16e3yqv,jztlng6,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['floridastate', 'nottingham']",props rolling stones angry meh boys 80 yearsold impressive
16e3yqv,jztvrv9,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['floridastate', 'nottingham']",hartmann good clear love hartmann none grow beard
17y9ic0,k9sdix9,louisville miami 1200,location miamifmiami hard rock time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'nottingham']",going die laughing toothed birds fighting mack browns blow chokies get acccg
183mtar,kapuwrd,ohio 1200,ohio location time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'nottingham']",going play ball fox waiting around blame woke cameras
183mtar,kapxvuf,ohio 1200,ohio location time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'nottingham']",respect big ten commitment play unattractive trash weather
183mtar,kaq3tiu,ohio 1200,ohio location time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'nottingham']",somewhere theres pasty guy midwestern retirement home watching 3 ypp dogshit hasnt horny since hiroshima
17tqfr3,k99273e,coaching carousel carousel opens first bloody sunday year,jimbo fisher 76 million richer andy avalos boise else next daily threads space speculate coach coach new coach might etc welcome back coaching carousel,['rcfb'],"['floridastate', 'nottingham']",honestly hate cover letters mostly refuse write respect dabo going losing 4 5 games aggie really want job youve gotta show get
1840c06,kasvsug,california ucla 1030,uclafuclaucla location uclafucla rose bowl time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'nottingham']",dante moore deserved pick wearing snood qb snoods allowed dbs wrs
1840c06,kat0eyx,california ucla 1030,uclafuclaucla location uclafucla rose bowl time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'nottingham']",choked skittle cheers ucla fault
1840c06,kat1ere,california ucla 1030,uclafuclaucla location uclafucla rose bowl time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'nottingham']",keep saying dont know going happen rose bowl know happening
169ggpv,jz1legw,postgame florida defeats lsu 4524,box score provided team 1 2 3 4 lsuflsu7100724 florida made rcfb,['rcfb'],"['floridastate', 'nottingham']",bayou bros didnt go way yall wanted love yall gg
1840t56,kaso68a,coaching carousel ii get holiday shopping,coach want christmas boys girls coaching market open daily threads space speculate coach coach new coach might etc welcome back coaching carousel,['rcfb'],"['floridastate', 'nottingham']",mark stoops hell yeah ill take hundred mil retirement 35 years
183jc7m,kap6c1i,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['floridastate', 'nottingham']",really dont know think gun head think win fairly close nothing would really shock
183jc7m,kapkbgq,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['floridastate', 'nottingham']",think setting staff steal signs bad
