post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16kktkx,k0xa2h9,wyoming 800,location texasftexas dkrtexas memorial time 800 watch tv longhorn networkllhn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas4', 'oklahomapanhandle']",understand sark sticks ewers fervently talented teams seems overlook every unranked team play
183rfxa,karik9p,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas4', 'oklahomapanhandle']",think whether think enough overturn another story
183rfxa,karnexf,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas4', 'oklahomapanhandle']",never ever rush 2 drop 9 coverage least try get qb
16w91xa,k2vxbp9,arkansas 1200,amftexasamtexas location att time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas4', 'oklahomapanhandle']",terrible call try draw offsides dont actually go
16cmkp9,jzkwjpt,greatest cfb comebacks time,byu fan taught 1980 holiday bowl dubbed miracle bowl greatest comeback time familiar link highlights unfortunately couldnt find version scores screen though saw 14 byus prostyle pass oriented offense pitted 19 smus pony express explosive running byu trailed resulting grandma leaving living room go knit four minutes left cougars 2545 fans began leave byu quarterback jim mcmahon screamed wasnt mcmahon backed throwing 14 yard touchdown pass byu recovered onside kick quickly made way culminating 1 yard touchdown run leaving score 3945 smu forced punt next possession byu blocked punt taking possession 41 yard line 13 seconds left 3rd 10 mcmahon launched 41 yard hail mary touchdown pass extra point sealing cougars win 4645 cougars scored 21 points last 233 secure first ever bowl win said sadly unfamiliar great comeback stories would like know candidates best comeback time,['byu'],"['texas4', 'oklahomapanhandle']",present oregontcu 2016 alamo bowl tcu went 310 halftime brought back win 3ots 4741
18x4db5,kg2ddmo,penixs performance last night think first round qb,throws pocket nothing short spectacular hes probably top 5 deep ball college thrower ive ever seen evaluators seem think hes tier daniels maye williams ive seen penix good guys maybe outside williams caleb move pocket make things happen,[],"['texas4', 'oklahomapanhandle']",everyone saying penix old fooling isnt brandon weeden 2 years older guy everyone going number 1 overall age wont affect draft stock whatsoever injury history might
17nng69,k7t1rii,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas4', 'oklahomapanhandle']",worthy always seems make easy catches look hard hard catches look easy
17nng69,k7t2h60,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas4', 'oklahomapanhandle']",huge win kstate wish gotten tuddy instead fg
17nng69,k7t68lp,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas4', 'oklahomapanhandle']",know early murph looks every bit good ewers
17nng69,k7t77wq,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas4', 'oklahomapanhandle']",worthy threat started season muffing legitimately threat take distance every return
17nng69,k7t7p9u,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas4', 'oklahomapanhandle']",know big hitter earlier hate 4th calls take points sark please
17nng69,k7tae1u,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas4', 'oklahomapanhandle']",first pick rattled new kid looks completely incompetent throwing ball needs someone calm nerves
17nng69,k7tctw5,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas4', 'oklahomapanhandle']",commentators idea talking murphy absolute statuejust looks like vy doesnt mean run like vy
16d8tr1,jzux03m,cant seem buy brian kelly,watching lsu lose way florida gut punch brian kelly doesnt seem like edge need top tier head coach sec disrespect bk im sure right man lsu watching games back coached nd crucial moments team justyou knowfolded seems like bk era lsu bringing vibe curious see others think situation,['lsu'],"['texas4', 'oklahomapanhandle']",dont understand bk hate tbh best coach country top 5 yeah probably great coaches arent dime dozenhell competent coaches arent dime dozen kelly good 1011 wins per season contention conference years definitely good enough win natty
190y1iq,kgs8ag2,fcs championship south dakota montana 200,south dakota dakota location toyota time 200 watch tv abclabc espnlespn odds spread sdsu 14 overunder 485 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas4', 'oklahomapanhandle']",awful missed call pi lets hope doesnt bit ass
190y1iq,kgsb2jb,fcs championship south dakota montana 200,south dakota dakota location toyota time 200 watch tv abclabc espnlespn odds spread sdsu 14 overunder 485 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas4', 'oklahomapanhandle']",hate catch control way ground gets knocked away stupid
190y1iq,kgsc0j0,fcs championship south dakota montana 200,south dakota dakota location toyota time 200 watch tv abclabc espnlespn odds spread sdsu 14 overunder 485 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas4', 'oklahomapanhandle']",probably unfortunately sdsu way physical grizzlies defense theyre running roughshod
190y1iq,kgscgbv,fcs championship south dakota montana 200,south dakota dakota location toyota time 200 watch tv abclabc espnlespn odds spread sdsu 14 overunder 485 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas4', 'oklahomapanhandle']",yup sdsu feasting sorry montana bros hoping would nice close end
172f8wn,k3wehbm,postgame defeats 3430,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['texas4', 'oklahomapanhandle']",great gave neutrals something fun watch sad win yall played better clearly wanted hopefully rerun 2018 reverse beat yall ccg
16eokoj,jzwwymg,postgame defeats 3424,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['texas4', 'oklahomapanhandle']",4th quarter convinced going lose convinced saban co going saban co things win trailed whole night didnt fucking happy rn
168fxcn,jywmdv1,tech wyoming 730,tech location wyomingfwyoming jonah war memorial time 730 watch tv cbslcbs odds spread ttu 14 overunder 520 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texastech2', 'saddle']","['texas4', 'oklahomapanhandle']",got home work sat ngl expected tech cruising looks like wyomings qb carrying
168fxcn,jywo3en,tech wyoming 730,tech location wyomingfwyoming jonah war memorial time 730 watch tv cbslcbs odds spread ttu 14 overunder 520 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texastech2', 'saddle']","['texas4', 'oklahomapanhandle']",baylor tcu tech wvu lost byu struggling sam houston houston barely got utsa thats call conference parity
15jtrv5,jv1ro0c,real villain realignment,would argue demanded tv network without equal revenue sharing rest big 12 schools catalyst cu nu tamu mizzou leaving big 12 everything followed set motion longhorn network ironically folded sec network joins sec,['oklahoma'],"['texas4', 'oklahomapanhandle']",nebraska demanded right media rights 2008 pursuit forming networks even late 2010 looked like nebraska would get networks also blocked vote equal revenue sharing big 12 four parallel backchannel talks leave big 12 around time easy target actually formed network rarely gets talked first attempt network network included baylor tech blew want air high school games x200b going lay blame one persons feet fox handling time slots big reasons two schools made jump begin with11am kickoffs cited primary driving factor specifically neither schools go anywhere without
182v9tz,kal8d04,tcu 1200,tcuftcutcu location memorial norman ok time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas4', 'oklahomapanhandle']",safety lucky didnt get unsportsmanlike taunting lmfao tcu hasnt stopped ou yet theyre still talking shit
182v9tz,kal8sl2,tcu 1200,tcuftcutcu location memorial norman ok time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas4', 'oklahomapanhandle']",ou lbs vacating middle tcu run right middle stop
182v9tz,kal9286,tcu 1200,tcuftcutcu location memorial norman ok time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas4', 'oklahomapanhandle']",swear color commentators reading ai generated script
182v9tz,kal9odl,tcu 1200,tcuftcutcu location memorial norman ok time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas4', 'oklahomapanhandle']",big 12 trying everything reverse narrative favoring opponents lmfao awful call
182v9tz,kalajio,tcu 1200,tcuftcutcu location memorial norman ok time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas4', 'oklahomapanhandle']",love cut middle play fuck broadcast
