post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzw78d0,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['indiana', 'oldoakenbucket']",would wild u back day
172dawp,k3w5mdo,purdue 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['purdue', 'oldoakenbucket']",think one coolest looking stadiums big ten
172dawp,k3w60d7,purdue 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['purdue', 'oldoakenbucket']",havent kick yet ears bleeding
172dawp,k3w6ezo,purdue 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['purdue', 'oldoakenbucket']",expect teams go 3 many many times today
172dawp,k3w6v15,purdue 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['purdue', 'oldoakenbucket']",im sure catch ill take
172dawp,k3wakr6,purdue 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['purdue', 'oldoakenbucket']",man connect go routes put points today
172dawp,k3wb1zy,purdue 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['purdue', 'oldoakenbucket']",im making terrorism
172dawp,k3wc9og,purdue 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['purdue', 'oldoakenbucket']",brohms offense shielded feeling like true big ten west team man firmly west
172dawp,k3wd847,purdue 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['purdue', 'oldoakenbucket']",tip still goes yeah losing
172dawp,k3wedfw,purdue 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['purdue', 'oldoakenbucket']",cant watch shit hope one gets seriously hurt
172dawp,k3wg8u2,purdue 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['purdue', 'oldoakenbucket']",fuck go giving short isnt end world
172dawp,k3wl9rv,purdue 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['purdue', 'oldoakenbucket']",oh cool didnt know watching right
172dawp,k3wnpyx,purdue 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['purdue', 'oldoakenbucket']",fans whining crying horrible yet theyre 51
16we4lx,k2wj68z,illinois purdue 330,location purduefpurdue rossade time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['purdue', 'oldoakenbucket']",lively blame sucking peacock
