post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzwda13,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['tennessee', 'orange']",fucking life nick saban made deal devil 20 years ago
16ei5hq,jzwky1g,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['tennessee', 'orange']",damn wish fans stormed fuck
18wbuu4,kfxs07h,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia', 'orange']",needs spot foul fuck ncaa rules
18wbuu4,kfxuy27,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgiatech', 'orange']",crazy think penix joe burrow trajectory
18wbuu4,kfxxy99,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'orange']",washington gonna lose player got injured clock didnt drain sheesh
18wbuu4,kfxyy9s,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia', 'orange']",youre alum youre rooting washington natty right
16q6omx,k1vdcg0,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'orange']",dont think running tackles gonna work today least first half
16q6omx,k1vfl1p,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'orange']",clemson draws first blood nerves still unsettled lol
16q6omx,k1vnvxd,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'orange']",jordan travis legit excellent qb difference maker team
16q6omx,k1vw36h,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson2', 'orange']",man im feeling fucking proud team today cleaned much
16q6omx,k1w4hpi,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'orange']",
16e7uwk,jzv2k6u,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['clemson', 'orange']",point imagine nc fans developed natural recoil kicking attempts
16ehek1,jzwcga7,cincinnati pittsburgh 630,location acrisure time 630 watch tv cwlcw rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['cincinnati', 'deadpool']","['westvirginia2', 'orange']",pitt giving away silver platter cincy refusing bite lmao
17t1stj,k8u0dna,miami florida 330,florida location florida doak campbell time 330 watch tv abclabc odds spread fsu 145 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida', 'orange']",cant believe im saying go canes hate miami hate fsu
17t1stj,k8ugid4,miami florida 330,florida location florida doak campbell time 330 watch tv abclabc odds spread fsu 145 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['miami', 'orange']",miss would stick around review show numerous camera angles course official acc camera smart phone upper deck theyll say play stands
17t1stj,k8ugt85,miami florida 330,florida location florida doak campbell time 330 watch tv abclabc odds spread fsu 145 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'orange']",acc refs man seem suck worse every year
18uo86j,kflmpyw,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'orange']",fun fact ive watched every bowl time saw florida gators sun bowl showed states 303 win last year
