post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
17q3a8o,k89j89j,big tens tony petiti informed today two programs fed purdue michigans signals 2022 bt title rutgers osu clear rules broken doesnt directly affect ums situation raises question relative competitive advantage,nan,['michigan'],"['michiganstate', 'otemongakuin']",raises questions funny see people liberal bastion ann arbor taking trump talking points scandal
16jq8ru,k0ro2j4,virginia maryland 700,location secu time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michiganstate', 'otemongakuin']",fuck flair told pound cover curses
169aftq,jz1e2p1,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michiganstate', 'otemongakuin']",checking many spartans complaining losing coleman
17nngbp,k7szh3n,nebraska 1200,location spartan time 1200 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michiganstate', 'otemongakuin']",katin thrower thats proceeds air ball receivers head
17df8ox,k6vacoy,postgame minnesota defeats 1210,box score provided team 1 2 3 4 iowafiowa370010 made rcfb,['rcfb'],"['michiganstate', 'otemongakuin']",bye week decided couldnt let country go without sickos ball
17debjw,k5wgpq4,730,location spartan time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michiganstate', 'otemongakuin']",lol play theyd wait 30 seconds blow dead
16eys9r,jzyguf8,couch mel tucker likely coached last,nan,['michigan3'],"['michiganstate', 'otemongakuin']",story wild needs gone percentage women make false claims low compared percentage dont even report even consensual optics ridiculously bad
16qbn6k,k1wf2qb,maryland 330,location spartan time 330 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michiganstate', 'otemongakuin']",play well us dont take sign positivity team
191zla4,kgzzgdw,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michiganstate', 'otemongakuin']",getting away much could mean nocall penalties cheating point dealers choice
191zla4,kgzzxkp,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michiganstate', 'otemongakuin']",amount holding getting away insane looool
191zla4,kh004cc,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michiganstate', 'otemongakuin']",whatever nfl teams drafts mccarthy 4th round getting fools gold
191zla4,kh00flm,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michiganstate', 'otemongakuin']",would love see refs actually start calling penalties theyre actively committing
191zla4,kh028aj,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michiganstate', 'otemongakuin']",im sick hearing jjs eat pray love pre one sibling cancer season
191zla4,kh040ae,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michiganstate', 'otemongakuin']",welp sorry washington cant beat refs hope vacate get solace
191zla4,kh05g75,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michiganstate', 'otemongakuin']",next time tell kids cheaters never prosper hope dont google 202324
191zla4,kh0625p,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michiganstate', 'otemongakuin']",lol egregious washington called holding
191zla4,kh07d0c,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michiganstate', 'otemongakuin']",congratulations vacated 2024 national championship stay probably cheated
17ijw0l,k6v97qq,minnesota 330,location huntington bank time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michiganstate', 'otemongakuin']",way got much credit shutting us embarrassing watching product
17ijw0l,k6vagny,minnesota 330,location huntington bank time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michiganstate', 'otemongakuin']",bye promised sicko
