post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18wbuu4,kfx7wek,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'otterbein']",ive new orleans sir food alone worth trip
17q3a8o,k89sir5,big tens tony petiti informed today two programs fed purdue michigans signals 2022 bt title rutgers osu clear rules broken doesnt directly affect ums situation raises question relative competitive advantage,nan,['michigan'],"['ohiostate', 'otterbein']",clear rules broken b1g confirmed malfeasance rules broken schools contacted conference beforehand verify would permitted got okay nothing see attempted distraction um paid employee paying others attend games person recordwhich blatantly rules explicit
18w6kt1,kfwgf3f,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'otterbein']",line holds dont go deep
18w6kt1,kfwqlbu,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'otterbein']",soon bama get momentum shoot foot
18w6kt1,kfwqvns,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'otterbein']",advertising car starts 90k cable television makes want get naked start revolution
18w6kt1,kfwwt9n,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'otterbein']",moore doesnt jump think breaks
193kpui,kh9xyni,chris low clowespn x nick saban retiring sources tell espn six national titles,nan,"['rutgers', 'oregon']","['ohiostate', 'otterbein']",wild thought bad man would never leave
172755e,k3wgvf3,whats yalls favorite rivalry doesnt involve school,every year tune red river rivalry matter great years rendition feels special two teams leaving sec every play matters exciting matchup two college footballs premier programs hands favorite rivalry involve uga also enjoy iron bowl civil war yall,['rcfb'],"['ohiostate', 'otterbein']",used love fun notre dame matchup shame took us
191zla4,kgzql4y,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'otterbein']",great team fucking gross obnoxious good punter
172j2qi,k3xuush,notre dame louisville 737,notre dame location cardinal time 737 watch tv abclabc odds spread nd 65 overunder 535 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'otterbein']",louisville good example benefits new portal 25 new players one season look good
17myplv,k7ol3wi,team watchcheer zero connection,dad tennessee alum thats obviously main team talking day mentioned surfs rice message boards fun kind surprising know rice message boards also watches service academies whenever served personally love kansas even leipold liked logo uniforms liked rooting underdog white helmet favorite,"['mississippistate', 'santamonica']","['ohiostate2', 'otterbein']",secret love fsu atmosphere brand cool one best college
18u1f6v,kfid23r,cotton bowl ohio missouri 800,ohio location att time 800 watch tv espnlespn espnlespn odds spread osu 5 overunder 495 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'otterbein']",uh qb looks concussed hit trying shake back alertness
177rgo9,k4v99x6,ohio purdue 1200,ohio location purduefpurdue rossade time 1200 watch tv peacocklpeacock odds spread osu 195 overunder 500 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'otterbein']",rogers burnt pounding chest lmao lord grant confidence
177rgo9,k4v9gxr,ohio purdue 1200,ohio location purduefpurdue rossade time 1200 watch tv peacocklpeacock odds spread osu 195 overunder 500 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'otterbein']",everyone tries one hand everything couldve snagged welcome old man corner
177rgo9,k4v9w2m,ohio purdue 1200,ohio location purduefpurdue rossade time 1200 watch tv peacocklpeacock odds spread osu 195 overunder 500 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'otterbein']",jim harbaugh wears deodorant outside shirt
177rgo9,k4vaget,ohio purdue 1200,ohio location purduefpurdue rossade time 1200 watch tv peacocklpeacock odds spread osu 195 overunder 500 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'otterbein']",defense really really poor theyre held
177rgo9,k4vhckx,ohio purdue 1200,ohio location purduefpurdue rossade time 1200 watch tv peacocklpeacock odds spread osu 195 overunder 500 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'otterbein']",lmao fishing dpi easiest play world
177rgo9,k4vhrsg,ohio purdue 1200,ohio location purduefpurdue rossade time 1200 watch tv peacocklpeacock odds spread osu 195 overunder 500 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'otterbein']",feel bad purdue fans malpractice send kicker zero confidence
177rgo9,k4vog31,ohio purdue 1200,ohio location purduefpurdue rossade time 1200 watch tv peacocklpeacock odds spread osu 195 overunder 500 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'otterbein']",ryan day want watch usa germany match
177rgo9,k4vombz,ohio purdue 1200,ohio location purduefpurdue rossade time 1200 watch tv peacocklpeacock odds spread osu 195 overunder 500 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'otterbein']",dont know much five nights freddies im intrigued especially twisted metal way better right
17d4h6j,k5vd7pn,penn ohio 1200,penn ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'otterbein']",really want gus come nickname mhj would
17d4h6j,k5vdlb5,penn ohio 1200,penn ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'otterbein']",miss holding calls get softest facemask roughing ive ever seen
17d4h6j,k5ve707,penn ohio 1200,penn ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'otterbein']",franklin osu getting sack crucial 4th quarter 4th
16e7uv7,jzu2csi,youngstown ohio 1200,youngstown ohio location ohio statefohiostate ohio time 1200 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['ohiostate2', 'toledo']","['ohiostate', 'otterbein']",loving line play second week row
