post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzwcdbf,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arkansas', 'ouachitabaptist']",bizarre play dont know enough rule book dispute ruling
172ium0,k3xtjly,arkansas ole miss 730,ole missfolemissole miss location ole missfolemiss vaughthemingway time 730 watch tv sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arkansas', 'ouachitabaptist']",surprised lane didnt go either ice make us go 95
168fxcn,jyw86u0,tech wyoming 730,tech location wyomingfwyoming jonah war memorial time 730 watch tv cbslcbs odds spread ttu 14 overunder 520 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texastech2', 'saddle']","['arkansas', 'ouachitabaptist']",ball dont lie tech absolutely deserve attempt goal
168fxcn,jyw9d55,tech wyoming 730,tech location wyomingfwyoming jonah war memorial time 730 watch tv cbslcbs odds spread ttu 14 overunder 520 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texastech2', 'saddle']","['arkansas', 'ouachitabaptist']",love tech fans griping matter clock said one second three seconds refs stopped play twice made sure tech opportunity snap ball gave tech kicker extra time get set way get screwed clock didnt say 003 ball snapped one play either way
168fxcn,jywewx8,tech wyoming 730,tech location wyomingfwyoming jonah war memorial time 730 watch tv cbslcbs odds spread ttu 14 overunder 520 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texastech2', 'saddle']","['arkansas', 'ouachitabaptist']",thank goodness tech time set goal attempt
168fxcn,jywiaqn,tech wyoming 730,tech location wyomingfwyoming jonah war memorial time 730 watch tv cbslcbs odds spread ttu 14 overunder 520 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texastech2', 'saddle']","['arkansas', 'ouachitabaptist']",nightmare outing tech goal unit
168fxcn,jywlw11,tech wyoming 730,tech location wyomingfwyoming jonah war memorial time 730 watch tv cbslcbs odds spread ttu 14 overunder 520 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texastech2', 'saddle']","['arkansas', 'ouachitabaptist']",somebody get peasley medal one advil
168fxcn,jywmbqb,tech wyoming 730,tech location wyomingfwyoming jonah war memorial time 730 watch tv cbslcbs odds spread ttu 14 overunder 520 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texastech2', 'saddle']","['arkansas', 'ouachitabaptist']",ocs spamming qb run like ncaa14 real life
17t2g92,k8ulovi,auburn arkansas 400,location razorback time 400 watch tv sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arkansas', 'ouachitabaptist']",way switch fiu road next week apparently team really hates home fans
17t2g92,k8umh9g,auburn arkansas 400,location razorback time 400 watch tv sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arkansas', 'ouachitabaptist']",hey bagged first ever 8point buck morning think im going go make venison stew worry second half let 36 soon 37 team ruin day
