post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzwgqjr,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'patron']",two heavyweights trading punches point gotta stop cheering foragainst one neurtal enjoy
16ei5hq,jzwhv88,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'patron']",noticed banner getting graffiti sweats would incredible
16ptc9b,k1t1hxp,postgame nc defeats virginia 2421,box score provided team 1 2 3 4 nc made rcfb,['rcfb'],"['texastech2', 'patron']",ive never seen team make epic successful comeback simultaneously everything lose
18wbuu4,kfx7url,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'patron']",werent refreshing cfb threads shitposting commercials dunno could stomach watching
18wbuu4,kfxkw5v,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'patron']",man tomorrow gonna suck balls one times wfh worth weight gold
18wbuu4,kfxot4y,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'patron']",go back time find nipple im whelmed
18wbuu4,kfxshrn,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'patron']",never 12 minutes left 50 points calm
17y9i7m,k9sh3wx,byu 1200,byufbyubyu location byufbyu lavell edwards time 1200 watch tv espnlespn odds spread ou 24 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'patron']",abolutely loses last year trust bv co sort lose byu
183rfxa,karj3uc,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'patron']",guy bullying punter like fuck
183rfxa,karm2gp,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'patron']",att going airlines shady business practices probably ultimate definition pot calling kettle black
183rfxa,karne8e,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'patron']",imagine throwing nmsu shit pants like nice job hugh
17ny5nn,k7ursa7,postgame defeats 2724,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['oklahoma', 'patron']",entire reset offense must happen get someone else install something jathe future lot problems ou need fix biggest hole first
16cmkp9,jzkrsds,greatest cfb comebacks time,byu fan taught 1980 holiday bowl dubbed miracle bowl greatest comeback time familiar link highlights unfortunately couldnt find version scores screen though saw 14 byus prostyle pass oriented offense pitted 19 smus pony express explosive running byu trailed resulting grandma leaving living room go knit four minutes left cougars 2545 fans began leave byu quarterback jim mcmahon screamed wasnt mcmahon backed throwing 14 yard touchdown pass byu recovered onside kick quickly made way culminating 1 yard touchdown run leaving score 3945 smu forced punt next possession byu blocked punt taking possession 41 yard line 13 seconds left 3rd 10 mcmahon launched 41 yard hail mary touchdown pass extra point sealing cougars win 4645 cougars scored 21 points last 233 secure first ever bowl win said sadly unfamiliar great comeback stories would like know candidates best comeback time,['byu'],"['texastech2', 'patron']",like 31 came back win bowl second half ultimate
17deytd,k5x6j1y,utah usc 800,utahfutahutah uscfuscusc location uscfusc los angeles memorial coliseum time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'patron']",mean rtp sure targeting dont know man wasnt malicious
16k9mzz,k0uy3hp,lsu mississippi 1200,lsuflsulsu mississippi location mississippi davis wade time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'patron']",bros wear earplugs due clanga sounds deafening
17nng69,k7t5hjj,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'patron']",well fuck nagging concern wed get boatraced always gonna score watching offense try keep like sandpaper soul naturally parents visiting want watch really ruining strategy turning pretending happening
17nng69,k7t5w0i,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'patron']",one day wanna qbwr group reliably strong pass offense like one time wanna know thats like think went wrong school though
17nng69,k7towiu,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'patron']",extra point broke brain cant believe didnt get replay
17nng69,k7ttc2r,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'patron']",thats fireable offense colin klein fuck
17nng69,k7ttq5a,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texastech2', 'patron']",anyone stopped kstate 2 consecutive 1 yard plays like 30 years go shit
