post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18wbuu4,kfxs8tg,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rose', 'potato']",ok like letting boys play lets run clock
18wbuu4,kfxuoxf,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rose', 'potato']",odunze fucking good thing 5050 ball
18wbuu4,kfxv535,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rose', 'potato']",people surprised play call havent watched us year aint conservative crunch time gonna run offense
18wbuu4,kfxx18k,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rose', 'potato']",throwaway penix instead sliding last series really hurts
16uiinz,k2ldmz0,college team finishing move ala mortal kombat,would teams teams would cancel would funniest example floridas finishing move home swamp flooded turned actual swamp think oregons ducks wouldnt fazed standford would one giant tree come nowhere states beavers would win easily one would want play miami due extensive hurricane damage endures etc,"['georgia', 'transferportal']","['boisestate', 'potato']",bunch onceinvisible blue players jump ground turns 40 maybe 50 guys blue turf gives much cover rumble across like stampede wild horses pancaking every player run way end zone tunnel miss extra point
18dpd4q,kciipb5,everyone focused fsu giving pass,head coach suspended twice season cheating scandals recruiting violations sign stealing scandal weakest regular season schedule playing 2 teams mattered weakest conference championship win still got ranked 1 despite undefeated team left cheaters played weak schedule likely victories year vacated anyway committee didnt questions everyone distracted fsu,"['hawaii', 'oregon']","['rose', 'potato']",washington ducking corner hoping nobody remembers margin victory issues
183s3df,karp2pu,washington washington 400,washington location husky time 400 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rose', 'potato']",baby back bitch play call wsu playing fg td
17d9q9a,k5wa90m,houston 400,location houstonfhouston tdecu time 400 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rose', 'potato']",according calculations last possession regulation ok bub
17d9q9a,k5wagqm,houston 400,location houstonfhouston tdecu time 400 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rose', 'potato']",looked lot nastier live replay think got wind knocked
17d9q9a,k5wb0ub,houston 400,location houstonfhouston tdecu time 400 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rose', 'potato']",love timing situations like turns chicken wants stop clock
17d9q9a,k5wbacm,houston 400,location houstonfhouston tdecu time 400 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rose', 'potato']",hate commentators say players faking injury
17nng69,k7twnlq,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rose', 'potato']",colorado needs review film coin toss case get another ot
18dp5ml,kciji9p,playoff teams selected,wake cfp committee controversy bcs days yore remembered rose colored glasses go back old system thing wrong two teams thrown around many threads believing bcs flawless system best product short memory throughout bcs era many controversies led changes weighting methodology computer polls mention obvious conflift interest acknowledging coachs poll coaches staffers free reign vote strategically teams status line lets get creative stick committee back bcs twelve team playoff top four get bye entrants seeding decided conference champions many seed gets bye weeks computer polls stipulations placed many polls ap poll coaches poll cfp poll committee sits criteria,"['oklahomastate', 'tulsa']","['rose', 'potato']",ive always fan conference champions didnt win conference tough shit arent best team country ten conference would meant seeds 16 get bye 710 play wild card weekend
185xz7e,kb4p4xy,ohio fan want actually bad season near future,think ohio fans average maybe worst spoiled grew watching west virginia might worst 84 team power 5 conference year 84 im actually pretty hype meanwhile seems like orange bowl appearance rose bowl win 2 years ago disappointing buckeye fans shit absolutely insane anyone else roots team consistent success like ohio etc ever wished team would losing season went minnesota every time mccord threw incompletion thousands college students grownass adults yelling fuck touchdown celebrations shoe lame year everyone way high expectation team id legitimately fine went 39 next year meant osu fans could shut enjoy 102 season like rest college fans,"['ohiostate', 'westvirginia2']","['rose', 'potato']",boise close fired coach season ended making ccg
189wh00,kbu29su,cfp rankings final,tv espnlespn follow along selection show full results come two threads posted results serious discussion jokes memes offtopic comments removed rankteamrecord 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,['rcfb'],"['rose', 'potato']",toxic bama making playoffs nix winning heisman
189wh00,kbu6ehh,cfp rankings final,tv espnlespn follow along selection show full results come two threads posted results serious discussion jokes memes offtopic comments removed rankteamrecord 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,['rcfb'],"['rose', 'potato']",whats opposite revenge tour thats apparently post season beat gonna beat
189wh00,kbu9zih,cfp rankings final,tv espnlespn follow along selection show full results come two threads posted results serious discussion jokes memes offtopic comments removed rankteamrecord 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,['rcfb'],"['rose', 'potato']",talking history sport dont mention bama first title rose bowl changed south 1926
18w6kt1,kfwg6j1,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rose', 'potato']",anyone confused person scouting gives advantage all22 sign stealing watch all22 streams playoff games since broadcast cant get clear views signs
18w6kt1,kfwr000,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['potato'],cant believe people find good defense boring shame
18w6kt1,kfwtqix,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['potato'],everytime harbaugh wants trick play run ball probably work better long run
18w6kt1,kfwu3dc,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rose', 'potato']",all22 feed needs adjust margins cant see bottom well
16weuex,k2x7wik,boise memphis 400,boise location memphisfmemphis simmons bank liberty time 400 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'potato']",alright got done fair lets actually something fun
16weuex,k2xfcjs,boise memphis 400,boise location memphisfmemphis simmons bank liberty time 400 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'potato']",sucks called way bet would stand dont think overturn though
16weuex,k2xfr6d,boise memphis 400,boise location memphisfmemphis simmons bank liberty time 400 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'potato']",honestly shouldnt gone strip bad fundamentals momentum stopped washington made contact square runner keeps feet moving stays head runner couldnt made line gain thats tackling error dipped toward ball runner rolled
191mhz7,kgwguaj,said ill say national championship shouldnt kicking damn late anymore,take work tomorrow able watch whole damn tonight least bump hour us people go work morning get reasonable amount sleep,"['auburn2', 'florida']","['rose', 'potato']",solate 730 kickoff east coast west coast fucking 430 people arent even work let alone home
16k9nci,k0uyago,north dakota boise 1200,north dakota boise location boise albertsons time 1200 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rose', 'potato']",funny vandals havent said shit 20 years finally coming woodwork
