post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
17iov6h,k6w428q,ohio wisconsin 730,ohio location camp randall time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['slipperyrock', 'psac']",henderson bust dad fifth beer hand
17iov6h,k6w4w37,ohio wisconsin 730,ohio location camp randall time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['slipperyrock', 'psac']",learn damage mhjs ego honda boy throw int
17iov6h,k6wa8hn,ohio wisconsin 730,ohio location camp randall time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['slipperyrock', 'psac']",wisconsin took ohio states best player defense changes everything
17nng42,k7t5wbw,ohio rutgers 1200,ohio location rutgersfrutgers shi time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['slipperyrock', 'psac']",ive never felt confident going beat ohio right eating words three weeks ohio states 5th string qb turns good stand said
17nng42,k7tazdv,ohio rutgers 1200,ohio location rutgersfrutgers shi time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['slipperyrock', 'psac']",slippery rock fan fuck indiana university pennsylvania someone likes holy shit would hate ohio fan right
17nng42,k7tgyp6,ohio rutgers 1200,ohio location rutgersfrutgers shi time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['slipperyrock', 'psac']",notre dame losing rutgers winning wonders ohio penn states resume right
17nng42,k7tjyll,ohio rutgers 1200,ohio location rutgersfrutgers shi time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['slipperyrock', 'psac']",ohio best wr country also ohio likes run ball
17nng42,k7to81t,ohio rutgers 1200,ohio location rutgersfrutgers shi time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['slipperyrock', 'psac']",rutgers chance win hear boys rutgers chance
17t72b9,k8vrzsl,ohio 730,ohio location ohio statefohiostate ohio time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['slipperyrock', 'psac']",ohio falls apart second quarter good know
17ic9fj,k6tcpz8,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['floridastate2', 'psac']",make bet overunder minutes takes girlfriend mention something halloween setup set ill go 95 minutes
17ic9fj,k6tr13e,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['floridastate2', 'psac']",youd think boston college clemson allegheny college waynesburg
17sxef4,k8t4heg,penn 1200,penn location penn statefpennstate beaver time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['slipperyrock', 'psac']",know always sucks first half good teams doesnt change mood
17sxef4,k8t7f3r,penn 1200,penn location penn statefpennstate beaver time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['slipperyrock', 'psac']",hiesman qb insist running hurts watch
17sxef4,k8tcxea,penn 1200,penn location penn statefpennstate beaver time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['slipperyrock', 'psac']",slippery rock fan im absolutely loving winning worst school playing like shit
17sxef4,k8ts9rx,penn 1200,penn location penn statefpennstate beaver time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['slipperyrock', 'psac']",im loss words fact keeps trying run
17g8n8r,k6fxuw9,michigans connor stalions texted stole opponent signals tvand vision wolverines,nan,['nagoya'],"['floridastate2', 'psac']",whenever girlfriend family say may need seek help fsu ill refer story fsu manifesto 250 pages luckily
18uug1x,kfmpi7j,postgame defeats florida 633,box score provided team 1 2 3 4 florida made rcfb,['rcfb'],"['pennstate', 'psac']",sad really espn screwed fsu leashed like dog tricks roll sue conference play dead
