post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16kehex,k0vqx0w,virginia tech rutgers 330,virginia tech location rutgersfrutgers shi time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'radford']",word jennings lane going get week week answer till november
16kehex,k0vsxjc,virginia tech rutgers 330,virginia tech location rutgersfrutgers shi time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'radford']",drones already looks 1000 better wells whoever decided wells start fired cause
16kehex,k0vy0x0,virginia tech rutgers 330,virginia tech location rutgersfrutgers shi time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'radford']",vt single position group p5 caliber maybe wr injuries cb every group disappointment
172dat6,k3weii0,virginia tech florida 330,virginia tech florida location florida doak campbell time 330 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'radford']",vt leave halftime get early start trip home im afraid fsu going hurt poor kids
172dat6,k3wf6f2,virginia tech florida 330,virginia tech florida location florida doak campbell time 330 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'radford']",exception mid interview coaches getting beat ugly way kinda cruel make pry talk
172dat6,k3wldp2,virginia tech florida 330,virginia tech florida location florida doak campbell time 330 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'radford']",things considered thats positive half vt good showing young overmatched team
172dat6,k3wy14g,virginia tech florida 330,virginia tech florida location florida doak campbell time 330 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'radford']",still think solid vt theyre actually improving week week
168gmpf,jyvr85i,old dominion virginia tech 800,old dominion virginia tech location virginia lane time 800 watch tv acc networklaccn odds spread vt 16 overunder 480 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['olddominion', 'myrtlebeach']","['virginiatech', 'radford']",qb carousel season least let pop get reps predictable
168gmpf,jyvtoz9,old dominion virginia tech 800,old dominion virginia tech location virginia lane time 800 watch tv acc networklaccn odds spread vt 16 overunder 480 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['olddominion', 'myrtlebeach']","['virginiatech', 'radford']",tuten 6 touches 13 years mans fighting life oline
168gmpf,jyvwk74,old dominion virginia tech 800,old dominion virginia tech location virginia lane time 800 watch tv acc networklaccn odds spread vt 16 overunder 480 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['olddominion', 'myrtlebeach']","['virginiatech', 'radford']",ngl performance damning drones hell win qb competition
17h8let,k6m933o,syracuse virginia tech 730,virginia tech location virginia lane time 730 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['virginiatech', 'radford']",offensive line looks much improved probably coincidence looks better young guys started getting reps
