post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzvslki,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'redalliance']",handing third pretending go punting weakkkkkkkk
16ei5hq,jzw0w32,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'redalliance']",anyone else issue youtube tv alabamatexas feed included multiview fucking mcafee version
16ei5hq,jzwgbr9,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'redalliance']",jeeze alex grinch take dc
16q6omx,k1w3k9e,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ncstate', 'redalliance']",acc unless decided last second penalty
173vhag,k45zpx9,tank job week week six,tank job week award fbs team best job humiliating weekend whether blew large lead choked away spot limelight lost absolutely right losing completely screwed everything last second blunder tjotw winner sets gold standard college misery x200b previous winners 1 baylor bears lost 4231 2 nevada wolf pack lost idaho 336 3 cowboys lost south 337 4 minnesota golden gophers lost northwestern 3734 5 ucf knights lost baylor 3635 x200b last week thought going two horse race ucf tech knights hoo boy knights fact calling declare meltdown baylor ultimate tank job year done probably want take back x200b onto week yes still gonna vote yes theres nominees yes completely formality yes happened exactly 831 pacific saturday night kind moment tjotw normally dream fact could say knelt reverence gods hath delivered glorious bounty x200b note ease counting please use carats vote like miamifl thank thanks participating x200b honorable mentions saw usc everybody saw also jimbo fishers intestinal fortitude x200b nominees week 6 x200b arizona wildcats lost usc 4341 hate zona followed plucky finish washington even pluckier effort usc 170 guys steve kerr skipping press conference watch drink margaritas couldnt hang also shoulda gone two first overtime burned colorado burned x200b fresno bulldogs lost wyoming 2419 50 two power 5 scalps belt bulldogs rolled laramie clear frontrunner race coveted group five ny6 berth leave teeth broken limping back california last minute interception halted desperate comeback big boy bowl hopes dashed yet took major hit x200b miamifl hurricanes lost tech 2320 youve least heard canes didnt kneel fumbled gave winning touchdown two seconds left incredible might sound description doesnt even begin justice theres absolutely nothing type havent seen yet need probably need see many times mind youre going watching every college youtube compilation rest life moderation key x200b notre dame fighting irish lost louisville 3320 1713 cards entering fourth quarter notre dames fourth quarter drive chart turnover downs 35 first play interception fumble 26 gonna turnover downs anyways touchdown recovered onside kick ending interception considering offensive meltdown absolute gifts position handed louisville miracle cards got 16 points x200b rice owls lost connecticut 3831 owls 10 point home faves winless huskies outgained uconn 160 yards one two three turnovers put owls 2814 claw back 3128 huskies ripped 59 yard td attempted rice counter resulted turnover 4 rice manage goal pull one score onside kick recovered huskies walk houston first win year x200b san jose spartans lost boise 3527 277 one point smurf voodoo kicked broncos rallied 28 straight could kickstarted sjsus floundering season probably beginning end bowl hopes x200b ucf knights lost kansas 5122 one overused terms sports boatraced people dont use correctly proper boatracing team racing insurmountable lead even though team gets going theres hope possibly catch since actual boat racing lose lane need make pass said ucf got boatraced jayhawks maybe busraced whatever fact end baylor first 31 minutes kansas knights outscored 670 yeesh,"['washington', 'centralwashington']","['ohiostate', 'redalliance']",miamifl winner year week utterly senseless embarrassing
17ny0o9,k7v4nex,miami nc 800,nc statefncstatenc location nc statefncstate carterfinley time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ncstate', 'redalliance']",battle scaring turning around bs hes done twice already
17ny0o9,k7vmy9i,miami nc 800,nc statefncstatenc location nc statefncstate carterfinley time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ncstate', 'redalliance']",get watch offense operate 3 going great im sure
16eokoj,jzwktm0,postgame defeats 3424,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['ohiostate', 'redalliance']",god put muchlike went ohio 4 months made million dollars
17nng42,k7tog5m,ohio rutgers 1200,ohio location rutgersfrutgers shi time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'redalliance']",youd think rutgers 30 based fans
17nng42,k7trsqd,ohio rutgers 1200,ohio location rutgersfrutgers shi time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'redalliance']",tyleik hit qb pretty hard one though sure thats unnecessary roughness something
17yelku,k9tg0y2,minnesota ohio 400,ohio location ohio statefohiostate ohio time 400 watch tv big ten networklbtn odds spread osu 285 overunder 495 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'redalliance']",sec teams week schedule fcs northeast something
17b5b0w,k5hva4y,new mexico utep 900,new mexico mexico utepfuteputep location utepfutep sun bowl time 900 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'redalliance']",2nd half lets gooo cmon utep daddy needs ya cover bb
1684owx,jyu0lyz,ball kentucky 1200,ball location kroger time 1200 watch tv sec networklsecn odds spread uk 265 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['lsu', 'checkbox']","['ohiostate', 'redalliance']",lay stoops atrocious whistle blow play dead career ender ref isnt 90s also rip kentucky 135 first half bet
17nxpm2,k7vklbo,lsu 745,lsuflsulsu location alabamafalabama bryantdenny time 745 watch tv cbslcbs odds spread ala 45 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'redalliance']",years watching nfl players get trouble landing weight qb pretty obvious bama player used weight land daniels
17dw5ek,k61ft7i,vannini pat mcafee says hasnt resigned college gameday large part unhappy fans,vannini pat mcafee says hasnt resigned college gameday large part unhappy fans excited enjoy rest year thats shaping great one see future holds fwiw im mostly propm cg qts mcafee tweet brought attention times last days ive never friends human reads athletic im 100 sure style human 3100 folks huge shahtaht 30 hell yeah 49 great news heard loud clear since beginning stint gameday one biggest reasons resigned contract legendary show im right crowds distinguished college folks definitely one excited enjoy rest year thats shaping great one see future holds absolute blast honor desk work fine folks family also really fun work 7 days week last 2 seasons nice reminder im still fucking dawg dumbest life time shall roll lets great nfl sunday cheers,['calgary'],"['ohiostate', 'redalliance']",sad woe everyone get letter
16eys9r,jzytkid,couch mel tucker likely coached last,nan,['michigan3'],"['ohiostate', 'redalliance']",dam sparty finding mythical get jail generational bad contract free card
15ny6b2,jvpwxac,fall team,curious guys became fans teams man first ever big house renovations hooked ever since,[],"['nebraska', 'redalliance']",husker birth rite ask ever met someone nebraska whose husker fan cant thats leonidas throws non believers pit infancy praise old ways corn rustles wind
