post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzwkg4f,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'regis']",sarkisian legit coach ive saying control personal demons teams become monster watched usc wax nd sark best team ive seen usc since carrolls teams even better riley long life order doubt hes gonna great coach
16q6omx,k1w4ty4,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'regis']",know strongest clemps sons kicker
16q6omx,k1w4xuf,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'regis']",warned college kickers bro told dog
15ixvfm,juwnlb1,realignment discussion,discuss thoughts things related conference realignment,['rcfb'],"['notredame', 'regis']",want lads give years stability proceed move towards two conference superleague years normalcy agree expedite process towards independence death conferences restart process give normal years
16e7uwk,jztpf78,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'regis']",tell season finally started finally nervous hell preparing disappointment ncsu always solid team whipped us gator bowl hurricane happy night ncsu ive seen rowdy get high ranked teams comes carterfinley night
16e7uwk,jztx81h,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'regis']",going pinned deep get stop
16e7uwk,jztxu9q,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'regis']",hopefully look much better drive ol got get estime going give hartman time
16e7uwk,jztyuhy,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'regis']",least saving us offense looks like hot mess right
16e7uwk,jzuhbxq,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'regis']",curiosity got better 5l box wine started day probably couple glasses left
16e7uwk,jzulq1r,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'regis']",way early stressing week starting feel good
16e7uwk,jzumxe0,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'regis']",commercials becoming parent make sure clean lubricate gaskets fridges freezers twice year right fridge might old got grip
16e7uwk,jzup449,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'regis']",looked like trash first couple possessions see potential ol rbs year continue improve elite run might hope getting best
16e7uwk,jzuputy,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'regis']",cant even hate miss wtf kicker havent impressed since mason crosby
16e7uwk,jzuqz0d,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'regis']",calls call hartman tackle something
16e7uwk,jzurq0f,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'regis']",starting flirt comfortability course cant happen nd plays team pulse
16e7uwk,jzus2vj,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'regis']",tyreeeeee cant name without gus johnson calling nd wisconsin lfg
16e7uwk,jzuu11m,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'regis']",keybind warned college kickers bro told dog since post frequently watching cfb takeaway first half nd kicker year barely seen anything year within scoring range moment hit 45 based weve seen leg guy going future league
16e7uwk,jzuz1h9,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'regis']",ncsu flairs dont hate guys feeling good officiated
16e7uwk,jzv0r3m,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'regis']",fun ncsu fans werent good time
16e7uwk,jzv2eyv,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'regis']",warned college kickers bro told dog
16kktkx,k0wlwad,wyoming 800,location texasftexas dkrtexas memorial time 800 watch tv longhorn networkllhn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'regis']",wyoming biggest jump poll history
183w2cz,karsbll,notre dame stanford 700,notre dame location stanford time 700 watch tv pac12 networklp12n rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'regis']",fubo tv must hate reason tried sign free trial see fubo stream ahead pac 12 international stream wont let sign device oh well
183w2cz,kas7gco,notre dame stanford 700,notre dame location stanford time 700 watch tv pac12 networklp12n rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'regis']",seeing ayomanor cu fully expected come
183w2cz,kas8wvd,notre dame stanford 700,notre dame location stanford time 700 watch tv pac12 networklp12n rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'regis']",giving thought think favorite shape square
183w2cz,kasc335,notre dame stanford 700,notre dame location stanford time 700 watch tv pac12 networklp12n rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'regis']",fuck feel old talks alltime records brought pretty sure changed somewhat recently include postseason statistics previous records counted regular season turns thats true somewhat recent change started 2002 season
16d8tr1,jzo527x,cant seem buy brian kelly,watching lsu lose way florida gut punch brian kelly doesnt seem like edge need top tier head coach sec disrespect bk im sure right man lsu watching games back coached nd crucial moments team justyou knowfolded seems like bk era lsu bringing vibe curious see others think situation,['lsu'],"['notredame', 'regis']",want clear dont negative opinion towards lsu brian kelly say absolutely negative opinions towards brian kelly ive thought wrong nd wanted move since 2012 interviewing nfl jobs instead fully focusing bcs championship even worse happening heisman finalist teo going roughest period life head coach looking new job heisman finalist struggling way probably none us relate even youve catflished youve never aired publicly way winning period since 2012 especially disaster 4 win season ad step force change within program honestly think kelly elite coach ive learned people seem think wrong let program rot leaving nfl forced complete makeover intervention one worst seasons program history since makeover good seasons started bleed coaches way nd shouldnt bleeding coaches offering similar contracts coaches would still flip another school love elko hate kelly truly believe elko stays kelly hc heistand another example arguably best ol coach country nd became ol juggernaut fairlly public knowledge heistand left clashes kelly probably best example kelly trouble coaches exqb exoc tommy rees lsu kelly tried flip offered payday yet refused every single kelly hater vindicated former kelly player former kelly coach refused flip flipped nick saban yet people still say coaches love working kelly absolute crock shit record love rees rooting bama think moment realized desires hc future dream job probably nd couldnt stay nd current hc freeman young doesnt see path forward
1621ag8,jxut3z7,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['notredame', 'regis']",feels great kickoff 230pm swear 2012 9am 6am
1621ag8,jxv0yj3,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['notredame', 'regis']",everyone complaining preseason nfl instead streaming nbc sports tv provider
1621ag8,jxv1kex,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['notredame', 'regis']",looks like missing beat hiestand retired
1621ag8,jxv2dfk,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['notredame', 'regis']",early worried ol might regress hiestand gone think wrong
1621ag8,jxv3ry2,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['notredame', 'regis']",interesting note im getting ads nbc sports app either ad free serve ads way peacock network wide adblocker successfully blocks ads
1621ag8,jxv67r4,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['notredame', 'regis']",think people commenting rules change based flow dont quite get nd navy games typically flow like feels like another nd navy far id wait better example passing judgment
1621ag8,jxv7d36,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['notredame', 'regis']",welp fun 10 seconds thought recovered fumble
1621ag8,jxvd39b,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['notredame', 'regis']",fbs games right many beards display guys treat beard typically use conditioner oil balm assume thats people
1621ag8,jxvg9dx,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['notredame', 'regis']",thought first fumble call correct seeing replay one little salty
1621ag8,jxvh3rn,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['notredame', 'regis']",getting 33 trucking vibes estime line far
