post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16qh8am,k1x7n6d,baylor 730,location baylorfbaylor mclane time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['baylor', 'revivalry']",colorados beat look competitive ut us faith team whatsoever
16qh8am,k1x8h2t,baylor 730,location baylorfbaylor mclane time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['baylor', 'revivalry']",love line much carnage much fun
16qh8am,k1xbicr,baylor 730,location baylorfbaylor mclane time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['baylor', 'revivalry']",going give uts defense plethora highlight reel material tonight
16qh8am,k1xcya2,baylor 730,location baylorfbaylor mclane time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['baylor', 'revivalry']",fire grimes holy shit getting cute offense gone backwards every play two jesus christ man
16qh8am,k1xebeu,baylor 730,location baylorfbaylor mclane time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['baylor', 'revivalry']",say defense shown lot improvement time need stop play like someone puts crisco dudes every tackle near line loss slide right
16qh8am,k1xhjix,baylor 730,location baylorfbaylor mclane time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['baylor', 'revivalry']",im honestly impressed student coordination blackout would wonderful school could push nike black alternate uniform soon wouldnt hurt recruiting means
16qh8am,k1xiefr,baylor 730,location baylorfbaylor mclane time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['baylor', 'revivalry']",yall fun im done team aranda grimes bell need go sic em shit fuckin hell bad
17deytd,k5x1fpa,utah usc 800,utahfutahutah uscfuscusc location uscfusc los angeles memorial coliseum time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['baylor', 'revivalry']",think theres ou flairs usc lmao
17deytd,k5x7nzv,utah usc 800,utahfutahutah uscfuscusc location uscfusc los angeles memorial coliseum time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['baylor', 'revivalry']",im glad got home work time ending
16e7uxq,jzu2oew,utah baylor 1200,utahfutahutah location baylorfbaylor mclane time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['baylor', 'revivalry']",commercials doorbells radio ads sirens illegal
16e7uxq,jzu44fn,utah baylor 1200,utahfutahutah location baylorfbaylor mclane time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['baylor', 'revivalry']",sleep walk want cause theyll shit together conference play starts lol
16e7uxq,jzu5tzw,utah baylor 1200,utahfutahutah location baylorfbaylor mclane time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['baylor', 'revivalry']",students need chant cant false start shaming might work never know
16e7uxq,jzu6r8o,utah baylor 1200,utahfutahutah location baylorfbaylor mclane time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['baylor', 'revivalry']",tackle options far 1 controversial targeting 2 run carrier attempt punch ball 3 suplex
16e7uxq,jzu7lcj,utah baylor 1200,utahfutahutah location baylorfbaylor mclane time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['baylor', 'revivalry']",heat exactly 11am games shouldnt allowed parts country october
16e7uxq,jzu896g,utah baylor 1200,utahfutahutah location baylorfbaylor mclane time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['baylor', 'revivalry']",quick story time couple summer camps baylor back day turf got hot summer took cleats breaks cool feet rubber bottom cleats hot could bend cleats half little effort absolutely brutal
16e7uxq,jzunmt0,utah baylor 1200,utahfutahutah location baylorfbaylor mclane time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['baylor', 'revivalry']",baylor almost put away score grimes like nah lets kill clock like bro theres 10 minutes left defense gassed gotta draw something
16e7uxq,jzur5u9,utah baylor 1200,utahfutahutah location baylorfbaylor mclane time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['baylor', 'revivalry']",grimes really playing ot holy fuck fire man right
18w6kt1,kfw4i7t,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['baylor', 'revivalry']",look know thats correct call think stupid
18w6kt1,kfw56zc,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['baylor', 'revivalry']",barely three minutes dumbest ive seen lmao
169aftq,jz171n3,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['baylor', 'revivalry']",kelly always makes time talk officials one time ugh dammit kirk say
169aftq,jz1icko,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['baylor', 'revivalry']",amount unprotected sex happening orlando tonight astronomical
177rgng,k4v37w3,indiana 1200,location time 1200 watch tv foxlfox odds spread mich 335 overunder 465 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['baylor', 'revivalry']",one games looks like itll go half close blows doors second half first quarter great though
177rgng,k4v93nn,indiana 1200,location time 1200 watch tv foxlfox odds spread mich 335 overunder 465 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['baylor', 'revivalry']",iu gets good play refs fast friend
177rgng,k4v9i6m,indiana 1200,location time 1200 watch tv foxlfox odds spread mich 335 overunder 465 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['baylor', 'revivalry']",absolute monster block return right catch amazing awareness 3 stay guy
168f6us,jyvjndx,baylor 700,location baylorfbaylor mclane time 700 watch tv big 12lbig12 odds spread bay 265 overunder 605 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['louisiana', 'hirosaki']","['baylor', 'revivalry']",remember last season absolutely hating first half guys feels worse though
168f6us,jyvm20k,baylor 700,location baylorfbaylor mclane time 700 watch tv big 12lbig12 odds spread bay 265 overunder 605 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['louisiana', 'hirosaki']","['baylor', 'revivalry']",know im even sure blame shapen oline garbage
168f6us,jyvo2ra,baylor 700,location baylorfbaylor mclane time 700 watch tv big 12lbig12 odds spread bay 265 overunder 605 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['louisiana', 'hirosaki']","['baylor', 'revivalry']",defense getting coached offense getting outplayed kicker great good job buddy
168f6us,jyvobze,baylor 700,location baylorfbaylor mclane time 700 watch tv big 12lbig12 odds spread bay 265 overunder 605 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['louisiana', 'hirosaki']","['baylor', 'revivalry']",baylor looking pulse gonna hard drugs halftime rate
168f6us,jyvqa3z,baylor 700,location baylorfbaylor mclane time 700 watch tv big 12lbig12 odds spread bay 265 overunder 605 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['louisiana', 'hirosaki']","['baylor', 'revivalry']",holy shit didnt know finley transferred lsu auburn makes much sense athleticism anyone elses
168f6us,jyvr0od,baylor 700,location baylorfbaylor mclane time 700 watch tv big 12lbig12 odds spread bay 265 overunder 605 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['louisiana', 'hirosaki']","['baylor', 'revivalry']",baylor story one greatest stories history college athletics lol wut
168f6us,jyvro04,baylor 700,location baylorfbaylor mclane time 700 watch tv big 12lbig12 odds spread bay 265 overunder 605 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['louisiana', 'hirosaki']","['baylor', 'revivalry']",safety stroke play cant convince otherwise
168f6us,jyvthcb,baylor 700,location baylorfbaylor mclane time 700 watch tv big 12lbig12 odds spread bay 265 overunder 605 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['louisiana', 'hirosaki']","['baylor', 'revivalry']",finish im kinda okay
168f6us,jyvz4i7,baylor 700,location baylorfbaylor mclane time 700 watch tv big 12lbig12 odds spread bay 265 overunder 605 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['louisiana', 'hirosaki']","['baylor', 'revivalry']",dave aranda big brain move dont gotta use time outs false start
168f6us,jyw75l0,baylor 700,location baylorfbaylor mclane time 700 watch tv big 12lbig12 odds spread bay 265 overunder 605 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['louisiana', 'hirosaki']","['baylor', 'revivalry']",someone cant torture college student live tv aranda hold beer
17d92g6,k5vmcwl,tennessee 330,location alabamafalabama bryantdenny time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['baylor', 'revivalry']",milton absolutely finesse throwing ball lmao wild thing fastballs
17d92g6,k5vsb22,tennessee 330,location alabamafalabama bryantdenny time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['baylor', 'revivalry']",tennessee another level offensively get red zone
