post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16q6oqs,k1vky3x,auburn 1200,amftexasamtexas location amftexasam kyle time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arkansas', 'rhodes']",dont worry boys auburn get together time play arkansas
16kk441,k0x6im4,akron kentucky 730,location kroger time 730 watch tv espnulespnu rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky2', 'rhodes']",alright put backups im worried leary getting hurt
16uibb2,k2loflg,trash talk thursday,know meteor ballbmeteorball order ballborderball within reasonable bounds rules still nbsp troll ballbtrollball enough talk nbsp chaos ballbchaosball rock caps lock,['rcfb'],"['kentucky2', 'rhodes']",scientific name gator alligator haha piensis name
15wdhb6,jx0932q,whats worst conference p5 g5 fcs want,celebration end offseason im asking offseasony question think,"['georgia', 'iowastate']","['connecticut', 'rhodes']",dont exist conference worst stadiums seen ku k indiana virginia tennessee favorites
16ci214,jzkwzdo,trash talk thursday,know meteor ballbmeteorball order ballborderball within reasonable bounds rules still nbsp troll ballbtrollball enough talk nbsp chaos ballbchaosball rock caps lock,['rcfb'],"['kentucky2', 'rhodes']",eastern kentucky university due south university kentucky im trash talking im confused
16fuy9q,k04y1bp,cheating prior nil,much cheating really went college prior introduction nil cheating mean recruitmentlike heard cam newton supposedly got 250k payforplay deal something mcdonalds bags cash tennessee etc perhaps coaches bigtime programs felt necessary cheat stay competitivehow rampant really feel like probably happened routinely across power 5 boardcan anyone cite historical cases came light,"['georgia', 'cfp']","['rhodes', 'georgia']",theres great book early history college js watterson details lots players take late 19thearly 20th century cheaters around long amateurism one big early controversies ncaa wasnt even footballppl mad baseball players getting paid play summer ball resorts
16qgjn2,k1x7coy,arkansas lsu 700,lsuflsulsu location lsuflsu tiger la time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arkansas', 'rhodes']",lsu buddy said kick nuts arkansas wins imagine much means
17nngaq,k7txmwx,arkansas florida 1200,location floridafflorida ben hill griffin time 1200 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arkansas', 'rhodes']",dont fooled arkansas finding way give us little hope hurts worse lose
15qzqjp,jw643pi,blind side subject michael oher alleges adoption lie,nan,['michigan'],"['connecticut', 'rhodes']",michael lewis supposed credible guy smell bs wrote book
177rgpb,k4vntrz,arkansas 1200,location alabamafalabama bryantdenny time 1200 watch tv espnlespn odds spread ala 195 overunder 485 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arkansas', 'rhodes']",dont sounds like standard arkansas comments
177rgpb,k4voxre,arkansas 1200,location alabamafalabama bryantdenny time 1200 watch tv espnlespn odds spread ala 195 overunder 485 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arkansas', 'rhodes']",dumb sport anyways basketball season around corner
189ybx5,kbu5z78,final cfb playoff rankings 202324,1 2 washington 3 4 first two 5 florida 6 per cfb playoff selection show,"['oklahoma', 'redrivershootout']","['rhodes', 'tobaccoroad']",matchups admittedly entertaining interesting hope fsu wins bowl claims national title end split national title thats ending year decision deserves
15ony9v,jvsym1g,four acc schools opposed additions stanford cal wed night presidents meeting florida clemson north carolina north carolina source confirms theathletic would need flip one four get 12 yes votes 15,,"['michigan', 'fau']","['connecticut', 'rhodes']",honestly cant believe many acc schools want add schools dont need acc acc really doesnt need cal going collect check anyways
16kk42t,k0wvxsi,byu arkansas 730,byufbyubyu location razorback time 730 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arkansas', 'rhodes']",arkansas never highlight arkansas even win
16kk42t,k0wxkgi,byu arkansas 730,byufbyubyu location razorback time 730 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arkansas', 'rhodes']",run call tells enos snuck byus sideline disguise made play call
16kk42t,k0wzp2s,byu arkansas 730,byufbyubyu location razorback time 730 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arkansas', 'rhodes']",last year wouldve stopped goal line settled goal padding briles yardage stats
