post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16qadvo,k1we4c3,deal historically mediocre program,wondering always purdue fan hope could start build momentum last couple years nope back square one ryan walters deal fan mediocre program got people around ohio alabamamichigan etc fans,"['purdue', 'easttennesseestate']","['pittsburgh', 'rivercityrivalry']",well ride light rail get definition insanity
16ehek1,jzvs8az,cincinnati pittsburgh 630,location acrisure time 630 watch tv cwlcw rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['cincinnati', 'deadpool']","['cincinnati', 'rivercityrivalry']",think weve finally reached tipping point itt pitt fans complaining cincinnati fans complaining refs cincinnati fans complaining refs
16ehek1,jzvtldb,cincinnati pittsburgh 630,location acrisure time 630 watch tv cwlcw rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['cincinnati', 'deadpool']","['cincinnati', 'rivercityrivalry']",interview pretty annoying solid broadcast overall know many werent expecting much
16ehek1,jzvwy61,cincinnati pittsburgh 630,location acrisure time 630 watch tv cwlcw rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['cincinnati', 'deadpool']","['cincinnati', 'rivercityrivalry']",terrible play losing 2 yards second pass
16ehek1,jzvyf6i,cincinnati pittsburgh 630,location acrisure time 630 watch tv cwlcw rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['cincinnati', 'deadpool']","['cincinnati', 'rivercityrivalry']",made long kick cincinnati bearcat kicker believe miracles
16ehek1,jzw2b7s,cincinnati pittsburgh 630,location acrisure time 630 watch tv cwlcw rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['cincinnati', 'deadpool']","['cincinnati', 'rivercityrivalry']",run monty middle third 12 choice
16ehek1,jzw2s1o,cincinnati pittsburgh 630,location acrisure time 630 watch tv cwlcw rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['cincinnati', 'deadpool']","['cincinnati', 'rivercityrivalry']",feeling pitt gonna go run duz killed someone locker room know
16ehek1,jzw40ft,cincinnati pittsburgh 630,location acrisure time 630 watch tv cwlcw rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['cincinnati', 'deadpool']","['cincinnati', 'rivercityrivalry']",even best pitch catch last 15 years bearcats pittsburgh
16ehek1,jzw51ha,cincinnati pittsburgh 630,location acrisure time 630 watch tv cwlcw rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['cincinnati', 'deadpool']","['cincinnati', 'rivercityrivalry']",jurkovec luckiest guy still struggling overall
16ehek1,jzw5dxh,cincinnati pittsburgh 630,location acrisure time 630 watch tv cwlcw rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['cincinnati', 'deadpool']","['cincinnati', 'rivercityrivalry']",lets go thats big hit lay keep clean
16ehek1,jzwc9u7,cincinnati pittsburgh 630,location acrisure time 630 watch tv cwlcw rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['cincinnati', 'deadpool']","['cincinnati', 'rivercityrivalry']",dbs usually get away long hold brief shoulder pads
16ehek1,jzwdlny,cincinnati pittsburgh 630,location acrisure time 630 watch tv cwlcw rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['cincinnati', 'deadpool']","['cincinnati', 'rivercityrivalry']",jurkovec turned 34 sacks first downs dude better giving credit
16ehek1,jzweow6,cincinnati pittsburgh 630,location acrisure time 630 watch tv cwlcw rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['cincinnati', 'deadpool']","['cincinnati', 'rivercityrivalry']",never doubt jk gg pitt looking forward hosting next year
16vtigq,k2t8d06,cincinnati byu 1015,byufbyubyu location byufbyu lavell edwards time 1015 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['cincinnati', 'rivercityrivalry']",man good seeing road environment like years playing tulsa south florida philadelphia storrs new orleans etc
16vtigq,k2t8z5d,cincinnati byu 1015,byufbyubyu location byufbyu lavell edwards time 1015 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['cincinnati', 'rivercityrivalry']",little ridiculous think pace makes difference last week dgs fumble rolled 10 yards bounds thought pace making scoop
16vtigq,k2taz13,cincinnati byu 1015,byufbyubyu location byufbyu lavell edwards time 1015 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['cincinnati', 'rivercityrivalry']",two big ifs kiner 44 speed good oline hed american candidate
16vtigq,k2tcq9e,cincinnati byu 1015,byufbyubyu location byufbyu lavell edwards time 1015 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['cincinnati', 'rivercityrivalry']",hope rcfbs 1 cincinnati fan umadmaley good time provo
16vtigq,k2th50q,cincinnati byu 1015,byufbyubyu location byufbyu lavell edwards time 1015 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['cincinnati', 'rivercityrivalry']",love camera guyproducer little bit listlessmaybe horny
16vtigq,k2tiamf,cincinnati byu 1015,byufbyubyu location byufbyu lavell edwards time 1015 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['cincinnati', 'rivercityrivalry']",yeah sucks never seen cincinnati defense fold quite like
16vtigq,k2tim3g,cincinnati byu 1015,byufbyubyu location byufbyu lavell edwards time 1015 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['cincinnati', 'rivercityrivalry']",cincinnati deserves losing dont get wrong byu also absolutely business leading
16vtigq,k2tit72,cincinnati byu 1015,byufbyubyu location byufbyu lavell edwards time 1015 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['cincinnati', 'rivercityrivalry']",damn know cincinnati gateway south give satterfield doomed failure north carolina drawl fickell kelly firmly midwest
16vtigq,k2tjjsn,cincinnati byu 1015,byufbyubyu location byufbyu lavell edwards time 1015 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['cincinnati', 'rivercityrivalry']",every coach tried cincinnati last 30 years successful tt didnt try still win conference championship tanking program think satterfield gonna try dont think hes smart
16vtigq,k2tof3c,cincinnati byu 1015,byufbyubyu location byufbyu lavell edwards time 1015 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['cincinnati', 'rivercityrivalry']",open receivers falling god side
16vtigq,k2tpe37,cincinnati byu 1015,byufbyubyu location byufbyu lavell edwards time 1015 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['cincinnati', 'rivercityrivalry']",record one thinks suck us nothing say hurt us
16vtigq,k2tpxc1,cincinnati byu 1015,byufbyubyu location byufbyu lavell edwards time 1015 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['cincinnati', 'rivercityrivalry']",yeah definitely good use totally obvious timeout situation yeah
16vtigq,k2tqjdo,cincinnati byu 1015,byufbyubyu location byufbyu lavell edwards time 1015 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['cincinnati', 'rivercityrivalry']",cincinnati rely emory obvious passing situations rip
16vtigq,k2trpcp,cincinnati byu 1015,byufbyubyu location byufbyu lavell edwards time 1015 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['cincinnati', 'rivercityrivalry']",even high snap bounces right back grasp night year probably next decade
