post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzwkia2,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'saginawvalleystate']",3 short months get saban mcafee show college gameday espn etc arguing bama belongs playoff cause theyd favored
16qmian,k1y1d93,postgame penn defeats 310,box score provided team 1 2 3 4 iowafiowa00000 penn made rcfb,['rcfb'],"['saginawvalleystate', 'sickos']",penn states defense performing acts charity trying get brian ferentz fired fans
17esjzd,k65gwt2,sources um staffer bought tickets 11 schools,nan,"['notredame', 'buffalo']","['michigan', 'saginawvalleystate']",dont trust idiot mans job
17esjzd,k65o0gi,sources um staffer bought tickets 11 schools,nan,"['notredame', 'buffalo']","['saginawvalleystate', 'sickos']",team getting hot water signal stealing nice u prep jj eventually future new england patriot
189wh00,kbu802k,cfp rankings final,tv espnlespn follow along selection show full results come two threads posted results serious discussion jokes memes offtopic comments removed rankteamrecord 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,['rcfb'],"['michigan', 'saginawvalleystate']",suppose silence sec hogs espn lackeys month
18w6kt1,kfwa7hx,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michiganstate', 'saginawvalleystate']",probably flag ive spent enough time big 12 threads surprised call
18w6kt1,kfwcopf,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'saginawvalleystate']",run damn ball lol wins putting corums shoulders jj
18w6kt1,kfwohxq,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michiganstate', 'saginawvalleystate']",done bad snap drinking
183w2c9,kasfm8a,florida florida 700,florida location floridafflorida ben hill griffin time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['saginawvalleystate', 'sickos']",like boondock saints execution shoot guy
16ql0u1,k1y2mvg,usc arizona 1030,uscfuscusc arizona location arizona mountain america time 1030 watch tv foxlfox odds spread usc 34 overunder 615 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'saginawvalleystate']",db looking like got user controlled sec lmao
17ifk69,k6va962,kansas 1200,location kansasfkansas david booth kansas memorial time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['saginawvalleystate', 'michigan']",harbaugh leave season id like one liepold please
169aftq,jz1hmxm,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['saginawvalleystate', 'sickos']",joy watching brian kelly lose badly national tv talking shit outweighed pain watching keon coleman slaughter sec school realizing sparty lost meh coaching qb play seriously though im happy keon showcase primetime
168fxcn,jywm151,tech wyoming 730,tech location wyomingfwyoming jonah war memorial time 730 watch tv cbslcbs odds spread ttu 14 overunder 520 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texastech2', 'saddle']","['saginawvalleystate', 'sickos']",guys beating shit tonight
