post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
177ix9d,k4teab1,postgame stanford defeats colorado 4643 2ot,box score provided team 1 2 3 4 ot made rcfb,['rcfb'],"['notredame', 'saintfrancisin']",dude fucking awesome watch comeback
1728e91,k3vku2e,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'saintfrancisin']",another stretch play short side lol
1728e91,k3vy1uw,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'saintfrancisin']",tune next week see kyle mccord throw touchdown pass p5 team
15wqekf,jx35v2e,top 5 popular college teams cityarea,1 north carolina 2 nc 3 appalachian 4 wake forest 5 duke x200b,"['floridastate', 'northcarolinaat']","['notredame', 'saintfrancisin']",1 notre dame 2 purdue 3 ohio 4 indiana 5
168bu91,jyumg1g,postgame colorado defeats tcu 4542,box score provided team 1 2 3 4 made rcfb,"['texasam', 'ucla']","['notredame', 'saintfrancisin']",sure colorado better anticipated tcu worse regardless entertaining
16jf5os,k0pik4g,whats something nice say rivals band,say famous maroon band folks friendly last time went starkville egg bowl got fed really good thanksgiving meal cafeteria university walked davis wade victory never seen lsus band inperson next year 2024 maybe ill get picked away trip floridas band never seen inperson either ive seen videos pregame show think really cool play jaws theme makes atmosphere intimidating gator fans gator chomp band plays iconic jaws music,"['olemiss', 'floridastate']","['notredame', 'saintfrancisin']",large small drum
1621ag8,jxv8byg,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['notredame', 'saintfrancisin']",hey gators see knocked thomas cleat dropped didnt throw couldnt help
17nng42,k7tlfiv,ohio rutgers 1200,ohio location rutgersfrutgers shi time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'saintfrancisin']",ill see fans threads later today
16pnp44,k1syrim,university former high school copy fight song,live swear old gods new hear ohio states fight song least three times year going sons games,['army'],"['notredame', 'saintfrancisin']",ill honest idea former hs fight song im pretty sure never knew
16wjz1a,k2y00sl,notre dame duke 730,notre dame dukefdukeduke location dukefduke wallace wade time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'saintfrancisin']",thrown evans 2nd open outside
16wjz1a,k2y562z,notre dame duke 730,notre dame dukefdukeduke location dukefduke wallace wade time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'saintfrancisin']",beautiful kick pat doesnt tag one aint really brand
16wjz1a,k2yayh5,notre dame duke 730,notre dame dukefdukeduke location dukefduke wallace wade time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'saintfrancisin']",fuck im happy got fumble leonard getting hurt fuck
16wjz1a,k2ybf0c,notre dame duke 730,notre dame dukefdukeduke location dukefduke wallace wade time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'saintfrancisin']",first thought cause knew lost realized wasnt case shortly fuck sucks pray isnt bad think
17ydyvc,k9t4onm,wake forest notre dame 330,wake forest notre dame location notre damefnotredame notre dame time 330 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'saintfrancisin']",hope dude okay hate see players go injury blew acl college ball nad fun
17ydyvc,k9tke9t,wake forest notre dame 330,wake forest notre dame location notre damefnotredame notre dame time 330 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'saintfrancisin']",true garad parkers last season oc rumors
