post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
189wh00,kbv386q,cfp rankings final,tv espnlespn follow along selection show full results come two threads posted results serious discussion jokes memes offtopic comments removed rankteamrecord 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,['rcfb'],"['ohiostate', 'saintxavier']",need protests team selections billionaire needs pay player milly sit
16qmmcf,k1xyhva,postgame ohio defeats notre dame 1714,box score provided team 1 2 3 4 ohio notre made rcfb,['rcfb'],"['ohiostate', 'saintxavier']",ryan day tried best ryan day win away
189go15,kbrimwl,800,iowafiowaiowa location lucas oil time 800 watch tv foxlfox odds spread mich 22 overunder 345 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'saintxavier']",way score one point wish could score one point punt ball every offensive possession pick sixes way gonna score would literally turn kick would interesting
189go15,kbrqdtf,800,iowafiowaiowa location lucas oil time 800 watch tv foxlfox odds spread mich 22 overunder 345 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'saintxavier']",couldnt hard throw ball 10 yards
17d92g6,k5vr6c2,tennessee 330,location alabamafalabama bryantdenny time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'saintxavier']",linemen standing around blocking instead making sure got first
191zla4,kgzhj08,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'saintxavier']",looks good wait wearing blue yellow
191zla4,kgzpvr6,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'saintxavier']",whoever safety standing walk back
1925pm7,kh08pfw,postgame defeats washington 3413,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['ohiostate', 'saintxavier']",penix looked like number one overall draft pick last week development pick week big 10 defense illusion according sec fans
183t14f,kar2pqq,postgame defeats ohio 3024,box score provided team 1 2 3 4 ohio made rcfb,['rcfb'],"['ohiostate', 'saintxavier']",even kensucky close games elite teams yet 3 losses row day cant put together winning 4th quarters save life failure
17dk5de,k5x8hbs,postgame utah defeats usc 3432,box score provided team 1 2 3 4 uscfusc14031532 made rcfb,['rcfb'],"['ohiostate', 'saintxavier']",caleb talking getting ownership team drafts first needs worry beating team mormons
17dk5de,k5xgifb,postgame utah defeats usc 3432,box score provided team 1 2 3 4 uscfusc14031532 made rcfb,['rcfb'],"['ohiostate', 'saintxavier']",caleb legally part nfl team hes already owned utes
189brft,kbqy47e,400,location mercedesbenz time 400 watch tv cbslcbs odds spread uga 5 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'saintxavier']",goodness milroe holds balls damn long bama fans must heart attack whenever drops back
16ecyt5,jzuwkm6,330,iowafiowaiowa location statefiowastate jack trice time 330 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['carthage', 'saintxavier']",knew ending blocked goal
18uug1x,kfmroq8,postgame defeats florida 633,box score provided team 1 2 3 4 florida made rcfb,['rcfb'],"['ohiostate', 'saintxavier']",fsu led best outcome possible position suck much money views away possible didnt even tune score
17d4h6j,k5v6lvg,penn ohio 1200,penn ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'saintxavier']",ryan day terrible coach lucked top job
17d4h6j,k5v8wxb,penn ohio 1200,penn ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'saintxavier']",ohio marvin harrison jrs need run clown much possible
