post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18wbuu4,kfx4pvl,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['indiana', 'salad']",im going one butthurt iu fans ai cheering penix tonight
18wbuu4,kfxo4l0,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['salad', 'sickos']",speaking thiccer kickers mans double caked monday evening
18wbuu4,kfxspky,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas', 'salad']",gg uw doubt better team showed prepared hoping guys could clean piss legs half get back doesnt look like
16q6omx,k1w33wg,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['salad', 'sickos']",know cant get sacked 3man rush honestly nuts play 3 got around edge fast af
16q6omx,k1w3f5f,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['salad', 'sickos']",definitely pi flag coming late makes look bad lol
16q6omx,k1w5prx,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['salad', 'sickos']",fsus entire scheme fuck mike evans somewhere apparently
15ixvfm,juwwrei,realignment discussion,discuss thoughts things related conference realignment,['rcfb'],"['ohiostate', 'salad']",ideal scenario never happen conferences wise work together cincy wvu acc makes travel sense wsu st b12 exchange makes somewhat travel sense calstanford b1g west makes travel sense mwc assume pac12 name choose acc b12 sec b1g basically purged pac12 four team playoff winner conference 8 team playoff top 2 12 teams 2 conference championship reps plus 4 wildcards others included f nd join move without tears
183rfxa,kaqzm8v,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['salad', 'sickos']",oh hey figured line scrimmage kind
17q3a8o,k8agmkn,big tens tony petiti informed today two programs fed purdue michigans signals 2022 bt title rutgers osu clear rules broken doesnt directly affect ums situation raises question relative competitive advantage,nan,['michigan'],"['ohiostate', 'salad']",lets rational minute 45 years um dossier activities happening schools files evidence mischevious activities however knstead turning information continued take ass beating ass beating osu reason break dossiers yet ok allllll info kept case cheating accusation pretty evident time bring dossier wasnt time bring getting beat every year including year 62 pts given main rival yeah ooooooooooook
18aie6x,kbxxzgy,ohio quarterback kyle mccord entered transfer portal,made rcfb recruiting post,['michigan'],"['ohiostate3', 'salad']",cyberbullying works feel bad treated fans also didnt really improve throughout season probably best parties hes leaving
18aie6x,kby5c4e,ohio quarterback kyle mccord entered transfer portal,made rcfb recruiting post,['michigan'],"['ohiostate', 'salad']",1 someone coming competition possibly 2 guaranteed job next year day said multiple times 3 daddy mccord like 1 2 also feels get nil elsewhere 4 asinine fans gave kid complete beatdown mental maybe warranted voice opinions death threats would anyone stay recap happened
16f0btp,k0060rs,honest questionwhy nebraska bad,theyve burned coaches athletic directors quarter backs etc yet theyve continued fall farther farther ever since early 2000swhy ive never seen program elite fall cliff long,[],"['nebraska', 'salad']",mean technically 1 score away top 5 time last 26 games prior colorado andif hadnt fumbled 3 snaps 2 major penalties red zone missed goal blown two deep coverages scored colorado wed national powerhouse news right
16k9n25,k0v06tk,florida boston college 1200,florida boston college location boston alumni chestnut hill time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['salad', 'sickos']",apparently bcs ol coached dog jumping every loud noise
16k9n25,k0v1u5j,florida boston college 1200,florida boston college location boston alumni chestnut hill time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['salad', 'sickos']",fact celebrated seems add evidence idea bcs players actually know rules
16k9n25,k0v3rnp,florida boston college 1200,florida boston college location boston alumni chestnut hill time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['salad', 'sickos']",oof hope hes ok bright side much one looks like nonthrowing arm
16k9n25,k0vksia,florida boston college 1200,florida boston college location boston alumni chestnut hill time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['salad', 'sickos']",also upset score go 2 stupid need either way getting first one arguably better getting second one always dumb argument
16k9n25,k0vn5ee,florida boston college 1200,florida boston college location boston alumni chestnut hill time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['salad', 'sickos']",shit way end pretty fitting
168bu91,jyunp91,postgame colorado defeats tcu 4542,box score provided team 1 2 3 4 made rcfb,"['texasam', 'ucla']","['georgia', 'salad']",cant wait see colorado national championship year
168o9xp,jyy4rck,chip kelly espn halftime new rules crazy four drives first half hope guys selling lot commercials,,"['michigan', 'fau']","['ohiostate', 'salad']",went osuindiana yesterday started 340p ended exactly 659p shorter time duration another ruining sport
172f8wn,k3wa1b5,postgame defeats 3430,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['oklahoma', 'salad']",cant wait december sec championship
18w6kt1,kfw6isk,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['tennessee', 'salad']",see articles talking future 2 super conferences conference besides sec
18w6kt1,kfw82h3,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['salad', 'sickos']",oh thought right scored td
