post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16q6omx,k1w5f55,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washingtonstate', 'sanfrancisco']",sad see clemson blow time pretty hilarious
16qgjo5,k1x7b33,washington 700,washington location washington martin time 700 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washingtonstate', 'sanfrancisco']",loving playing far bittersweet beaver bros
18sfbqf,kf7uf0q,holiday bowl usc louisville 800,uscfuscusc location petco park time 800 watch tv foxlfox odds spread lou 65 overunder 585 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['usc', 'sanfrancisco']",anyone notice hasnt one directv commercial bowl sponsoring
172mpmi,k3ybzcu,arizona usc 1030,uscfuscusc location uscfusc los angeles memorial coliseum time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washingtonstate', 'sanfrancisco']",im sure usc finish rest season 500 record could 3 straight losses end season uw ucla also notre dame next week
172mpmi,k3yfidg,arizona usc 1030,uscfuscusc location uscfusc los angeles memorial coliseum time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washingtonstate', 'sanfrancisco']",everytime see empty set arizona assume big playtd
172mpmi,k3ygnr9,arizona usc 1030,uscfuscusc location uscfusc los angeles memorial coliseum time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washingtonstate', 'sanfrancisco']",caleb williams god sure usc win notre dame
171pswl,k3sg6ts,kansas 730,kansas location boone pickens time 730 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['sanfrancisco', 'chaos']",replay showed defender knew exactly lined hit thats dirty hit though understand wasnt called
191zla4,kgzjfb1,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['usc', 'sanfrancisco']",feel like wife watching super bowl halftime showea stop teasing us
16qbmz1,k1warjr,colorado 330,location oregonforegon autzen time 330 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washingtonstate', 'sanfrancisco']",glimmer hope colorado defense almost held fg
16qbmz1,k1wc8ef,colorado 330,location oregonforegon autzen time 330 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washingtonstate', 'sanfrancisco']",ive rooting colorado season obviously going happen colorado top tier talent many skill positions size especially defensive side ball top tier teams beat personnel anything
16qbmz1,k1weutp,colorado 330,location oregonforegon autzen time 330 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washingtonstate', 'sanfrancisco']",dont think anybody even colorado coaching staff thought could ever hang oregons cfb cant put together top team one year video coach prime year talking elite offenses alot non 45 star recruits elite defenses basically 45 star recruits kind reflects team pretty explosive offense swiss cheese defense especially hunter multi year rebuild defensive talent take time build
177vtsq,k4wowh3,washington 330,location husky time 330 watch tv abclabc odds spread wash 3 overunder 670 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washingtonstate', 'sanfrancisco']",prediction uo 4th goal 10 seconds left goes td loses
177vtsq,k4wpfvo,washington 330,location husky time 330 watch tv abclabc odds spread wash 3 overunder 670 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washingtonstate', 'sanfrancisco']",dogs let uo get close enough go td kicking
177vtsq,k4wq0k8,washington 330,location husky time 330 watch tv abclabc odds spread wash 3 overunder 670 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washingtonstate', 'sanfrancisco']",damn looks like wsu give dogs first loss
17807q1,k4wsaeh,arizona washington 700,washington location washington gesa time 700 watch tv pac12 networklp12n odds spread wsu 8 overunder 620 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washingtonstate', 'sanfrancisco']",going end 5 loss season hell happened team beat osu
17807q1,k4wt70x,arizona washington 700,washington location washington gesa time 700 watch tv pac12 networklp12n odds spread wsu 8 overunder 620 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washingtonstate', 'sanfrancisco']",feel stupid thinking media underrating us beating osu
1728eb3,k3w43wa,1200,location cotton bowl time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['sanfrancisco', 'chaos']",would much easier stomach big call actually footage foul occurring
