post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
183w2c9,kasg0qx,florida florida 700,florida location floridafflorida ben hill griffin time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida2', 'sanfranciscostate']",started tackle qb slid supposed
17sd1ye,k8p4fxx,sources big ten expected discipline inperson scouting ongoing sign stealing investigation prohibit jim harbaugh sideline conclusion regular season allowed coach week,,"['georgia', 'cfp']","['florida2', 'sanfranciscostate']",mean allowed booth sideline
16knfug,k0xg9pd,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida2', 'sanfranciscostate']",looked like might collarbone maybe got wind knocked
16knfug,k0xgrvq,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida2', 'sanfranciscostate']",seems like prime inviting late 90searly 2000s canes vibe whos bringing coke
16knfug,k0xkf4a,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida2', 'sanfranciscostate']",think prime taught shadeur poke defenders eyes
16knfug,k0xkz5v,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida2', 'sanfranciscostate']",announcers know program existed prime didnt either
16knfug,k0xll8y,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida2', 'sanfranciscostate']",tcu nebraska good thats takeaway
16knfug,k0xy3ej,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida2', 'sanfranciscostate']",long time ago found prevent defense bad never use
188qre7,kbmow0n,washington 800,location allegiant time 800 watch tv abclabc odds spread ore 95 overunder 655 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida2', 'sanfranciscostate']",designed bubble screen inside run trying get cute
16keh8t,k0w7xdc,usf 330,usffusfusf location usffusf raymond james time 330 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida2', 'sanfranciscostate']",feels like matter time take
177vtws,k4w3dsd,florida south carolina 330,south carolina location south williamsbrice time 330 watch tv sec networklsecn odds spread sc 2 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida2', 'sanfranciscostate']",yes see step im sure south carolina appreciates support guys booth
177vtws,k4w4emb,florida south carolina 330,south carolina location south williamsbrice time 330 watch tv sec networklsecn odds spread sc 2 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida2', 'sanfranciscostate']",edwin moses calling random person
1780tdz,k4wxk8u,usc notre dame 730,uscfuscusc notre dame location notre damefnotredame notre dame time 730 watch tv nbclnbc peacocklpeacock odds spread nd 3 overunder 630 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida2', 'sanfranciscostate']",stop talking commercial libertarian funded koch bullshit
189go22,kbrcgg3,florida louisville 800,florida location bank america time 800 watch tv abclabc odds spread fsu 15 overunder 465 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida2', 'sanfranciscostate']",makes throws proceeds throw 4 yards short receiver
189go22,kbrff0p,florida louisville 800,florida location bank america time 800 watch tv abclabc odds spread fsu 15 overunder 465 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida2', 'sanfranciscostate']",know else looked bad undefeated team still made national championship notre dame dont fall
1728eb3,k3w1djq,1200,location cotton bowl time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida2', 'sanfranciscostate']",fuck abc fuck sub base levels
