post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
193kzx5,kh9xpns,mcmurphy oregons dan lanning expected top target replace saban source told actionnetworkhq,nan,"['utep', 'florida2']","['washington', 'seattlebowl']",fans sacrifice hc uw lose natty
16ql0uy,k1y7t9i,california washington 1030,location husky time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washington', 'seattlebowl']",love uw always sends players interviews really cool actually coaches never say anything anyways
16ql0uy,k1ybkau,california washington 1030,location husky time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washington', 'seattlebowl']",dream deboer took grubb took uw
16ql0uy,k1ye7ku,california washington 1030,location husky time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washington', 'seattlebowl']",money usc 335 b would rather asu win point
16ql0uy,k1yetrt,california washington 1030,location husky time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washington', 'seattlebowl']",cant believe uw 205 going doubt
15vwgdi,jwya8lt,teams 4th biggest rival,bah gawd tell close start season let get one peak offseason question every school knows first second biggest rivalries majority know third fourth biggest rival auburn would think likely florida honest rivalry pretty dead days know used big back day,"['auburn', 'chattanooga']","['washington', 'seattlebowl']",uw 1 2 washington 3 st 4 cal feels like cal could convinced stanford usc utah
177nxrk,k4ucmuq,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['washington', 'seattlebowl']",guys start qb college fantasy today carson beck brady cook
177nxrk,k4utvqm,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['washington', 'seattlebowl']",yards allowed uw within 10 points arizona 14 yards cal 18 yards 33 yards tulsa 49 yards boise 152 yards im sure anyone says uws defense isnt good played large leads pulled starters
177nxrk,k4uv4oc,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['washington', 'seattlebowl']",hope big ten fans see get excited coming washington games
177nxrk,k4uvtfk,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['washington', 'seattlebowl']",joel mchale encapsulates uw fans feel wsu lots us root theyre playing uw however feel wsu fans never root uw
191n0mf,kgwjzvt,washington fans tonights mean,1 team since born ive app loss rich rod hoke trouble snap losses ohio dad difficult relationship one thing always ever since could remember passed 2020 wish couldve last years know tonights wouldve meant world um uw fans new old national championship appearance mean,"['michigan', 'westernmichigan']","['washington', 'seattlebowl']",nervous possibly winning one ohio 2014 uw tonight im houston going
16qbmz1,k1wvbh6,colorado 330,location oregonforegon autzen time 330 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washington', 'seattlebowl']",reminder theres never valid reason root ducks ever
15u6nal,jwob1is,nothing say would ever change opinion cfb opinion,opinion ironclad immovable collaboration worlds top minds say otherwise couldnt get move opinion god could appear irrefutable evidence stating otherwise still wouldnt change opinion,['georgia'],"['washington', 'seattlebowl']",never situation makes okay root ducks
177vtsq,k4vrs3q,washington 330,location husky time 330 watch tv abclabc odds spread wash 3 overunder 670 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washington', 'seattlebowl']",dont understand anyone say uws defense isnt good oregons yards allowed uw within 10 points arizona 14 yards cal 18 yards 33 yards tulsa 49 yards boise 152 yards im sure anyone says uws defense isnt good played large leads pulled starters early
177vtsq,k4vtq0j,washington 330,location husky time 330 watch tv abclabc odds spread wash 3 overunder 670 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washington', 'seattlebowl']",started pace around living room stress eating anything around
177vtsq,k4wqqp3,washington 330,location husky time 330 watch tv abclabc odds spread wash 3 overunder 670 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washington', 'seattlebowl']",nearly 22k comments going blast read
1689xvd,jyv2my1,boise washington 330,boise location husky time 330 watch tv abclabc odds spread wash 145 overunder 585 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['iowa', 'washington']","['washington', 'seattlebowl']",seems weird player interview rome odunze well spoken see
1689xvd,jyvfgpx,boise washington 330,boise location husky time 330 watch tv abclabc odds spread wash 145 overunder 585 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['iowa', 'washington']","['washington', 'seattlebowl']",im glad rg3 didnt feel need neutralize personality espn hes fantastic
1953697,khk5xzf,sources deboer talks bama hc job,nan,"['alabama', 'floridastate']","['washington', 'seattlebowl']",guess previously agent talks hes entered talks ancillary stuff contract
18a1czt,kbv5yte,liberty play fiesta bowl,,"['brockport', 'checkbox']","['washington', 'seattlebowl']",excited go fiesta bowl root literally team turned team wont root liberty damn
