post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18wbuu4,kfxsizo,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['sewanee', 'notredame']",living east coast manthese fucking commercials 1100 pmim fuck
18wbuu4,kfxxv8y,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['sewanee', 'notredame']",making feel weird sport love
18wbuu4,kfxy3uk,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['sewanee', 'notredame']",way doesnt win right dont even know washington defense run play momentum blows
18wbuu4,kfxy7us,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['sewanee', 'notredame']",course runs play like rn lmao stupid
16qh8am,k1xt0bg,baylor 730,location baylorfbaylor mclane time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['sewanee', 'texas']",havent muffed punt like 2 years twice one night
18aie6x,kbz00ks,ohio quarterback kyle mccord entered transfer portal,made rcfb recruiting post,['michigan'],"['tennessee', 'sewanee']",nil unlimited transfer people wanted finally arrived people coming going completely mercenary utterly disconnected colleges communities hope enjoy
18uo86j,kfm4jkw,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['tennessee', 'sewanee']",hefty respect fsu players fighting defend teams 130 record hope ones pouted sat feel real good watching teammates get pummeled uga four quarters
15j08i1,juxdxj2,colin cowherd usc playing badgers saturday night camp randall huskies hosting montlake ducks shootout eugene w penn loyalty stuff fade pretty quickly give big games im,,"['michigan', 'fau']","['tennessee', 'sewanee']",spoken like true media talking head doesnt give damn tradition history schools sport ability profit
1621ag8,jxv8ko9,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['sewanee', 'texas']",hartman nails still taking lot shots
18sx6e0,kfa631f,ever one favorite college players end least favorite nfl team conversely ever college player couldnt stand end favorite nfl team go,fan kansas jayhawks kansas city chiefs ive seen missouri tigers kstate wildcats end chiefs roster cant say dramatic way chiefs draft kstate player felix anudikeuzomah first round earlier year cant say stood player disliked college nick bolton mizzou drafted chiefs second round back 2021,['kansas'],"['alabama', 'sewanee']",spouse cowboys fan incensed many former bama players ended eagles commanders
