post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18wbuu4,kfxo6g2,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'shandong']",fuck 3 minute commercial break fg im tired watching shit bro
18wbuu4,kfxojvu,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'shandong']",need link nip slip wtf missed
18wbuu4,kfxxvlc,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'shandong']",said cant believe dont kneel ok 3 minutes later
17t1stj,k8ugz5c,miami florida 330,florida location florida doak campbell time 330 watch tv abclabc odds spread fsu 145 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'shandong']",officials must parlay fsu last need agree call
16k9n25,k0vnph4,florida boston college 1200,florida boston college location boston alumni chestnut hill time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'shandong']",clemson manage 17 penalties think shot next week
17ydyrl,k9tuv4d,north carolina clemson 330,north carolina location clemsonfclemson memorial clemson sc time 330 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'shandong']",bro keep talking drake maye top qb mfker throwing ball 10 yards bounds 4th
17ydyrl,k9tv64q,north carolina clemson 330,north carolina location clemsonfclemson memorial clemson sc time 330 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'shandong']",whats name internship kicker still cant hit shit might well let gunn kick like guys better
18twt1o,kfgnbvl,postgame clemson defeats kentucky 3835,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['clemson', 'shandong']",worst season 12 years still ended 94 2 sec wins lol
172mpmi,k3yed71,arizona usc 1030,uscfuscusc location uscfusc los angeles memorial coliseum time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'shandong']",almost good gt miami ending great day
189ycsz,kbusje4,thamel college playoff 1 2 washington 3 4 5 florida 6georgia,nan,"['texas', 'williammary']","['clemson', 'shandong']",sec losing record sec fsu beat 2 sec teams ooc already wtf else supposed fsu boycott whatever bowl theyre given
18a2cnr,kbx1h9v,jeyarajah logic think better florida dont really understand rank fsu ahead ohio results games dont matter exactly stop,nan,"['southern', 'usf']","['clemson', 'shandong']",fsu schedules 2 sec teams year fault sec weak teams losing record every conference
189yt3v,kbx3ix9,sportscenter florida reacting missing cfbplayoff,nan,"['ballstate', 'colorado']","['clemson', 'shandong']",expect invited sec invitational tournament anyway
189yt3v,kbx3qjw,sportscenter florida reacting missing cfbplayoff,nan,"['ballstate', 'colorado']","['clemson', 'shandong']",congrats jordan travis heisman though fsu doesnt even deserve spot without
172j2qi,k3xur4p,notre dame louisville 737,notre dame location cardinal time 737 watch tv abclabc odds spread nd 65 overunder 535 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'shandong']",isnt even close louisville higher 15 tbh point
16a716p,jz6mtwn,clemson duke 800,dukefdukeduke location dukefduke wallace wade time 800 watch tv espnlespn odds spread clem 13 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['stanford', 'presscorps']","['clemson', 'shandong']",dead ball targeting ya thats thing exists isnt completely made first time ever
16keh8t,k0whvsa,usf 330,usffusfusf location usffusf raymond james time 330 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'shandong']",illegal snap infraction substitution
177vtsq,k4wl1sh,washington 330,location husky time 330 watch tv abclabc odds spread wash 3 overunder 670 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'shandong']",odds scorigami seems like unique scoreboard rn
18u1f6v,kfhy37f,cotton bowl ohio missouri 800,ohio location att time 800 watch tv espnlespn espnlespn odds spread osu 5 overunder 495 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'shandong']",tonight commercial expo im go something else
18u1f6v,kficjzq,cotton bowl ohio missouri 800,ohio location att time 800 watch tv espnlespn espnlespn odds spread osu 5 overunder 495 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'shandong']",refs announcers miss players running lol
17ii1dl,k6uwi19,clemson nc 200,nc statefncstatenc location nc statefncstate carterfinley time 200 watch tv cwlcw odds spread clem 10 overunder 440 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'shandong']",someone explain launching head first face directly defenseless players head isnt targeting genuinely curious
17ii1dl,k6v6k1w,clemson nc 200,nc statefncstatenc location nc statefncstate carterfinley time 200 watch tv cwlcw odds spread clem 10 overunder 440 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'shandong']",cade going worse record dj ever
17ii1dl,k6v75vf,clemson nc 200,nc statefncstatenc location nc statefncstate carterfinley time 200 watch tv cwlcw odds spread clem 10 overunder 440 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'shandong']",mean ive saying since two years ago problem never dj problem always coaches play calling management put dj team exact record maybe win extra
18a5prc,kbx0o02,college playoffs unprecedented screw job florida,nan,"['army', 'fiesta']","['clemson', 'shandong']",wont watching hope bama gets blown fuck
