post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
1785w9p,k4xhf3m,postgame notre dame defeats usc 4820,box score provided team 1 2 3 4 uscfusc337720 notre made rcfb,['rcfb'],"['notredame', 'siena']",xavier watts dad hes also dad hes everyones dad
16wq174,k2ybf4k,postgame notre dame defeats duke 2114,box score provided team 1 2 3 4 notre dukefduke007714 made rcfb,['rcfb'],"['notredame', 'siena']",sorry see leonard go like hope hes ok
17ijw8e,k6v6s7s,pittsburgh notre dame 330,notre dame location notre damefnotredame notre dame time 330 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'siena']",need four yards pitts clearly selling lets send everybody 10yard routes
17ijw8e,k6vhymo,pittsburgh notre dame 330,notre dame location notre damefnotredame notre dame time 330 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'siena']",hate fucking salesforce commercial much really realize malevolent comes
16wjz1a,k2y688m,notre dame duke 730,notre dame dukefdukeduke location dukefduke wallace wade time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'siena']",insane targeting call ever seen lifetime insane targeting calls dont know rule
16wjz1a,k2yay1u,notre dame duke 730,notre dame dukefdukeduke location dukefduke wallace wade time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'siena']",im happy nd oh god thats fucking awful leonard
172j2qi,k3x9e3n,notre dame louisville 737,notre dame location cardinal time 737 watch tv abclabc odds spread nd 65 overunder 535 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'siena']",marist already tallying number missed good sign
172j2qi,k3xhuk9,notre dame louisville 737,notre dame location cardinal time 737 watch tv abclabc odds spread nd 65 overunder 535 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'siena']",drive missing tessitore telling us louisville kicker hasnt missed range 15 years
172j2qi,k3xl7ey,notre dame louisville 737,notre dame location cardinal time 737 watch tv abclabc odds spread nd 65 overunder 535 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'siena']",spencer lines 30yarders oh god oh fuck 50 yarders problem hes got
172j2qi,k3xnfly,notre dame louisville 737,notre dame location cardinal time 737 watch tv abclabc odds spread nd 65 overunder 535 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'siena']",time dad would typically stand inform guests hes going bed
16qh8h1,k1xmwjf,ohio notre dame 730,ohio notre dame location notre damefnotredame notre dame time 730 watch tv nbclnbc odds spread osu 75 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'siena']",oh boy thats nasty hate see happen great player
16qh8h1,k1xuhd4,ohio notre dame 730,ohio notre dame location notre damefnotredame notre dame time 730 watch tv nbclnbc odds spread osu 75 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'siena']",perfect amount hype hope nd break fucking soul
167l7hn,jyqx67m,tech louisville 730,tech location mercedesbenz time 730 watch tv espnlespn odds spread lou 8 overunder 485 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['georgiatech'],"['notredame', 'siena']",tech legit explosive year louisville defense bad
167l7hn,jyqyz5g,tech louisville 730,tech location mercedesbenz time 730 watch tv espnlespn odds spread lou 8 overunder 485 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['georgiatech'],"['notredame', 'siena']",cant explain dont like idea interviewing players halftime
