post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzw1mil,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'southdakota']",starting think sec may deserve 2 bids year
16ei5hq,jzwagms,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['stanford', 'southdakota']",flat better amazing see interior talent decade half dominance
183rfxa,karnm1p,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'southdakota']",terrible defensive play calling dont give day throw
17q3a8o,k89snqj,big tens tony petiti informed today two programs fed purdue michigans signals 2022 bt title rutgers osu clear rules broken doesnt directly affect ums situation raises question relative competitive advantage,nan,['michigan'],"['southdakota', 'nebraska']",seriously mods please make stickied michiganrelated stuff go um msu osu fans leave rest us alone
16qbmww,k1wkw18,ole miss 330,ole missfolemissole miss location alabamafalabama bryantdenny time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['stanford', 'southdakota']",bryce young really shouldve heisman last season much disguised alabamas averageness
17h2hhf,k6ldoek,michigans signstealing scandal really big deal,nan,['georgia'],"['southdakota', 'nebraska']",think big deal time getting mildly annoyed glut ohio flairs clutching pearls posts
15wqekf,jx2nt0o,top 5 popular college teams cityarea,1 north carolina 2 nc 3 appalachian 4 wake forest 5 duke x200b,"['floridastate', 'northcarolinaat']","['kansas', 'southdakota']",sioux falls sd 1 nebraska 2 south dakota 3 4 south dakota 5
17d9q9a,k5wbfnk,houston 400,location houstonfhouston tdecu time 400 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['stanford', 'southdakota']",thought big12 supposed rig games
18uo86j,kfm5nns,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'southdakota']",yall saying left variation sentiment exactly stupid
18uo86j,kfm5u3b,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'southdakota']",clearly uga manhandling undefeated fsu proof left
