post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18wbuu4,kfxklnf,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska2', 'southdakotamines']",im pleased decision burn use lose time tomorrow considering isnt going 1am
17t7o6c,k8w0zdc,duke north carolina 800,dukefdukeduke north carolina location north kenan time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'southdakotamines']",know going piss people regarding contested catch think refs got right since got right dont care wasnt reviewed
17adji1,k5dwlk3,fit schools fanbase stereotypes,involved greek life never done cocaine religious im certainly minority among tcu alumsfans fan doesnt golf fan doesnt love world war ii history duke fan doesnt care basketball stanford fan bad math wisconsin fan doesnt drink alcohol,['tcu'],"['nebraska2', 'southdakotamines']",sometimes worry im nice public opposing fan bases im home watching television say terrible awful deplorable right nasty things opponents public whether actual passing somewhere randomly find complimentary teams fans point walk away worry shows kind weakness sometimes id like say hurtful things rivals like id slap watch right kid hope punter gets turf toe misses heisman cant hate
1728e91,k3vkzew,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska2', 'southdakotamines']",shoe quiet much crowd noise red river rivalry
1728e91,k3vng62,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska2', 'southdakotamines']",day crying eyes red cheeks flushed maybe yelling
16e7uxq,jzun4ud,utah baylor 1200,utahfutahutah location baylorfbaylor mclane time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['utah', 'southdakotamines']",play calling barnes still wholly fuck
16e7uxq,jzup631,utah baylor 1200,utahfutahutah location baylorfbaylor mclane time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['utah', 'southdakotamines']",bruh really put better qb crunch time lol
17nngbp,k7t7uat,nebraska 1200,location spartan time 1200 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'southdakotamines']",wouldnt touched didnt get pushed harm foul though
17nngbp,k7tlwx4,nebraska 1200,location spartan time 1200 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'southdakotamines']",eventually going get needed offense step happening
17nngbp,k7tq1tx,nebraska 1200,location spartan time 1200 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'southdakotamines']",0 reason watch good refs cant help taint im still going shouldnt
16vtigq,k2thqu2,cincinnati byu 1015,byufbyubyu location byufbyu lavell edwards time 1015 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'southdakotamines']",make sure comment every season bring back byuidaho
16vtigq,k2tpc4u,cincinnati byu 1015,byufbyubyu location byufbyu lavell edwards time 1015 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'southdakotamines']",returners making bone headed decisions imaginable favorite type highlight
18phz33,keovteq,las vegas bowl northwestern utah 730,utahfutahutah location allegiant time 730 watch tv abclabc espnlespn odds spread utah 65 overunder 415 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'southdakotamines']",thinking using srs distribution next time distribution needs
17o0i1u,k7vwvd6,colorado 1000,location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'southdakotamines']",teams named animals populations decimated due trapping hunting valuable hide two
17o0i1u,k7w0yhk,colorado 1000,location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'southdakotamines']",dont think pronounce osu qbs last name either im paid
18uoxb5,kfm950w,arizona bowl wyoming toledo 430,location arizona time 430 watch tv cwlcw odds spread wyo 35 overunder 445 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'southdakotamines']",rockets cowboys reminds andy started playing buzz instead woody
18uoxb5,kfm9igb,arizona bowl wyoming toledo 430,location arizona time 430 watch tv cwlcw odds spread wyo 35 overunder 445 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['southdakotamines', 'georgiatech']",thing happened barstools basketball seriously expected normal commentary barstool stream kind thats honestly nice change pace getting cfp ads analysis jammed throats instead caring actual played
16vrr41,k2sr82b,utah 900,utahfutahutah location reser time 900 watch tv fox sports 1lfs1 odds spread utah 25 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['utah', 'southdakotamines']",moving east coast really puts perspective late pac12 games start hope competitive
16vrr41,k2t2csp,utah 900,utahfutahutah location reser time 900 watch tv fox sports 1lfs1 odds spread utah 25 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['utah', 'southdakotamines']",point wouldnt barnes better exploit secondary idk
15ifj30,jutwu5t,say something nice washington,embarrassed florida washington took jg hands,['tennessee'],"['utah', 'southdakotamines']",beavers superior osu love logo helmets love calling washington wazzu love terms couged beaved conference realignment sucks
188eaxn,kbkqooj,longhorn livestock found dead outside frat house ahead big 12 championship,nan,['texas'],"['nebraska2', 'southdakotamines']",im even sure supposed mean wouldnt make sense leave dead longhorn ut grounds missing something regardless kind ridiculous calling card todays world
16knfug,k0xzh8k,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska2', 'southdakotamines']",damn announcers must afraid getting deions bad side
1684osx,jyuipjx,colorado tcu 1200,tcuftcutcu location tcuftcu amon g carter time 1200 watch tv foxlfox odds spread tcu 205 overunder 645 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texasam', 'ucla']","['nebraska', 'southdakotamines']",maybe tcu really bad checked score last encouraging
1684osx,jyuk5ka,colorado tcu 1200,tcuftcutcu location tcuftcu amon g carter time 1200 watch tv foxlfox odds spread tcu 205 overunder 645 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texasam', 'ucla']","['nebraska', 'southdakotamines']",chances sanders gets targeting call cant play first half next week
