post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16e7uwk,jzuc9ig,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['northcarolina', 'southsoldestrivalry']",remember correctly didnt notre dame play hurricane raleigh
17t7o6c,k8vs2t9,duke north carolina 800,dukefdukeduke north carolina location north kenan time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northcarolina', 'southsoldestrivalry']",cfb terrible place general many commercials inexcusable officiating like 510 teams serious chances championship lack parity horrible combined bad officiating many commercials theyre backing corner
17t7o6c,k8vwm6p,duke north carolina 800,dukefdukeduke north carolina location north kenan time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northcarolina', 'southsoldestrivalry']",last 3 years criminal waste talent mack needs step fuck aside
17t7o6c,k8vx4gi,duke north carolina 800,dukefdukeduke north carolina location north kenan time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northcarolina', 'southsoldestrivalry']",mind blowing unc bad history im asking contender embarrassing dirty butt
17t7o6c,k8vzeh2,duke north carolina 800,dukefdukeduke north carolina location north kenan time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northcarolina', 'southsoldestrivalry']",life understand many neutrals hate us much historically ass always lose heartbreaking fashion
17t7o6c,k8vzxfz,duke north carolina 800,dukefdukeduke north carolina location north kenan time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northcarolina', 'southsoldestrivalry']",bright side knew going pay exactly like like watching old favorite horror movie
17t7o6c,k8w1t78,duke north carolina 800,dukefdukeduke north carolina location north kenan time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northcarolina', 'southsoldestrivalry']",damn wish influence salty abcers think
183xb5l,kas5jey,north carolina nc 800,north carolina nc statefncstatenc location nc statefncstate carterfinley time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northcarolina', 'southsoldestrivalry']",mack brown doesnt retire chizik isnt fired monday im watching
183xb5l,kas7ybx,north carolina nc 800,north carolina nc statefncstatenc location nc statefncstate carterfinley time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northcarolina', 'southsoldestrivalry']",mack leave program exactly found
183xb5l,kashbuh,north carolina nc 800,north carolina nc statefncstatenc location nc statefncstate carterfinley time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northcarolina', 'southsoldestrivalry']",swear fucking god im going make ic account rail anyone tries defend coaches
