post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18wbuu4,kfx6od3,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam', 'southwestclassic']",washington going win going need capitalize hornss red zone woes great start
18wbuu4,kfxvbuh,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam', 'southwestclassic']",never considered donating nil fund schools moment
16w91xa,k2vivpg,arkansas 1200,amftexasamtexas location att time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam', 'southwestclassic']",ags rangers playing big games today could possibly go wrong
16w91xa,k2vnd3o,arkansas 1200,amftexasamtexas location att time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam', 'southwestclassic']",first two 3rd conversions charmin secondary one refs
16w91xa,k2vqfbr,arkansas 1200,amftexasamtexas location att time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam', 'southwestclassic']",two things true one thats absolutely holding two theres excuse dj get stop
16w91xa,k2vrpdt,arkansas 1200,amftexasamtexas location att time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam', 'southwestclassic']",used love photography im living prostate cancer hell commercial opener
16w91xa,k2vs228,arkansas 1200,amftexasamtexas location att time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam', 'southwestclassic']",arkansass came today ranked 18th points per opportunity inside 40 aggie 10th great battles far
16w91xa,k2vsb22,arkansas 1200,amftexasamtexas location att time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam', 'southwestclassic']",hog 90th power success rate aggie top 30 great conversion
16w91xa,k2vu5h0,arkansas 1200,amftexasamtexas location att time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam', 'southwestclassic']",didnt think allowed get third stop side wouldve nice know
16w91xa,k2vvgxp,arkansas 1200,amftexasamtexas location att time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam', 'southwestclassic']",arkansas 120th passing explosiveness allowed ags rank 30th big 3rd long conversion
16w91xa,k2vxlch,arkansas 1200,amftexasamtexas location att time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam', 'southwestclassic']",fairness pittman ams ranked 101st power success rate arkansas top 40
16w91xa,k2w27oo,arkansas 1200,amftexasamtexas location att time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam', 'southwestclassic']",heb love begging reprieve commercials
16w91xa,k2w315x,arkansas 1200,amftexasamtexas location att time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam', 'southwestclassic']",gets jimbo fired goes wrong
16w91xa,k2w5vw6,arkansas 1200,amftexasamtexas location att time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam', 'southwestclassic']",might able win one without max 7point head start rest year
16w91xa,k2w9m7b,arkansas 1200,amftexasamtexas location att time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam', 'southwestclassic']",absolutely criminal refs heads asses day
16w91xa,k2wi0jl,arkansas 1200,amftexasamtexas location att time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam', 'southwestclassic']",gotta give refs theyre going without fight
16qbmww,k1w9m7b,ole miss 330,ole missfolemissole miss location alabamafalabama bryantdenny time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam', 'southwestclassic']",miss read scramble first anyways milroe experience
16qbmww,k1wa06n,ole miss 330,ole missfolemissole miss location alabamafalabama bryantdenny time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam', 'southwestclassic']",om dropping cover 3 really concerned milroe throwing deep middle accurately
