post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16f0btp,jzyo1h3,honest questionwhy nebraska bad,theyve burned coaches athletic directors quarter backs etc yet theyve continued fall farther farther ever since early 2000swhy ive never seen program elite fall cliff long,[],"['springfield', 'oklahoma']",lost recruiting ground tx moved b1g cant least havent recruit type player needed run modern offense compete elite higher level programs look ceiling b1g west teams made terrible hires reilly frost guys hadnt really shown could sustain success also issues seemed foundational rot beyond success failure thats carries well see rhule im little hesitant say hes gonna get turned around thought hired reacting first 2 weeks simply similar reasons last 2 hires shortsighted id feel better seen sustain success baylor 1 year success small sample claim standard expectation lucky however im sure nebraska exactly baylor would take
172f8wn,k3wbzo6,postgame defeats 3430,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['springfield', 'oklahoma']",goal line stand ultimate difference 4 play inside 2 goal line stand ou feels good
17ifk69,k6u830t,kansas 1200,location kansasfkansas david booth kansas memorial time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['springfield', 'oklahoma']",linebackers never deep enough pass defense issue year leaving deep crossers open middle
17ifk69,k6u8du3,kansas 1200,location kansasfkansas david booth kansas memorial time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['springfield', 'oklahoma']",ou line play issue sides regards run
17ifk69,k6uyt8x,kansas 1200,location kansasfkansas david booth kansas memorial time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['springfield', 'oklahoma']",weather crowd shrunk much would think reportedly sold close top 10 team theyd still packed
17ifk69,k6uzgi0,kansas 1200,location kansasfkansas david booth kansas memorial time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['springfield', 'oklahoma']",everyone gonna shit roofvenables defense fuck trace ford crashing hard fake holding edge
17ifk69,k6v027a,kansas 1200,location kansasfkansas david booth kansas memorial time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['springfield', 'oklahoma']",walkersawchuk play action stoopsfarooq seams kiss
17ifk69,k6v05p5,kansas 1200,location kansasfkansas david booth kansas memorial time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['springfield', 'oklahoma']",jet sweep freeman worked points might
16egmpb,jzvyhun,smu 600,smufsmusmu location memorial norman ok time 600 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['oklahoma', 'cfp']","['springfield', 'oklahoma']",dont think ou needs worry lebby getting hired away
16egmpb,jzw0voh,smu 600,smufsmusmu location memorial norman ok time 600 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['oklahoma', 'cfp']","['springfield', 'oklahoma']",offense doesnt look improved theyre gonna gonna terrible conference slate
1728eb3,k3vma6c,1200,location cotton bowl time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['springfield', 'oklahoma']",dont love penalty ill take seems like argument would crown helmet late dont love neutral perpective
1728eb3,k3vq84e,1200,location cotton bowl time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['springfield', 'oklahoma']",bad drop hit numbers easy td
1728eb3,k3vqm40,1200,location cotton bowl time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['springfield', 'oklahoma']",second half adjustments everyone calming decide sense actually starts
1728eb3,k3vw1uw,1200,location cotton bowl time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['springfield', 'oklahoma']",know nfl downs taunting makes nervous called unsportsmanlike early
