post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
168gmpf,jyvw3qw,old dominion virginia tech 800,old dominion virginia tech location virginia lane time 800 watch tv acc networklaccn odds spread vt 16 overunder 480 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['olddominion', 'myrtlebeach']","['virginiatech', 'staff']",grant wells fighting ryan willis worst qb decade
168gmpf,jyw3xwk,old dominion virginia tech 800,old dominion virginia tech location virginia lane time 800 watch tv acc networklaccn odds spread vt 16 overunder 480 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['olddominion', 'myrtlebeach']","['virginiatech', 'staff']",hole certainly didnt see near offensive line
177ix9d,k4t79aw,postgame stanford defeats colorado 4643 2ot,box score provided team 1 2 3 4 ot made rcfb,['rcfb'],"['fordham', 'staff']",anyone see girl consoling obviously stressed colorado fan end broadcast lmao
177rgmq,k4uxwcc,vanderbilt 1200,location firstbank time 1200 watch tv cbslcbs odds spread uga 315 overunder 570 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['vanderbilt', 'staff']",alright im hahahahahahaha best weve played year
177rgmq,k4uy1lh,vanderbilt 1200,location firstbank time 1200 watch tv cbslcbs odds spread uga 315 overunder 570 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['vanderbilt', 'staff']",actually telling friends week gonna weird necessarily wed win didnt think would blowout people expecting good start weird sure
177rgmq,k4uzktd,vanderbilt 1200,location firstbank time 1200 watch tv cbslcbs odds spread uga 315 overunder 570 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['vanderbilt', 'staff']",reminds time scored first 2019 lsu widest margin team lsu season year yes mention whenever
177rgmq,k4v056s,vanderbilt 1200,location firstbank time 1200 watch tv cbslcbs odds spread uga 315 overunder 570 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['vanderbilt', 'staff']",starting think didnt even care practice week
177rgmq,k4v0bw3,vanderbilt 1200,location firstbank time 1200 watch tv cbslcbs odds spread uga 315 overunder 570 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['vanderbilt', 'staff']",know eventually come back around definitely looking like puppies dogs far
177rgmq,k4v33qc,vanderbilt 1200,location firstbank time 1200 watch tv cbslcbs odds spread uga 315 overunder 570 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['vanderbilt', 'staff']",coin flipper interview radio call pretty funny good stuff
177rgmq,k4v361o,vanderbilt 1200,location firstbank time 1200 watch tv cbslcbs odds spread uga 315 overunder 570 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['vanderbilt', 'staff']",vandy stay confident cant maybe stay competitive wont
177rgmq,k4v3ycz,vanderbilt 1200,location firstbank time 1200 watch tv cbslcbs odds spread uga 315 overunder 570 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['vanderbilt', 'staff']",getting serious help refs couple extra yards every spot swear thats going difference refs never call fair conference vandy basketball especially team postseason aspirations know everyone complains refs treat teams ill stand us getting worse calls
177rgmq,k4vbbgh,vanderbilt 1200,location firstbank time 1200 watch tv cbslcbs odds spread uga 315 overunder 570 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['vanderbilt', 'staff']",alright think im going check try get sleep anchor
16k9n25,k0updq8,florida boston college 1200,florida boston college location boston alumni chestnut hill time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['fordham', 'staff']",boston college fan please remind significance red bandana trimmings
16k9n25,k0uw83u,florida boston college 1200,florida boston college location boston alumni chestnut hill time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['fordham', 'staff']",lol bc players asking crowd shush
