post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzw4c1s,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia', 'stevenstech']",feel like guy bamas kicker since 2017
16ei5hq,jzwepcd,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia', 'stevenstech']",know ad mitchell left family reasons jermaine burton left selfish reasons man oh man would cool still guys
16ei5hq,jzwf339,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia', 'stevenstech']",hook horny steers right foreign
16ei5hq,jzwgwve,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia', 'stevenstech']",gotta stop getting emotionally invested games uga isnt ini dont need hurt today
16ei5hq,jzwhpyc,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia', 'stevenstech']",cantyou cant let ad mitchell get front like
16ei5hq,jzwj7cw,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia', 'stevenstech']",milks clock using new rules win change rules
172i5sr,k3x9c6j,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia', 'stevenstech']",know might blasphemy allred uga uniform allblue kentucky would
172i5sr,k3x9j2y,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia', 'stevenstech']",new ref crew guys gotta decide every call 2 minute convo
16q6omx,k1w4g1e,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame2', 'stevenstech']",clemsons kicker probably bars last saturday might win
16q6omx,k1w4u63,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame2', 'stevenstech']",god love qb draws play calls lincoln rileys little brother
