post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18w6kt1,kfw53uq,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['chaos', 'stfrancisxavier']",multiple near picks multiple sacks muffed punt already one
18w6kt1,kfw7t4y,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['chaos', 'stfrancisxavier']",dont care wins either way want banger wild chaotic
18w6kt1,kfw7wdn,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['chaos', 'stfrancisxavier']",nice block edge throw pursuit thought getting loss
18w6kt1,kfw82r1,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['chaos', 'stfrancisxavier']",defenses came play first drive seems like stayed bench teams second possession
18w6kt1,kfw9r4h,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['chaos', 'stfrancisxavier']",hopefully hes able walk one compromised position contact
18w6kt1,kfwcrhc,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['chaos', 'stfrancisxavier']",someone string together nice long drive get less commercials
189yt3v,kbusexw,sportscenter florida reacting missing cfbplayoff,nan,"['ballstate', 'colorado']","['westernontario', 'stfrancisxavier']",id pissed least confirms ill watching hockey pnw baseball new years day
183mtar,kaq5rh8,ohio 1200,ohio location time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['chaos', 'stfrancisxavier']",felt firmly like far strong finish drive bring right back
183mtar,kaqheg3,ohio 1200,ohio location time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['chaos', 'stfrancisxavier']",little bloodied catch hand inside mask something
183mtar,kaqoj43,ohio 1200,ohio location time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['chaos', 'stfrancisxavier']",surprised burned timeout rather 2 minute
18wd5xz,kfx4y9v,postgame defeats 2720 ot,box score provided team 1 2 3 4 ot made rcfb,['rcfb'],"['notredame2', 'stfrancisxavier']",dont mind im say told nick saban fans tommy rees behalf irish nation
