post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18wbuu4,kfxy3lz,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['syracuse', 'stjohnfisher']",comes score missed pat defensive td win ot
16qbmww,k1wjgsu,ole miss 330,ole missfolemissole miss location alabamafalabama bryantdenny time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northcarolina', 'stjohnfisher']",impossible watch whenever something going wrong come refs rescue
17yjuwx,k9u8l3k,syracuse tech 800,tech location bobby dodd time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['syracuse', 'stjohnfisher']",acc refs worst world overthinking everything always coming dumbest shit slows hate stupid conference
172dave,k3waeda,syracuse north carolina 330,north carolina location north kenan time 330 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['syracuse', 'stjohnfisher']",commercials dope like buy thing commercial
16knfug,k0xgouw,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northcarolina', 'stjohnfisher']",wait players throwing punches nobody thrown somebody going catch straight hand face tonight
16knfug,k0xheqz,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northcarolina', 'stjohnfisher']",lmao trying act like wasnt shot prime
193kpui,kh9vxmu,chris low clowespn x nick saban retiring sources tell espn six national titles,nan,"['rutgers', 'oregon']","['stjohnfisher', 'syracuse']",thought pete carroll leaving seahawks going biggest coaching news today
1652m84,jydpjb6,weird follow service academy local team affiliation armed forces,might weird question grew florida went usf primarily nyg fan generally enjoy watching secondteir florida schools saturdays usf ucf fau etc lived new york almost 15 years recently settled 90 minutes north city 20 minutes away west point family function talking college ball wifes uncle local area asked supported said local team army first time really thought hudson valley team think would cool go west point regarding consistent fandom weird thing latch team associated group every way outsider army feels weird say rooting local college attend,[],"['syracuse', 'stjohnfisher']",moved upstate ny colorado springs affiliation air force acedemy team son season tickets front row one th best deals town even flyovers alone
15i4lvq,jusk4qo,whatever heck going today,even sure anymore location everywhere time odds spread pac12lpac12 14 made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['stjohnfisher', 'syracuse']",acknowledging never ever happen say college system
191zla4,kgzhswa,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['stjohnfisher', 'syracuse']",washington big trouble deep analysis know least dog cute
172jjmy,k3xzzj6,tech miami 800,tech location miamifmiami hard rock time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northcarolina', 'stjohnfisher']",oc needs fired like probably even get made absolutely sense keep running
172jjmy,k3y05wl,tech miami 800,tech location miamifmiami hard rock time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northcarolina', 'stjohnfisher']",sucks poor kid going take hard blame reality coaches never put position thats 100
15ktyz3,jv8717c,thamel sources next 24 hours theres two calls acc vet early exploratory discussions potential addition cal stanford one acc athletic directors leagues presidents chancellors,nan,"['stanford', 'wichitastate']","['stjohnfisher', 'syracuse']",big big east going add tcu tagliabue pointed dallas cowboys nfc east energy
189ygiv,kbuxum3,booger mcfarlands live reaction complete travesty sport go play regardless whether win offense defense name win thats reason never done 130 p5 champ,continued understand style points best matchups one team loss one doesnt florida kids went every week busted behinds moment,"['michigan', 'fau']","['stjohnfisher', 'syracuse']",florida rush end final pro wrestling style
17d92jq,k5wak9v,minnesota 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['northcarolina', 'stjohnfisher']",thats season altering call right fair catch flag hitting
177rgq6,k4uy1wt,syracuse florida 1200,florida location florida doak campbell time 1200 watch tv abclabc odds spread fsu 175 overunder 560 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['syracuse', 'stjohnfisher']",luck replay give fsu touchdown ball back
18svukf,kfa5b48,fenway bowl boston college smu 1100,boston college smufsmusmu location fenway park time 1100 watch tv espnlespn espnlespn odds spread smu 10 overunder 475 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['stjohnfisher', 'syracuse']",wait fenway bowl pinstripe bowl day late add wrigley bowl make baseball tripleheader
18beccp,kc3rjke,ncaa president proposes creation new fbs subdivision,ncaa president charlie baker proposing creation new fbs subdivision would allow highestresource schools compensate athletes directly trust well nil,"['texas', 'sec']","['stjohnfisher', 'syracuse']",would everything mentions fbs makes think obviously would effect elsewhere since even mention title ix proposal
18beccp,kc4bwej,ncaa president proposes creation new fbs subdivision,ncaa president charlie baker proposing creation new fbs subdivision would allow highestresource schools compensate athletes directly trust well nil,"['texas', 'sec']","['stjohnfisher', 'syracuse']",reading apparently itll ultimately institutions whether want join fb whatever conferences could require institutions take part im wondering instead might see kind weird stuff like maybe everyone sec goes fb vanderbilt vanderbilt still remain legal member sec thus allowing sec beat back certain foia requests due vandy private play conference title stuff like baseball wont play sec teams save perhaps earlyseason glorified warmup games fb rules allow instead presumably move another conference
