post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
17y9i7m,k9soupg,byu 1200,byufbyubyu location byufbyu lavell edwards time 1200 watch tv espnlespn odds spread ou 24 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'stscholastica']",hit te foot thats never grounding people confused
17t6f87,k8v9ghd,ole miss 700,ole missfolemissole miss location georgiafgeorgia sanford time 700 watch tv espnlespn odds spread uga 115 overunder 585 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'stscholastica']",judkins clearly next level vision see gap made cut
18w0xqp,kfvsmly,fiesta bowl liberty 100,location farm time 100 watch tv espnlespn odds spread ore 18 overunder 685 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'stscholastica']",pac 12 fans shitting liberty instead disrespectful score
16w91zf,k2vpqcr,florida kentucky 1200,location kroger time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'stscholastica']",landry wind married kirsten dunst starring alongside leo scorcese movie timeline makes sense
166pzeu,jylf487,nebraska minnesota 800,location huntington bank time 800 watch tv foxlfox odds spread minn 7 overunder 435 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['minnesota', 'delaware']","['minnesota', 'stscholastica']",thank goodness florida utah distract casuals nervous
166pzeu,jylhaye,nebraska minnesota 800,location huntington bank time 800 watch tv foxlfox odds spread minn 7 overunder 435 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['minnesota', 'delaware']","['minnesota', 'stscholastica']",friendly reminder hold every play isnt holding lineman lets go lineman disengages
166pzeu,jylz123,nebraska minnesota 800,location huntington bank time 800 watch tv foxlfox odds spread minn 7 overunder 435 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['minnesota', 'delaware']","['minnesota', 'stscholastica']",thats 15 yard hit certainly ejection feel like old man complaining getting soft
16qgjn2,k1xn27s,arkansas lsu 700,lsuflsulsu location lsuflsu tiger la time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'stscholastica']",lsu looks incredibly crisp drive methodically gaining 7 yards play hard
16qbmz1,k1wg625,colorado 330,location oregonforegon autzen time 330 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'stscholastica']",thats soft fuck hold personal foul q1 least book
16qbmz1,k1wh1gz,colorado 330,location oregonforegon autzen time 330 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'stscholastica']",goddamn even bunch mistakes ducks looked incredible drive ridiculous fake punt 25 yard run 2nd 21 top 2 pt conversion insane
16q2osp,k1v84i9,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['minnesota', 'stscholastica']",mistake vince perfectly understandable looking order picking games
16jq8tf,k0rqxv9,army utsa 700,armyfarmyarmy utsafutsautsa location utsafutsa alamodome time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'stscholastica']",cant wait hit first half 17 total points scored second
16jq8tf,k0s1y63,army utsa 700,armyfarmyarmy utsafutsautsa location utsafutsa alamodome time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'stscholastica']",army try letting score 35yard touchdowns itll make life easier
16w4zuc,k2vcuam,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['minnesota', 'stscholastica']",oh worst possible result fuck im dying
16w4zuc,k2vgqxp,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['minnesota', 'stscholastica']",wtf des cant fucking double dip like fucking savage
16w4zuc,k2vjat1,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['minnesota', 'stscholastica']",desmond making incredibly salient points clemsonsyracuse
171qilp,k3sozn8,nebraska illinois 800,location memorial champaign il time 800 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'stscholastica']",good thing million yards open terrible throw
171qilp,k3sq2kn,nebraska illinois 800,location memorial champaign il time 800 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'stscholastica']",thats good illinois saw thing high school last week
16pnixi,k1sx103,nc virginia 730,nc statefncstatenc location scott time 730 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'stscholastica']",might best interception year insane effort two different defenders
16we4il,k2wnnz7,nebraska 330,location memorial lincoln ne time 330 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'stscholastica']",know house cat play rodent 2530 minutes finally kills eats thats already starting feel like
18938e5,kbp68mo,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['minnesota', 'stscholastica']",fan giant top teeth might ugliest dude tv year
18938e5,kbp74od,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['minnesota', 'stscholastica']",gameday could fuck giving enough time pick games day 8 total games
18938e5,kbp8ojy,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['minnesota', 'stscholastica']",fowler best three middle happening
1779yhc,k4s6r83,tulane memphis 700,location memphisfmemphis simmons bank liberty time 700 watch tv espnlespn odds spread tuln 35 overunder 560 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'stscholastica']",tulanes uniforms blue never make sense upsetting eastern emus
18esxau,kcq2jj6,ualbany idaho 1000,location idahofidaho kibbie dome time 1000 watch tv espnlespn odds spread idho 45 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'stscholastica']",relegating beautiful kibbie dome espn earlier games espn abc criminal offense glorious building
18esxau,kcqf8we,ualbany idaho 1000,location idahofidaho kibbie dome time 1000 watch tv espnlespn odds spread idho 45 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'stscholastica']",one fan yelling hateful albeit relatively inoffensive hate ualbany incredibly clearly lots suck youre embarrassing
18esxau,kcqfhiz,ualbany idaho 1000,location idahofidaho kibbie dome time 1000 watch tv espnlespn odds spread idho 45 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'stscholastica']",announcers good math sounding natural
18esxau,kcqhzp3,ualbany idaho 1000,location idahofidaho kibbie dome time 1000 watch tv espnlespn odds spread idho 45 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'stscholastica']",refs need diligent blowing whistle said playing head shouldnt give pass unnecessary hit
18esxau,kcqinag,ualbany idaho 1000,location idahofidaho kibbie dome time 1000 watch tv espnlespn odds spread idho 45 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'stscholastica']",play second goal everything love fcs
18esxau,kcqk9ya,ualbany idaho 1000,location idahofidaho kibbie dome time 1000 watch tv espnlespn odds spread idho 45 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'stscholastica']",thought play second goal last drive couldnt topped 2 point conversion happened
18esxau,kcqlmkl,ualbany idaho 1000,location idahofidaho kibbie dome time 1000 watch tv espnlespn odds spread idho 45 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'stscholastica']",albany start weird tradition kicking midnight home games apparently late night team
1780tc3,k4xbm6g,miami north carolina 730,north carolina location north kenan time 730 watch tv abclabc odds spread unc 35 overunder 570 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'stscholastica']",dont understand coaches youre killing run go pass making stop old school
1780tc3,k4xf12v,miami north carolina 730,north carolina location north kenan time 730 watch tv abclabc odds spread unc 35 overunder 570 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'stscholastica']",need stop watching every time look away nc scores stop watching could score infinite points
1728eb3,k3vdq0h,1200,location cotton bowl time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'stscholastica']",biggest right screen askew good work espn
