post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
17d9q9a,k5wbo1q,houston 400,location houstonfhouston tdecu time 400 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'sunflower']",first got screwed bailed great day zebras
16e7uxq,jzuu3bk,utah baylor 1200,utahfutahutah location baylorfbaylor mclane time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'sunflower']",refs make calling failing make good call much mistake making bad call
17807ox,k4wz7hj,kansas tech 700,kansas tech location techftexastech jones att time 700 watch tv fox sports 1lfs1 odds spread ttu 1 overunder 565 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'sunflower']",last night saw player memphis sack tap lineman tulane mustve caught right nut strings brought boy knees
17807ox,k4xa2uc,kansas tech 700,kansas tech location techftexastech jones att time 700 watch tv fox sports 1lfs1 odds spread ttu 1 overunder 565 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'sunflower']",saw video twitter summer windstorm lubbock looked like whole dirt clods flying sideways air
17ifk69,k6v5vd3,kansas 1200,location kansasfkansas david booth kansas memorial time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'sunflower']",ok beano lets put drive together prove father wrong
17ifk69,k6v6fu3,kansas 1200,location kansasfkansas david booth kansas memorial time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'sunflower']",kus athleticism really starting wear ou
17ifk69,k6v7185,kansas 1200,location kansasfkansas david booth kansas memorial time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'sunflower']",hate say sometimes question beans decision making
17ifk69,k6v880t,kansas 1200,location kansasfkansas david booth kansas memorial time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'sunflower']",beano pretend passes run name play
15jtrv5,jv2hmyh,real villain realignment,would argue demanded tv network without equal revenue sharing rest big 12 schools catalyst cu nu tamu mizzou leaving big 12 everything followed set motion longhorn network ironically folded sec network joins sec,['oklahoma'],"['kansasstate', 'sunflower']",rich people charge care lining pockets
172mpmi,k3ygffn,arizona usc 1030,uscfuscusc location uscfusc los angeles memorial coliseum time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'sunflower']",would take qbs hands cooking
183xb4n,kas5rpq,kansas 800,kansas location kansas bill snyder family time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'sunflower']",one fox doesnt 4k feed wouldve nice
183xb4n,kas87gc,kansas 800,kansas location kansas bill snyder family time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'sunflower']",brown gonna force one day next year hope
183xb4n,kasf5kp,kansas 800,kansas location kansas bill snyder family time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'sunflower']",td drive brought wheat wheat
183xb4n,kasft5d,kansas 800,kansas location kansas bill snyder family time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'sunflower']",players actively ushering end zone
15ny6b2,jvphlxt,fall team,curious guys became fans teams man first ever big house renovations hooked ever since,[],"['kansasstate', 'sunflower']",barely remember collin klein days name colin young found cool parents also huge fans
1684osx,jytojd7,colorado tcu 1200,tcuftcutcu location tcuftcu amon g carter time 1200 watch tv foxlfox odds spread tcu 205 overunder 645 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texasam', 'ucla']","['kansas', 'sunflower']",looked away minute tcu longer ball
1684osx,jytpxy7,colorado tcu 1200,tcuftcutcu location tcuftcu amon g carter time 1200 watch tv foxlfox odds spread tcu 205 overunder 645 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texasam', 'ucla']","['kansas', 'sunflower']",guys think deion go nfl sort coach make sure son gets drafted
171pswl,k3sz8c7,kansas 730,kansas location boone pickens time 730 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'sunflower']",kstate conducive healthy lifestyle thinking trying heroin instead
16qbmz1,k1wmnar,colorado 330,location oregonforegon autzen time 330 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'sunflower']",kind beat wish boxer would give logan paul
16keh8t,k0wb48f,usf 330,usffusfusf location usffusf raymond james time 330 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'sunflower']",surely someone stand instagram live better cameramen
