post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16uiinz,k2llpuo,college team finishing move ala mortal kombat,would teams teams would cancel would funniest example floridas finishing move home swamp flooded turned actual swamp think oregons ducks wouldnt fazed standford would one giant tree come nowhere states beavers would win easily one would want play miami due extensive hurricane damage endures etc,"['georgia', 'transferportal']","['rutgers', 'susquehanna']",schiano takes opposing hc nice scenic drive pine barrens
15tkpzp,jwo7d7f,opinions rivalries around college affiliation,rivalry connection thats outside schools conference feel like actually root pretty strongly one team one absolutely wont miss even teams wont impact season arent contenders year example ive absolutely loved usc utah rivalry past 58 years love rooting utah games first usually wild late night action truly back forth rivalry recently competitive though always david goliath feel team less traditionally good team resources disposal dont anything usc fall 1030 damn fun root utes games,['georgia'],"['rutgers', 'susquehanna']",brawl wild mustsee tv whenever watch montana montana feels like platonic ideal ultimate college rivalry old instate rivalry two universities located idyllic college towns rural cant overshadowed local pro sports teams rivalry passionate rooted localregional history divides schools teams usually competitive often impact teams playoff conference championship chances side note shout montana making sure flagship schools maintain carnegie r1 status despite rural population relatively small gdp big enough broadcasted national tv year widespread reputation small enough still fcs plus may sickest nickname rivalry beautiful
1728ec3,k3w3woh,rutgers wisconsin 1200,location camp randall time 1200 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rutgers', 'susquehanna']",good teams win great teams cover gg badgers thanks fun ingame atmosphere
189wh00,kbu4k3d,cfp rankings final,tv espnlespn follow along selection show full results come two threads posted results serious discussion jokes memes offtopic comments removed rankteamrecord 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,['rcfb'],"['susquehanna', 'virginia']",bama ever play games fucking put every year point
17nng42,k7tagw7,ohio rutgers 1200,ohio location rutgersfrutgers shi time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rutgers', 'susquehanna']",goddamn essentially osu um proxy hate lol
16bnhtv,jze7sis,could best high school team nation beat worst division 3 team nation,boss discussing best high school team could beat worst d3 team played d3 says think yes think,[],"['pennstate', 'susquehanna']",would think forget team wasnt d3 team hadnt like 6 years
16bnhtv,jzhrglr,could best high school team nation beat worst division 3 team nation,boss discussing best high school team could beat worst d3 team played d3 says think yes think,[],"['rutgers', 'susquehanna']",oh sure especially take hs powerhouse known nationwide like southlake carroll bishop gorman boscoe compare small d3 liberal arts college doesnt care sports much
15ny6b2,jvq1gzm,fall team,curious guys became fans teams man first ever big house renovations hooked ever since,[],"['rutgers', 'susquehanna']",grew central jersey first college ever watched start finish pandemonium piscataway rutgers upset 3 louisville national tv back 2006 hooked
17t1swl,k8u1hht,rutgers 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv big ten networklbtn odds spread 15 overunder 285 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rutgers', 'susquehanna']",hello im b1g chapter meeting sickos committee right
17t1swl,k8u9dsy,rutgers 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv big ten networklbtn odds spread 15 overunder 285 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rutgers', 'susquehanna']",took timeout call running play middle
17t1swl,k8ugghb,rutgers 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv big ten networklbtn odds spread 15 overunder 285 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rutgers', 'susquehanna']",sir second passing first hit box score
191zla4,kh0203u,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['pennstate', 'susquehanna']",blaise alexander making bank nattys many commercials car dealerships
191zla4,kh077zt,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['pennstate', 'susquehanna']",refs didnt call anything got away many calls especially using crown helmet smh
16kk467,k0xe4tt,pittsburgh west virginia 730,west virginia location west milan puskar time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['pennstate', 'susquehanna']",id give anything furniture store wv monday morning
15wfg7n,jx10ich,whats news coming schools fall camp,team impressing fall camp group going improved bumps bruises might keep someone games whats word teams quarterback competition,"['texasam', 'meteor']","['rutgers', 'susquehanna']",defense special teams look good offense suspect best nothing new really
