post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
1621ag8,jxv8loo,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['minnesota', 'swarthmore']",im starting think navy night good year
18sx6e0,kfadaxe,ever one favorite college players end least favorite nfl team conversely ever college player couldnt stand end favorite nfl team go,fan kansas jayhawks kansas city chiefs ive seen missouri tigers kstate wildcats end chiefs roster cant say dramatic way chiefs draft kstate player felix anudikeuzomah first round earlier year cant say stood player disliked college nick bolton mizzou drafted chiefs second round back 2021,['kansas'],"['michigan', 'swarthmore']",im vikingsmichigan fan 2 favorite players osu cris carter antoine winfield winfield awesome watch run support crime made one pro bowl honorable mention goes chris spielman detroit somehow manages one likeable people sport
17yelku,k9tg21u,minnesota ohio 400,ohio location ohio statefohiostate ohio time 400 watch tv big ten networklbtn odds spread osu 285 overunder 495 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'swarthmore']",indefensible call drop back pass situation dont care bad opponent
16eiww4,jzw6d2z,eastern minnesota 730,eastern location huntington bank time 730 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['minnesota', 'grandvalleystate']","['minnesota', 'swarthmore']",biggest rule want remove presumption call turnovers let play run go replay without presumption one way get right also allow potential return play
16eiww4,jzwgdrm,eastern minnesota 730,eastern location huntington bank time 730 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['minnesota', 'grandvalleystate']","['minnesota', 'swarthmore']",two fumbles getting outplayed freshman think seen end sean tyler
16eiww4,jzwh93s,eastern minnesota 730,eastern location huntington bank time 730 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['minnesota', 'grandvalleystate']","['minnesota', 'swarthmore']",fox definitely thinks get away giving emu 2 points second
16eiww4,jzwj93t,eastern minnesota 730,eastern location huntington bank time 730 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['minnesota', 'grandvalleystate']","['minnesota', 'swarthmore']",taylor reminding mo would consistently turn two yard loss three yard gain
16eiww4,jzwklhx,eastern minnesota 730,eastern location huntington bank time 730 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['minnesota', 'grandvalleystate']","['minnesota', 'swarthmore']",big implications emu 65 minnesota 285 parlay im actually making
172iula,k3xabsz,minnesota 730,location huntington bank time 730 watch tv nbclnbc peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'swarthmore']",weve lowkey missed lot tackles burn us sooner later
172iula,k3xgbuy,minnesota 730,location huntington bank time 730 watch tv nbclnbc peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'swarthmore']",pj likes remind us get 18 act
172iula,k3xixq4,minnesota 730,location huntington bank time 730 watch tv nbclnbc peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'swarthmore']",full routine usually also includes spin tail spin body spin girl wondering
172iula,k3xlikr,minnesota 730,location huntington bank time 730 watch tv nbclnbc peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'swarthmore']",bio say mcdonalds hometown albuquerque dude played minihaha
166pzeu,jylq84q,nebraska minnesota 800,location huntington bank time 800 watch tv foxlfox odds spread minn 7 overunder 435 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['minnesota', 'delaware']","['minnesota', 'swarthmore']",catch stand unless another angle
183rfyl,kaqw3pw,wisconsin minnesota 330,location huntington bank time 330 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'swarthmore']",punting 4th inches trade coaches first score
16eiwlx,jzwm2wy,wisconsin washington 730,washington location washington martin time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['washingtonstate', 'oregonstate']","['minnesota', 'swarthmore']",im sure said dozen times already would buy one wazzu pirate shirts heartbeat couldnt care less wazzu
17d92jq,k5w0vwp,minnesota 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'swarthmore']",going really hurt miss upcoming goal attempt
