post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzvwoic,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas', 'tarletonstate']",gonna say wr would caught saw worthy
16ei5hq,jzw10df,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas', 'tarletonstate']",crazy koolaid actually anything
16ei5hq,jzwc4h2,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'tarletonstate']",excuse fumble ive ever seen thats first
16ei5hq,jzwcgpj,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas', 'tarletonstate']",ewers first player catch contested ball tonight
16e7uwk,jztw5hd,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'tarletonstate']",surprised 1 score distance lets see freeman co cooking real games
16e7uwk,jzuruo3,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'tarletonstate']",agree shortened half 5 10 minutes
16e7uwk,jzux6ee,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'tarletonstate']",timeout strategical nc wanted longer halftime
16kktkx,k0x0yn2,wyoming 800,location texasftexas dkrtexas memorial time 800 watch tv longhorn networkllhn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas', 'tarletonstate']",gotta ask pimento cheese sammy cfa good could see going either way
16qh8am,k1xmufu,baylor 730,location baylorfbaylor mclane time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam2', 'tarletonstate']",side note care rangers going top ninth currently lead mariners 20 astros losing royals 31 top 8th go rangers
16kjduj,k0wb2qw,tarleton tech 700,tech location techftexastech jones att time 700 watch tv big 12lbig12 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam2', 'tarletonstate']",lets go texans oscar p heyyyyyyyyyyyy oscar p woooo bleed purple bleed white fight texans
16kjduj,k0wiba0,tarleton tech 700,tech location techftexastech jones att time 700 watch tv big 12lbig12 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam2', 'tarletonstate']",ok tech fans winner gets keep koe wetzel caveat still play ljt yall win
16kjduj,k0wlfze,tarleton tech 700,tech location techftexastech jones att time 700 watch tv big 12lbig12 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam2', 'tarletonstate']",pump breaks yall tarleton barely beat north didnt pull away 4th quarter well probably get skull fucked sfa abilene christian
16kjduj,k0wmfkd,tarleton tech 700,tech location techftexastech jones att time 700 watch tv big 12lbig12 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['tarletonstate', 'chaos']",dont size gotta go passing defense holding though theres
