post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
169aftq,jz1inad,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['tennessee', 'teikyo']",crazy wanting fast food employee take money give food move day
16ef5rx,jzvxgwq,austin peay tennessee 500,austin peay location neyland time 500 watch tv espnlespn sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['umass'],"['tennessee', 'teikyo']",shoulda ball 3 plays ago ill take 4th sack
16ef5rx,jzvxm4q,austin peay tennessee 500,austin peay location neyland time 500 watch tv espnlespn sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['umass'],"['tennessee', 'teikyo']",fuck false start one even set
16ef5rx,jzvy8hs,austin peay tennessee 500,austin peay location neyland time 500 watch tv espnlespn sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['umass'],"['tennessee', 'teikyo']",refs absolutely refusing let vols play fast
16ef5rx,jzw0f3f,austin peay tennessee 500,austin peay location neyland time 500 watch tv espnlespn sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['umass'],"['tennessee', 'teikyo']",weve gotta start talking nico right joe doesnt
16ef5rx,jzw0gv1,austin peay tennessee 500,austin peay location neyland time 500 watch tv espnlespn sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['umass'],"['tennessee', 'teikyo']",call fucking false start im gonna scream
16ef5rx,jzw0yvo,austin peay tennessee 500,austin peay location neyland time 500 watch tv espnlespn sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['umass'],"['tennessee', 'teikyo']",fair keyton cornerback pulled elbow away body took helmet ball directly many folks holding
16ef5rx,jzw6l0j,austin peay tennessee 500,austin peay location neyland time 500 watch tv espnlespn sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['umass'],"['tennessee', 'teikyo']",weakest push qb sneak ive ever seen
1684ork,jytz4zs,tennessee virginia 1200,location nissan time 1200 watch tv abclabc odds spread tenn 28 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['virginia', 'southsoldestrivalry']","['tennessee', 'teikyo']",wow offense drive looks like different team
1684ork,jytzjcj,tennessee virginia 1200,location nissan time 1200 watch tv abclabc odds spread tenn 28 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['virginia', 'southsoldestrivalry']","['tennessee', 'teikyo']",bru mccoy early favorite juaun jennings memorial tennessee wr indomitable levels dawg award
1684ork,jyu26ep,tennessee virginia 1200,location nissan time 1200 watch tv abclabc odds spread tenn 28 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['virginia', 'southsoldestrivalry']","['tennessee', 'teikyo']",little stutter step high leg straight hooker school qb runs love see
