post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16q6omx,k1w5gxa,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['tennessee', 'tennesseestate']",wanna say ive confused norvell cop whole
16f0btp,jzzla9e,honest questionwhy nebraska bad,theyve burned coaches athletic directors quarter backs etc yet theyve continued fall farther farther ever since early 2000swhy ive never seen program elite fall cliff long,[],"['oklahoma', 'tennesseestate']",bad coaches werent great recruiting also think school held tom osborne long mean kept hiring coaches create new culture bring new nebraska keeping osborne around essentially looking shoulder first sign disappointment people calling osborne come retirementcome ad coach also cant think many times osborne publicly gave blessing new coach said new guys program hard new coach shadow legend legend still around essentially boss wont let go ou still stoops switzer around purposely hands sure theyre available advice theyve always gone way make clear new coachs teamprogram seems like lot nebraska coaches trying hard assert guy charge rather letting work speak
16keh7j,k0vzp2b,south carolina 330,south carolina location georgiafgeorgia sanford time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'tennesseestate']",entertaining havent watched sc enough know keep really fun watch rattler looks like hes fun happy
16weuex,k2x955t,boise memphis 400,boise location memphisfmemphis simmons bank liberty time 400 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['memphis', 'tennesseestate']",honestlythats kind get going goal situation dont understand 3 would
16egmpb,jzvkl6i,smu 600,smufsmusmu location memorial norman ok time 600 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['oklahoma', 'cfp']","['oklahoma', 'tennesseestate']",wasnt pretty defensive series ill take defensive line looking solid hopefully secondary wakes
17nxpm2,k7v917x,lsu 745,lsuflsulsu location alabamafalabama bryantdenny time 745 watch tv cbslcbs odds spread ala 45 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'tennesseestate']",milroe cant throw boy run like wind
17hunaa,k6t1udp,schadenfreude flairs favorite college schadenfreude moments,schadenfreude enjoyment peoples misfortunes kind fits theme week im schadenfreude sign stealing stuff get older must admit energy hate reduces hate one week year say hate u still strong though 20 years ago remember vividly doubters claims athletes enough speed compete still enjoy ohio becoming good coral gables miami becoming bad,"['ohiostate2', 'lsu']","['michigan', 'tennesseestate']",msu getting lucky osu season get smacked 380 got beat bad havent recovered since year msu better record us also played b1g title still got passed ny6 bowl went sugar bowl
16uibb2,k2lmn68,trash talk thursday,know meteor ballbmeteorball order ballborderball within reasonable bounds rules still nbsp troll ballbtrollball enough talk nbsp chaos ballbchaosball rock caps lock,['rcfb'],"['tennessee', 'tennesseestate']",gonna beat cocks saturday whole freaking bunch
17ydyqe,k9trmpq,ucla usc 330,uclafuclaucla uscfuscusc location uscfusc los angeles memorial coliseum time 330 watch tv abclabc odds spread usc 65 overunder 655 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'tennesseestate']",im say respect whichever band playing iron man
193kpui,kh9y76a,chris low clowespn x nick saban retiring sources tell espn six national titles,nan,"['rutgers', 'oregon']","['tennessee', 'tennesseestate']",go back fully hating without annoying begrudging respect feel man nature healing
17io8xk,k6wfwyj,tennessee kentucky 700,location kroger time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['tennessee', 'tennesseestate']",ngl im glad play stopped cause seemed like things getting lil chaotic hasnt gone well us year
188vm81,kbogh0b,anyone ever actually seen former college star didnt make nfl normal job,everybody always jokes guys selling cars years insurance etc curious anyone actually come across someone like,['notredame'],"['tennessee', 'tennesseestate']",saw video jarrett guarantano selling christmas trees tree lot
18mhqd2,ke4s6gt,frisco bowl marshall utsa 900,utsafutsautsa location toyota time 900 watch tv espnlespn espnlespn odds spread utsa 125 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['vanderbilt', 'tennesseestate']",well pleasant surprise got home work idea tonight
15sbd21,jwdjh3i,people much username even specific immediately recognize whatever reason,mine limited udogwoodmaple ucoogs35 ubigdickwitt ucumassault ubakonydraco ucoolingvent ualstark89,"['stonehill', 'sickos']","['tennessee', 'tennesseestate']",theres purdue flair likes fun high powered offenses guy seems cool books
16qbmz1,k1wjmpe,colorado 330,location oregonforegon autzen time 330 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'tennesseestate']",understand offensive line isnt great shedeur consistently drifting back isnt helping
18uiqbe,kfkw3uk,peach bowl penn ole miss 1200,penn ole missfolemissole miss location mercedesbenz time 1200 watch tv espnlespn espnlespn odds spread psu 45 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'tennesseestate']",drew allar im sure nice young man slowly starting become another reason dont pay recruiting star ratings attention
17myplv,k7o4rc2,team watchcheer zero connection,dad tennessee alum thats obviously main team talking day mentioned surfs rice message boards fun kind surprising know rice message boards also watches service academies whenever served personally love kansas even leipold liked logo uniforms liked rooting underdog white helmet favorite,"['mississippistate', 'santamonica']","['tennessee', 'tennesseestate']",like asu offered 2nd largest scholarship unis logos cool always played ncaa days
183t14f,kaqyp3w,postgame defeats ohio 3024,box score provided team 1 2 3 4 ohio made rcfb,['rcfb'],"['michigan', 'tennesseestate']",snitching lose interim anyway
16w91ub,k2w273i,usc colorado 1200,uscfuscusc location folsom time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'tennesseestate']",say know hes deion dance 3 touchdowns
16wjz00,k2xfxtw,south carolina tennessee 730,south carolina location neyland time 730 watch tv sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['tennessee', 'tennesseestate']",got home tailgates bluetick ate plenty chicken hopefully omen
16q6opo,k1w5vjf,cincinnati 1200,location nippert time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'tennesseestate']",welcome big xii cincy defense pretty solid think yall fine
18tv7yy,kfh7jno,liberty bowl memphis 330,location simmons bank liberty time 330 watch tv espnlespn espnlespn odds spread isu 105 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['memphis', 'tennesseestate']",painful watch im benefitting runs think score
18tv7yy,kfh8d6o,liberty bowl memphis 330,location simmons bank liberty time 330 watch tv espnlespn espnlespn odds spread isu 105 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['memphis', 'tennesseestate']",im trying worry know goes
18u1f6v,kfihfuy,cotton bowl ohio missouri 800,ohio location att time 800 watch tv espnlespn espnlespn odds spread osu 5 overunder 495 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'tennesseestate']",one worst ny6 bowl games time lol osu ass without mccord
18u1f6v,kfihmz2,cotton bowl ohio missouri 800,ohio location att time 800 watch tv espnlespn espnlespn odds spread osu 5 overunder 495 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'tennesseestate']",marvin right thing playing joke lol
16kjdlb,k0x3000,tennessee florida 700,location floridafflorida ben hill griffin time 700 watch tv espnlespn odds spread tenn 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['tennessee', 'tennesseestate']",dont love dont love ut fu
188cbbp,kbk3fjc,honest question fans teams perpetually bad keeps engaged,teams never seem make bowl finish couple wins decades still fans showing games,['georgia'],"['ohiostate', 'tennesseestate']",sympathy respect full disclosure ohio flair originally vanderbilt flair reason support commodores point players coaches seem like genuinely good people truly try best situation controlled people dont care seem satisfied getting check status associated sec stanford cal exploring options implosion pac 12 honestly little shocked vanderbilt wasnt kicked bring stanford cal place
15hhp9o,juos3g9,team impacted realignment affect experience fan,obviously winner recruitment pitch travel opportunities appealing downside ticket prices going get insane,"['texas', 'caa']","['tennessee', 'tennesseestate']",experience fan sad papa mouse aint got enough money acc teams
1780tdz,k4xbkdo,usc notre dame 730,uscfuscusc notre dame location notre damefnotredame notre dame time 730 watch tv nbclnbc peacocklpeacock odds spread nd 3 overunder 630 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'tennesseestate']",lincoln always hes abandons run keeps forcing qb defense isnt gonna go pressure
16hxs91,k0hjulo,unpopular opinion team,whats opinion team fan base fans team would disagree mine id like keep playing land feet think hatred thats increased offseason would make games fun watch,['oregonstate'],"['oklahoma', 'tennesseestate']",even never brought fil games jeff lebby guy needs get boot im basing purely job performance two games two games second season still couldnt tell offense supposed look like playcalling doesnt make sense rhythm offense seemingly nonexistent question talent level personnel realize plays called somehow making personnel look much worse actually weve seen talent somehow guy paid use properly seems say fuck everybody run go routes slant wherever feel comfortableor run guess
16e7v1g,jzujt5s,nebraska colorado 1200,location folsom time 1200 watch tv foxlfox odds spread neb 95 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['nebraska2', 'santamonica']","['oklahoma', 'tennesseestate']",im see new excuses reasons colorado win doesnt count fans arent allowed encouraged excited win goalposts moved dont ask ask many
1689xu6,jyvbj10,ohio indiana 330,ohio location indianafindiana memorial bloomington time 330 watch tv cbslcbs odds spread osu 30 overunder 605 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['ohiostate2', 'toledo']","['oklahoma', 'tennesseestate']",ryan days face always red makeup kind face paint
17buxxm,k5msbsc,james madison marshall 700,james madison location joan c edwards time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['tennesseestate', 'bigsouthovc']",excuse watching golf promotion sicko ball
17buxxm,k5mszka,james madison marshall 700,james madison location joan c edwards time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['tennesseestate', 'bigsouthovc']",oh man good looks like bracing way emts folks
17buxxm,k5mts7c,james madison marshall 700,james madison location joan c edwards time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['tennesseestate', 'bigsouthovc']",man taking time hats athletic trainers emts working right best hands could possibly right
17buxxm,k5mue06,james madison marshall 700,james madison location joan c edwards time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['tennesseestate', 'bigsouthovc']",thumbs great sign well done everyone involved handling situation wait see continue
16nb0g0,k1ds91h,sec fans explain uniform hatred tennessee sec team fanbases,ok see lotta success near recent history current bullies sec tennessee earth much vitriol towards vols would like big 10 fans hating minnesota apparent reason,"['michigan', 'airforce']","['oklahoma', 'tennesseestate']",go back peyton manningphil fulmer years always sense unearned bravado like without money recruits historical success think deion sanders coverage bad peyton manning hype train 100 times without internet every espn show every segment even nfl games beat florida clips manning singing conducting band afterwards weeks always favorite win national championship finally manning left wouldnt even give tee martin hero treatment vol qb finally
