post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
172jjq9,k3xjqar,san jos boise 800,san jos jos boise location boise albertsons time 800 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'towson']",get fucking tarmacd home way hes saving job canning dc db coach fireable
172jjq9,k3xu79z,san jos boise 800,san jos jos boise location boise albertsons time 800 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'towson']",offense shouldve year long pound rock play action deep bootleg stuff constraint plays
172jjq9,k3xupzt,san jos boise 800,san jos jos boise location boise albertsons time 800 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'towson']",seeing maddog hype tg makes happy tg play within system bring much table
172jjq9,k3xxxwm,san jos boise 800,san jos jos boise location boise albertsons time 800 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'towson']",tg head throws insane
172jjq9,k3xze1i,san jos boise 800,san jos jos boise location boise albertsons time 800 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'towson']",said 21 balling tonight starter going forward
172jjq9,k3y18ox,san jos boise 800,san jos jos boise location boise albertsons time 800 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'towson']",thank christ dont go wyoming year
172jjq9,k3y1i9j,san jos boise 800,san jos jos boise location boise albertsons time 800 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'towson']",lots talk san jose losing know made difference boise stopped handing sjsu ball territory 3 tds came short fields
18wbuu4,kfxhkqt,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['towson', 'navy']",allstate paying money ad play
18wbuu4,kfxkdna,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['towson', 'navy']",year g5 year next year isnt looking great either gonna really interesting see gets aq g5 spot playoffs though
18wbuu4,kfxl5qd,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['towson', 'navy']",call halftime report wheres actual report college class would fail
18wbuu4,kfxs1jm,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas2', 'towson']",stop running get hit run play
189z8v2,kbud21a,thamel injured fsu quarterback jordan travis wish broke leg earlier season yall could see team much quarterback,nan,['usc'],"['towson', 'navy']",got qb apologizing getting hurt got hurt world happening fbs
177ix9d,k4t81bl,postgame stanford defeats colorado 4643 2ot,box score provided team 1 2 3 4 ot made rcfb,['rcfb'],"['maryland', 'towson']",welp im never betting colorado defense god damn atrocious also dont want hear another word media coach prime second coming jesus good coaches dont let teams fall apart like
18aie6x,kbzanc1,ohio quarterback kyle mccord entered transfer portal,made rcfb recruiting post,['michigan'],"['maryland', 'towson']",im pretty surprised expectations qb osu high though didnt reach im guessing told wouldnt starter going forward
18uo86j,kflw2no,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['towson', 'navy']",yeah norvell playing defense today hes gonna let glenn sell
18uo86j,kfm14r1,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['towson', 'navy']",hes 66 db back turned throw let jump things learn playing time though
18uo86j,kfm1xiw,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['towson', 'navy']",line scrimmage problem fsu dbs hold line cant
18uo86j,kfm28d9,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['towson', 'navy']",got trolls fsu fans arent taking bait actually good see
18uo86j,kfm512l,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['towson', 'navy']",nice see glenn confidence throw though
18uo86j,kfm5bfy,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['towson', 'navy']",glenn actually playing well wrs got help
