post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzwd94c,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'tulsa']",seeing tide fans realize joy first horns downjust brings tear eye
16ei5hq,jzweso4,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['tulsa'],weird think kansas two quarterbacks better bama roster
16ei5hq,jzwfg0a,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'tulsa']",cant wait october baby good old days potential top ten outexas supposed chant sec
16ei5hq,jzwiqoj,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'tulsa']",team stop darkest timeline
16ei5hq,jzwixgb,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'tulsa']",fully believe saban supposed retire last year forget recruit qb bryce young
16ei5hq,jzwj4af,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'tulsa']",herby go natural look makeup department
16ei5hq,jzwk138,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'tulsa']",clempson bama v dukes mayo bowl lucky
18wbuu4,kfxcin6,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas3', 'tulsa']",yormark furiously wiring refs money drive unacceptable
18wbuu4,kfxf337,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['tulsa', 'oklahoma']",teams getting cute games youre running working outside zone shot plays killing rn
18wbuu4,kfxiaz0,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas3', 'tulsa']",since going half please dont forget kansas beat american
18wbuu4,kfxkg90,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas3', 'tulsa']",strangely flairs held washington 21 first half
18wbuu4,kfxl5br,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas3', 'tulsa']",ok kid loser sad much 0u thinks
18wbuu4,kfxl98v,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas3', 'tulsa']",throwing horns wonder oklahomas bowl went
18wbuu4,kfxlcz0,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas3', 'tulsa']",0u throwing horns like even made conference championship
18wbuu4,kfxnzy3,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas3', 'tulsa']",prepare fg 10 minutes commercials kickoff ten minutes commercials
18wbuu4,kfxo31p,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas3', 'tulsa']",got pet dubs seattle tulsa v washington confirm indeed good boy
18wbuu4,kfxopad,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas3', 'tulsa']",starting get away us
18wbuu4,kfxozb8,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas3', 'tulsa']",neutrals shitting ewers must watched ut season one performance top3 team doesnt define
18wbuu4,kfxp261,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas3', 'tulsa']",sad say isnt close score makes seem
18wbuu4,kfxpai7,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas3', 'tulsa']",dont know hit ewers wasnt flag reason hit violent late
18wbuu4,kfxs100,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['tulsa', 'oklahoma']",first washington really really good team holy shit disappointing outing around month prep expected
18wbuu4,kfxs4h4,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['tulsa', 'oklahoma']",lmao dude wide open even penix tough time getting ball
18wbuu4,kfxs4qa,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas3', 'tulsa']",dont mind gonna delusional pretend bullshit flag refs
18wbuu4,kfxsicu,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['tulsa', 'oklahoma']",get aggressive like base offense wasnt already aggressive enough well efficient
18wbuu4,kfxun7n,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['tulsa', 'oklahoma']",yeah defense bit outmatched front skill positions
18wbuu4,kfxux33,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['tulsa', 'oklahoma']",love uw run based outside zone also perfect answer interior
18wbuu4,kfxv7qh,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas3', 'tulsa']",name cow colt mccoy
18wbuu4,kfxvd5k,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas3', 'tulsa']",anyone got picture bevo sinking captioned wanna die cause thats im
18wbuu4,kfxvdfr,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['tulsa', 'oklahoma']",washington fans would want teams spend pac12s playoff winnings
18wbuu4,kfxx3t9,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['tulsa', 'oklahoma']",honestly hate injury unless damn compound fracture drag scenario
18wbuu4,kfxy316,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['tulsa', 'oklahoma']",im still dude getting ass
16ktcfe,k0y211a,postgame colorado defeats colorado 4335 2ot,box score provided team 1 2 3 4 ot colorado made rcfb,['rcfb'],"['arkansas2', 'tulsa']",really hoping csu would go 2 first ot almost always think thats better thing easy say hindsight
17y9i7m,k9sbiq8,byu 1200,byufbyubyu location byufbyu lavell edwards time 1200 watch tv espnlespn odds spread ou 24 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['tulsa', 'santamonica']",wonder many jewish players cfb general
17y9i7m,k9sbjze,byu 1200,byufbyubyu location byufbyu lavell edwards time 1200 watch tv espnlespn odds spread ou 24 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'tulsa']",kind stat first jewish starting qb byu history
17y9i7m,k9sc7ex,byu 1200,byufbyubyu location byufbyu lavell edwards time 1200 watch tv espnlespn odds spread ou 24 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['tulsa', 'santamonica']",reason guys dressed colonial outfits fun
17y9i7m,k9sh8eu,byu 1200,byufbyubyu location byufbyu lavell edwards time 1200 watch tv espnlespn odds spread ou 24 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'tulsa']",good cougar fam excited see teams adjust half sitake co halftime adjustments bv ok year lets see one goes
17y9i7m,k9smpbe,byu 1200,byufbyubyu location byufbyu lavell edwards time 1200 watch tv espnlespn odds spread ou 24 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['tulsa', 'santamonica']",right everyone ive gotta head tu today hope ou make good defensive adjustments
17y9i7m,k9snutx,byu 1200,byufbyubyu location byufbyu lavell edwards time 1200 watch tv espnlespn odds spread ou 24 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'tulsa']",hate love byu fans much guys seriously rock sorry leaving wouldve loved series slc beautiful setting
17y9i7m,k9ss428,byu 1200,byufbyubyu location byufbyu lavell edwards time 1200 watch tv espnlespn odds spread ou 24 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'tulsa']",damn well second time three remote changed channel next play pick six time hot fumble ill often
17y9i7m,k9ss5g3,byu 1200,byufbyubyu location byufbyu lavell edwards time 1200 watch tv espnlespn odds spread ou 24 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'tulsa']",alright osu flairs please stop mean guys killing vibes
17y9i7m,k9st9kv,byu 1200,byufbyubyu location byufbyu lavell edwards time 1200 watch tv espnlespn odds spread ou 24 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'tulsa']",reviews like intended torture ou fans slow motion
17y9i7m,k9su3ow,byu 1200,byufbyubyu location byufbyu lavell edwards time 1200 watch tv espnlespn odds spread ou 24 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['tulsa', 'santamonica']",got seat pulled phone come arnold
17y9i7m,k9swe1k,byu 1200,byufbyubyu location byufbyu lavell edwards time 1200 watch tv espnlespn odds spread ou 24 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'tulsa']",maybe failed goal attempt part plan j
17y9i7m,k9t00ct,byu 1200,byufbyubyu location byufbyu lavell edwards time 1200 watch tv espnlespn odds spread ou 24 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'tulsa']",alright time houston fan fan
17y9i7m,k9t09yt,byu 1200,byufbyubyu location byufbyu lavell edwards time 1200 watch tv espnlespn odds spread ou 24 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'tulsa']",hard watch win win gg cougars
16qzss2,k201p9f,complain team,vent friendly place,['rcfb'],"['oklahoma', 'tulsa']",im convinced jeff lebby doesnt actually watch calling successful drive getting short quick passes 510 yard gains logically would assume would keep right wrong next drive back long developing horizontal plays go 1 yard
