post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
17fdg9z,k6a5oqh,arent enough instate played college,opinion every school least one instate division 1 school play every year west virginia play marshall msu play one directional schools ohio play one ohio mac teams cincy every year uga gt need schedule either southern kennesaw year understand cmu isnt going terms revenue ohio regional games make college special,"['georgiasouthern', 'sunbelt']","['michigan2', 'ubc']",b1g rotate mac regularly already play directional schools often
18wbuu4,kfx1flp,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washington', 'ubc']",wait im already stressed didnt care last one rip peace
18wbuu4,kfxc74i,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washington', 'ubc']",well team special teams fuckups earlier im feeling confident
18wbuu4,kfxfz7k,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washington', 'ubc']",looks way across replay may slightly behind part body believe rule helps us time
183s3df,karlny2,washington washington 400,washington location husky time 400 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washington', 'ubc']",dont teams rome odunze stupid
183s3df,kart258,washington washington 400,washington location husky time 400 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washington', 'ubc']",much fucking softer call earlier pick
188vvkf,kbnb7d0,postgame washington defeats 3431,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['washington', 'ubc']",8 quarters huskies ducks played year fucking awesome games took years life love college
173vhag,k45yynh,tank job week week six,tank job week award fbs team best job humiliating weekend whether blew large lead choked away spot limelight lost absolutely right losing completely screwed everything last second blunder tjotw winner sets gold standard college misery x200b previous winners 1 baylor bears lost 4231 2 nevada wolf pack lost idaho 336 3 cowboys lost south 337 4 minnesota golden gophers lost northwestern 3734 5 ucf knights lost baylor 3635 x200b last week thought going two horse race ucf tech knights hoo boy knights fact calling declare meltdown baylor ultimate tank job year done probably want take back x200b onto week yes still gonna vote yes theres nominees yes completely formality yes happened exactly 831 pacific saturday night kind moment tjotw normally dream fact could say knelt reverence gods hath delivered glorious bounty x200b note ease counting please use carats vote like miamifl thank thanks participating x200b honorable mentions saw usc everybody saw also jimbo fishers intestinal fortitude x200b nominees week 6 x200b arizona wildcats lost usc 4341 hate zona followed plucky finish washington even pluckier effort usc 170 guys steve kerr skipping press conference watch drink margaritas couldnt hang also shoulda gone two first overtime burned colorado burned x200b fresno bulldogs lost wyoming 2419 50 two power 5 scalps belt bulldogs rolled laramie clear frontrunner race coveted group five ny6 berth leave teeth broken limping back california last minute interception halted desperate comeback big boy bowl hopes dashed yet took major hit x200b miamifl hurricanes lost tech 2320 youve least heard canes didnt kneel fumbled gave winning touchdown two seconds left incredible might sound description doesnt even begin justice theres absolutely nothing type havent seen yet need probably need see many times mind youre going watching every college youtube compilation rest life moderation key x200b notre dame fighting irish lost louisville 3320 1713 cards entering fourth quarter notre dames fourth quarter drive chart turnover downs 35 first play interception fumble 26 gonna turnover downs anyways touchdown recovered onside kick ending interception considering offensive meltdown absolute gifts position handed louisville miracle cards got 16 points x200b rice owls lost connecticut 3831 owls 10 point home faves winless huskies outgained uconn 160 yards one two three turnovers put owls 2814 claw back 3128 huskies ripped 59 yard td attempted rice counter resulted turnover 4 rice manage goal pull one score onside kick recovered huskies walk houston first win year x200b san jose spartans lost boise 3527 277 one point smurf voodoo kicked broncos rallied 28 straight could kickstarted sjsus floundering season probably beginning end bowl hopes x200b ucf knights lost kansas 5122 one overused terms sports boatraced people dont use correctly proper boatracing team racing insurmountable lead even though team gets going theres hope possibly catch since actual boat racing lose lane need make pass said ucf got boatraced jayhawks maybe busraced whatever fact end baylor first 31 minutes kansas knights outscored 670 yeesh,"['washington', 'centralwashington']","['oregon2', 'ubc']",miamifl tank job week probably biggest tank job since cleat yeet
16yz0x3,k3bs6ce,whose talent team waste school,knew utilizing nico collins enough watching pros proves whose talent school waste,"['michigan', 'littlebrownjug']","['oregon', 'ubc']",didnt waste herbert could done team around shit together beginning
1621ag8,jxvbk7k,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['ubc', 'alamo']",wow threw ball hasnt thrown long time
